School Year,Division,School,Subject Area,Pass Rate
2011-2012,Fairfax County ,Bailey's Elementary School for the Arts and Sciences,Mathematics,53.68%
2011-2012,Henrico County ,Seven Pines Elementary,Mathematics,71.36%
2011-2012,Loudoun County ,Rosa Lee Carter Elementary,Mathematics,84.87%
2011-2012,Norfolk City ,Coleman Place Elementary,Mathematics,57.69%
2011-2012,Prince William County ,Potomac View Elementary,Mathematics,63.47%
2011-2012,Salem City ,East Salem Elementary,Mathematics,75.88%
2011-2012,Virginia Beach City ,Arrowhead Elementary,Mathematics,61.57%
2011-2012,Campbell County ,William Campbell High,Mathematics,43.09%
2011-2012,Accomack County ,Arcadia High,Mathematics,34.78%
2011-2012,Albemarle County ,Red Hill Elementary,Mathematics,59.46%
2011-2012,Henrico County ,Maybeury Elementary,Mathematics,80.21%
2011-2012,Loudoun County ,Creighton's Corner Elementary,Mathematics,70.08%
2011-2012,Prince William County ,West Gate Elementary,Mathematics,50.89%
2011-2012,Pulaski County ,Dublin Elementary,Mathematics,69.37%
2011-2012,Roanoke County ,Herman L. Horn Elementary,Mathematics,75.00%
2011-2012,Russell County ,Honaker High,Mathematics,37.24%
2011-2012,Virginia Beach City ,Hermitage Elementary,Mathematics,73.46%
2011-2012,Accomack County ,Tangier Combined,Mathematics,75.47%
2011-2012,Chesterfield County ,Matoaca High,Mathematics,45.39%
2011-2012,Dickenson County ,Ervinton Elementary,Mathematics,65.43%
2011-2012,Fairfax County ,Graham Road Elementary,Mathematics,75.83%
2011-2012,Fauquier County ,Margaret M. Pierce Elementary,Mathematics,61.73%
2011-2012,Henrico County ,Charles M. Johnson Elementary,Mathematics,51.61%
2011-2012,Henry County ,Drewry Mason Elementary,Mathematics,63.98%
2011-2012,Prince William County ,Brentsville District High,Mathematics,47.46%
2011-2012,Pulaski County ,Dublin Middle,Mathematics,62.46%
2011-2012,Roanoke County ,Mason's Cove Elementary,Mathematics,74.39%
2011-2012,Smyth County ,Sugar Grove Combined,Mathematics,56.48%
2011-2012,Virginia Beach City ,Bayside High,Mathematics,43.65%
2011-2012,Winchester City ,Frederick Douglass Elementary,Mathematics,70.29%
2011-2012,Dinwiddie County ,Sutherland Elementary,Mathematics,61.42%
2011-2012,Fairfax County ,Weyanoke Elementary,Mathematics,47.64%
2011-2012,Fauquier County ,Cedar Lee Middle,Mathematics,74.06%
2011-2012,Henrico County ,Tuckahoe Middle,Mathematics,70.04%
2011-2012,Loudoun County ,Harper Park Middle,Mathematics,70.67%
2011-2012,Norfolk City ,Lindenwood Elementary,Mathematics,31.93%
2011-2012,Prince William County ,Fred M. Lynn Middle,Mathematics,47.58%
2011-2012,Roanoke County ,Northside High,Mathematics,59.00%
2011-2012,Virginia Beach City ,Lynnhaven Elementary,Mathematics,65.14%
2011-2012,Fauquier County ,Greenville Elementary,Mathematics,70.70%
2011-2012,Spotsylvania County ,Cedar Forest Elementary,Mathematics,65.14%
2011-2012,Arlington County ,Randolph Elementary,Mathematics,63.69%
2011-2012,Chesterfield County ,Bettie Weaver Elementary,Mathematics,90.40%
2011-2012,Fairfax County ,Mount Eagle Elementary,Mathematics,77.16%
2011-2012,Fauquier County ,Kettle Run High,Mathematics,49.61%
2011-2012,Goochland County ,Randolph Elementary,Mathematics,79.05%
2011-2012,Hampton City ,Cesar Tarrant Elementary,Mathematics,64.65%
2011-2012,Henrico County ,Fairfield Middle,Mathematics,44.76%
2011-2012,Loudoun County ,Aldie Elementary,Mathematics,85.19%
2011-2012,Prince William County ,Graham Park Middle,Mathematics,75.06%
2011-2012,Virginia Beach City ,Trantwood Elementary,Mathematics,75.69%
2011-2012,Spotsylvania County ,Freedom Middle,Mathematics,71.46%
2011-2012,Spotsylvania County ,Parkside Elementary,Mathematics,82.85%
2011-2012,Spotsylvania County ,Harrison Road Elementary,Mathematics,76.28%
2011-2012,Spotsylvania County ,Massaponax High,Mathematics,55.07%
2011-2012,Spotsylvania County ,Ni River Middle,Mathematics,82.08%
2011-2012,Spotsylvania County ,Wilderness Elementary,Mathematics,65.39%
2011-2012,Spotsylvania County ,Riverview Elementary,Mathematics,57.09%
2011-2012,Spotsylvania County ,Thornburg Middle,Mathematics,61.82%
2011-2012,Prince William County ,Parkside Middle,Mathematics,73.13%
2011-2012,Spotsylvania County ,Courthouse Road Elementary,Mathematics,71.81%
2011-2012,Amherst County ,Madison Heights Elementary,Mathematics,35.29%
2011-2012,Arlington County ,Kenmore Middle,Mathematics,58.69%
2011-2012,Bedford County ,Forest Elementary,Mathematics,75.11%
2011-2012,Chesterfield County ,J.G. Hening Elementary,Mathematics,73.23%
2011-2012,Floyd County ,Willis Elementary,Mathematics,71.22%
2011-2012,Hampton City ,A.W.E. Bassette Elementary,Mathematics,50.30%
2011-2012,Henrico County ,Brookland Middle,Mathematics,53.55%
2011-2012,Loudoun County ,Lowes Island Elementary,Mathematics,86.81%
2011-2012,Norfolk City ,Suburban Park Elementary,Mathematics,61.54%
2011-2012,Portsmouth City ,Churchland High,Mathematics,38.55%
2011-2012,Prince William County ,Signal Hill Elementary,Mathematics,75.63%
2011-2012,Pulaski County ,Riverlawn Elementary,Mathematics,74.16%
2011-2012,Rockingham County ,Lacey Spring Elementary,Mathematics,55.28%
2011-2012,Virginia Beach City ,Malibu Elementary,Mathematics,75.38%
2011-2012,Chesterfield County ,C.E. Curtis Elementary,Mathematics,74.64%
2011-2012,Arlington County ,Ashlawn Elementary,Mathematics,86.70%
2011-2012,Bedford County ,Bedford Middle,Mathematics,46.88%
2011-2012,Fairfax County ,Freedom Hill Elementary,Mathematics,76.61%
2011-2012,Henrico County ,Maude Trevvett Elementary,Mathematics,66.84%
2011-2012,Loudoun County ,Middleburg Elementary,Mathematics,60.00%
2011-2012,Norfolk City ,Northside Middle,Mathematics,61.76%
2011-2012,Prince William County ,E.H. Marsteller Middle,Mathematics,77.55%
2011-2012,Roanoke County ,Glenvar Elementary,Mathematics,71.73%
2011-2012,Roanoke County ,Northside Middle,Mathematics,87.71%
2011-2012,Virginia Beach City ,Pembroke Elementary,Mathematics,67.72%
2011-2012,Arlington County ,Williamsburg Middle,Mathematics,88.43%
2011-2012,Bedford County ,Bedford Elementary,Mathematics,52.63%
2011-2012,Chesterfield County ,Ecoff Elementary,Mathematics,68.90%
2011-2012,Culpeper County ,Culpeper County High,Mathematics,50.96%
2011-2012,Fairfax County ,Cherry Run Elementary,Mathematics,80.60%
2011-2012,Frederick County ,Robert E. Aylor Middle,Mathematics,66.83%
2011-2012,Henrico County ,Skipwith Elementary,Mathematics,75.66%
2011-2012,Newport News City ,Carver Elementary,Mathematics,36.36%
2011-2012,Norfolk City ,Richard Bowling Elementary,Mathematics,35.32%
2011-2012,Prince William County ,Stonewall Middle,Mathematics,66.33%
2011-2012,Richmond City ,Thomas C. Boushall Middle,Mathematics,51.50%
2011-2012,Roanoke County ,Oak Grove Elementary,Mathematics,86.80%
2011-2012,Dinwiddie County ,Dinwiddie Middle,Mathematics,59.55%
2011-2012,Norfolk City ,Willard Model Elementary,Mathematics,51.97%
2011-2012,Orange County ,Locust Grove Middle,Mathematics,66.51%
2011-2012,Arlington County ,Arlington Traditional,Mathematics,93.52%
2011-2012,Charlotte County ,Bacon District Elementary,Mathematics,59.68%
2011-2012,Culpeper County ,Farmington Elementary,Mathematics,76.21%
2011-2012,Fairfax County ,Newington Forest Elementary,Mathematics,70.03%
2011-2012,Giles County ,Narrows High,Mathematics,50.79%
2011-2012,Hampton City ,Booker Elementary,Mathematics,59.89%
2011-2012,Henrico County ,George F. Baker Elementary,Mathematics,57.71%
2011-2012,Lee County ,Jonesville Middle,Mathematics,53.71%
2011-2012,Loudoun County ,Dominion Trail Elementary,Mathematics,75.20%
2011-2012,Manassas City ,Baldwin Elementary,Mathematics,55.00%
2011-2012,Prince William County ,T. Clay Wood Elementary,Mathematics,81.84%
2011-2012,Richmond City ,Henderson Middle,Mathematics,23.25%
2011-2012,Roanoke County ,Cave Spring High,Mathematics,79.81%
2011-2012,Virginia Beach City ,Williams Elementary,Mathematics,40.00%
2011-2012,Giles County ,Giles High,Mathematics,51.45%
2011-2012,Arlington County ,Long Branch Elementary,Mathematics,84.21%
2011-2012,Botetourt County ,Greenfield Elementary,Mathematics,71.63%
2011-2012,Caroline County ,Caroline High,Mathematics,45.11%
2011-2012,Charlotte County ,Randolph-Henry High,Mathematics,53.06%
2011-2012,Chesterfield County ,Greenfield Elementary,Mathematics,82.76%
2011-2012,Chesterfield County ,Harrowgate Elementary,Mathematics,71.16%
2011-2012,Culpeper County ,Sycamore Park Elementary,Mathematics,63.77%
2011-2012,Fauquier County ,C. Hunter Ritchie Elementary,Mathematics,73.88%
2011-2012,Frederick County ,Frederick County Middle,Mathematics,47.08%
2011-2012,Hampton City ,Captain John Smith Elementary,Mathematics,60.93%
2011-2012,Norfolk City ,Mary Calcott Elementary,Mathematics,76.77%
2011-2012,Prince William County ,Loch Lomond Elementary,Mathematics,68.64%
2011-2012,Pulaski County ,Pulaski Middle,Mathematics,54.55%
2011-2012,Salem City ,West Salem Elementary,Mathematics,73.36%
2011-2012,Smyth County ,Chilhowie High,Mathematics,54.05%
2011-2012,Virginia Beach City ,Luxford Elementary,Mathematics,63.06%
2011-2012,Northampton County ,Kiptopeke Elementary,Mathematics,59.20%
2011-2012,Richmond City ,Richmond Community High,Mathematics,55.64%
2011-2012,Northampton County ,Occohannock Elementary,Mathematics,55.43%
2011-2012,Arlington County ,Wakefield High,Mathematics,51.43%
2011-2012,Bedford County ,Thaxton Elementary,Mathematics,64.71%
2011-2012,Botetourt County ,Read Mountain Middle,Mathematics,82.00%
2011-2012,Caroline County ,Caroline Middle,Mathematics,57.42%
2011-2012,Charlotte County ,Phenix Elementary,Mathematics,42.74%
2011-2012,Culpeper County ,Emerald Hill Elementary,Mathematics,72.18%
2011-2012,Fauquier County ,Grace Miller Elementary,Mathematics,70.74%
2011-2012,Hampton City ,C. Alton Lindsay Middle,Mathematics,52.37%
2011-2012,Loudoun County ,Buffalo Trail Elementary,Mathematics,80.28%
2011-2012,Prince William County ,Featherstone Elementary,Mathematics,68.67%
2011-2012,Roanoke City ,James Madison Middle,Mathematics,68.17%
2011-2012,Suffolk City ,Hillpoint Elementary,Mathematics,72.20%
2011-2012,Tazewell County ,North Tazewell Elementary,Mathematics,59.57%
2011-2012,Virginia Beach City ,Kempsville Elementary,Mathematics,52.34%
2011-2012,Arlington County ,Jamestown Elementary,Mathematics,88.85%
2011-2012,Augusta County ,Stuarts Draft Elementary,Mathematics,60.77%
2011-2012,Botetourt County ,Lord Botetourt High,Mathematics,57.54%
2011-2012,Chesterfield County ,Woolridge Elementary,Mathematics,88.89%
2011-2012,Fairfax County ,Franklin Middle,Mathematics,89.60%
2011-2012,Grayson County ,Baywood Elementary,Mathematics,56.86%
2011-2012,Hampton City ,John Tyler Elementary,Mathematics,55.98%
2011-2012,Hanover County ,Stonewall Jackson Middle,Mathematics,72.78%
2011-2012,Henrico County ,Pemberton Elementary,Mathematics,85.29%
2011-2012,Patrick County ,Blue Ridge Elementary,Mathematics,71.61%
2011-2012,Portsmouth City ,John Tyler Elementary,Mathematics,60.06%
2011-2012,Prince William County ,R. Dean Kilby Elementary,Mathematics,58.23%
2011-2012,Roanoke City ,Stonewall Jackson Middle,Mathematics,78.25%
2011-2012,Stafford County ,Shirley C. Heim Middle,Mathematics,76.08%
2011-2012,Suffolk City ,Creekside Elementary,Mathematics,74.15%
2011-2012,Virginia Beach City ,Floyd Kellam High,Mathematics,58.45%
2011-2012,Wythe County ,Speedwell Elementary,Mathematics,59.49%
2011-2012,Stafford County ,Anthony Burns Elementary,Mathematics,68.77%
2011-2012,Stafford County ,Donald B. Dixon-Lyle R. Smith Middle,Mathematics,77.82%
2011-2012,Stafford County ,Conway Elementary,Mathematics,70.36%
2011-2012,Botetourt County ,James River High,Mathematics,60.89%
2011-2012,Chesterfield County ,Bensley Elementary,Mathematics,80.69%
2011-2012,Chesterfield County ,James River High,Mathematics,55.69%
2011-2012,Fairfax County ,Oak Hill Elementary,Mathematics,90.64%
2011-2012,Grayson County ,Grayson Highlands School,Mathematics,53.54%
2011-2012,Hampton City ,Bethel High,Mathematics,43.20%
2011-2012,Hanover County ,Elmont Elementary,Mathematics,75.25%
2011-2012,Henrico County ,Laburnum Elementary,Mathematics,68.06%
2011-2012,Norfolk City ,Jacox Elementary,Mathematics,37.44%
2011-2012,Prince William County ,Triangle Elementary,Mathematics,75.34%
2011-2012,Pulaski County ,Snowville Elementary,Mathematics,86.96%
2011-2012,Virginia Beach City ,Great Neck Middle,Mathematics,87.58%
2011-2012,Stafford County ,Kate Waller Barrett Elementary,Mathematics,79.57%
2011-2012,Stafford County ,Rodney E. Thompson Middle,Mathematics,91.96%
2011-2012,Stafford County ,Rocky Run Elementary,Mathematics,69.45%
2011-2012,Isle of Wight County ,Westside Elementary,Mathematics,75.48%
2011-2012,Roanoke City ,Westside Elementary,Mathematics,74.81%
2011-2012,Stafford County ,Colonial Forge High,Mathematics,72.77%
2011-2012,Stafford County ,Winding Creek Elementary,Mathematics,71.81%
2011-2012,Grayson County ,Independence Elementary,Mathematics,55.32%
2011-2012,Isle of Wight County ,Windsor Middle,Mathematics,80.97%
2011-2012,Stafford County ,H.H. Poole Middle,Mathematics,84.43%
2011-2012,Grayson County ,Grayson County High,Mathematics,49.69%
2011-2012,Isle of Wight County ,Carrollton Elementary,Mathematics,65.28%
2011-2012,Stafford County ,Brooke Point High,Mathematics,62.88%
2011-2012,Arlington County ,Taylor Elementary,Mathematics,90.40%
2011-2012,Botetourt County ,Central Academy Middle,Mathematics,82.26%
2011-2012,Chesterfield County ,Carver Middle,Mathematics,64.74%
2011-2012,Fairfax County ,Mount Vernon High,Mathematics,38.27%
2011-2012,Frederick County ,James Wood Middle,Mathematics,53.34%
2011-2012,Hanover County ,Mechanicsville Elementary,Mathematics,75.60%
2011-2012,Henrico County ,Harold Macon Ratcliffe Elementary,Mathematics,57.85%
2011-2012,Manassas Park City ,Manassas Park Elementary,Mathematics,55.89%
2011-2012,Norfolk City ,Granby Elementary,Mathematics,56.85%
2011-2012,Roanoke City ,Hurt Park Elementary,Mathematics,65.38%
2011-2012,Roanoke County ,Back Creek Elementary,Mathematics,84.77%
2011-2012,Virginia Beach City ,King's Grant Elementary,Mathematics,54.66%
2011-2012,Arlington County ,Nottingham Elementary,Mathematics,91.55%
2011-2012,Chesterfield County ,Thelma Crenshaw Elementary,Mathematics,57.82%
2011-2012,Frederick County ,Stonewall Elementary,Mathematics,54.87%
2011-2012,Hampton City ,Paul Burbank Elementary,Mathematics,59.18%
2011-2012,Hanover County ,Pearson's Corner Elementary,Mathematics,88.60%
2011-2012,Henrico County ,Douglas S. Freeman High,Mathematics,70.89%
2011-2012,Russell County ,Lebanon Elementary,Mathematics,63.23%
2011-2012,Virginia Beach City ,Kempsville Meadows Elementary,Mathematics,62.25%
2011-2012,Botetourt County ,Colonial Elementary,Mathematics,50.43%
2011-2012,Chesterfield County ,Jacobs Road Elementary,Mathematics,79.78%
2011-2012,Fairfax County ,White Oaks Elementary,Mathematics,81.93%
2011-2012,Hanover County ,Patrick Henry High,Mathematics,52.31%
2011-2012,Henrico County ,Crestview Elementary,Mathematics,79.34%
2011-2012,Loudoun County ,Hillside Elementary,Mathematics,75.44%
2011-2012,Page County ,Luray Middle,Mathematics,80.49%
2011-2012,Prince Edward County ,Prince Edward County High,Mathematics,54.04%
2011-2012,Roanoke City ,Patrick Henry High,Mathematics,43.66%
2011-2012,Roanoke City ,William Fleming High,Mathematics,29.40%
2011-2012,Rockingham County ,Elkton Elementary,Mathematics,61.94%
2011-2012,Spotsylvania County ,Brock Road Elementary,Mathematics,80.15%
2011-2012,Virginia Beach City ,Thoroughgood Elementary,Mathematics,81.74%
2011-2012,Virginia Beach City ,White Oaks Elementary,Mathematics,56.87%
2011-2012,Washington County ,Patrick Henry High,Mathematics,41.65%
2011-2012,Suffolk City ,King`s Fork High,Mathematics,30.76%
2011-2012,Suffolk City ,King`s Fork Middle,Mathematics,67.43%
2011-2012,Rockingham County ,East Rockingham High,Mathematics,67.54%
2011-2012,Suffolk City ,Northern Shores Elementary,Mathematics,82.20%
2011-2012,West Point ,West Point Middle,Mathematics,70.72%
2011-2012,Botetourt County ,Cloverdale Elementary,Mathematics,70.55%
2011-2012,Chesterfield County ,Enon Elementary,Mathematics,86.31%
2011-2012,Fairfax County ,Fox Mill Elementary,Mathematics,88.05%
2011-2012,Giles County ,Macy Mcclaugherty Elementary/Middle,Mathematics,66.14%
2011-2012,Henrico County ,George H. Moody Middle,Mathematics,74.18%
2011-2012,Norfolk City ,Granby High,Mathematics,45.10%
2011-2012,Page County ,Page County Middle,Mathematics,59.57%
2011-2012,Rockingham County ,River Bend Elementary,Mathematics,52.94%
2011-2012,Spotsylvania County ,Smith Station Elementary,Mathematics,69.90%
2011-2012,Suffolk City ,Forest Glen Middle,Mathematics,76.94%
2011-2012,Virginia Beach City ,Woodstock Elementary,Mathematics,65.71%
2011-2012,Spotsylvania County ,Chancellor Middle,Mathematics,59.33%
2011-2012,Gloucester County ,Bethel Elementary,Mathematics,72.90%
2011-2012,Spotsylvania County ,Chancellor High,Mathematics,47.11%
2011-2012,Arlington County ,McKinley Elementary,Mathematics,89.55%
2011-2012,Chesterfield County ,Providence Elementary,Mathematics,74.25%
2011-2012,Fairfax County ,Providence Elementary,Mathematics,83.93%
2011-2012,Fairfax County ,Woodlawn Elementary,Mathematics,65.34%
2011-2012,Frederick County ,Gainesboro Elementary,Mathematics,60.08%
2011-2012,Hampton City ,Thomas Eaton Middle,Mathematics,62.92%
2011-2012,Henrico County ,Glen Lea Elementary,Mathematics,55.74%
2011-2012,Page County ,Page County High,Mathematics,45.34%
2011-2012,Prince William County ,Herbert J. Saunders Middle,Mathematics,67.71%
2011-2012,Roanoke City ,Fishburn Park Elementary,Mathematics,81.08%
2011-2012,Suffolk City ,John Yeates Middle,Mathematics,75.67%
2011-2012,Virginia Beach City ,Providence Elementary,Mathematics,61.13%
2011-2012,Warren County ,Hilda J. Barbour Elementary,Mathematics,68.83%
2011-2012,Augusta County ,Craigsville Elementary,Mathematics,61.73%
2011-2012,Chesterfield County ,Matoaca Elementary,Mathematics,65.74%
2011-2012,Fairfax County ,Forestville Elementary,Mathematics,85.07%
2011-2012,Hampton City ,Phillips Elementary,Mathematics,79.74%
2011-2012,Hanover County ,Lee Davis High,Mathematics,50.92%
2011-2012,Henrico County ,Lakeside Elementary,Mathematics,58.71%
2011-2012,Lynchburg City ,Sandusky Elementary,Mathematics,63.64%
2011-2012,Manassas City ,Osbourn High,Mathematics,31.89%
2011-2012,Orange County ,Orange Elementary,Mathematics,69.57%
2011-2012,Prince William County ,Fannie W. Fitzgerald Elementary,Mathematics,58.45%
2011-2012,Roanoke City ,Monterey Elementary,Mathematics,79.04%
2011-2012,Spotsylvania County ,Spotsylvania High,Mathematics,40.97%
2011-2012,Suffolk City ,John F. Kennedy Middle,Mathematics,67.94%
2011-2012,Henry County ,Axton Elementary,Mathematics,66.34%
2011-2012,Arlington County ,Oakridge Elementary,Mathematics,79.93%
2011-2012,Chesterfield County ,O.B. Gates Elementary,Mathematics,82.94%
2011-2012,Covington City ,Jeter-Watson Intermediate,Mathematics,42.03%
2011-2012,Floyd County ,Floyd Elementary,Mathematics,74.60%
2011-2012,Goochland County ,Goochland Elementary,Mathematics,78.98%
2011-2012,Hampton City ,Tucker-Capps Elementary,Mathematics,66.86%
2011-2012,Hanover County ,Battlefield Park Elementary,Mathematics,72.32%
2011-2012,Lynchburg City ,Linkhorne Elementary,Mathematics,46.02%
2011-2012,Prince William County ,Samuel L. Gravely Jr. Elementary,Mathematics,77.89%
2011-2012,Rockingham County ,Linville-Edom Elementary,Mathematics,71.28%
2011-2012,Virginia Beach City ,John B. Dey Elementary,Mathematics,83.04%
2011-2012,Arlington County ,Abingdon Elementary,Mathematics,69.43%
2011-2012,Chesterfield County ,Ettrick Elementary,Mathematics,52.08%
2011-2012,Covington City ,Covington High,Mathematics,39.15%
2011-2012,Fairfax County ,Hughes Middle,Mathematics,76.73%
2011-2012,Franklin County ,Callaway Elementary,Mathematics,82.95%
2011-2012,Gloucester County ,Abingdon Elementary,Mathematics,73.53%
2011-2012,Hampton City ,Benjamin Syms Middle,Mathematics,57.22%
2011-2012,Loudoun County ,Steuart W. Weller Elementary,Mathematics,69.05%
2011-2012,Lynchburg City ,Linkhorne Middle,Mathematics,59.22%
2011-2012,Page County ,Luray Elementary,Mathematics,66.67%
2011-2012,Patrick County ,Hardin Reynolds Elementary,Mathematics,61.70%
2011-2012,Prince William County ,Yorkshire Elementary,Mathematics,62.40%
2011-2012,Spotsylvania County ,Livingston Elementary,Mathematics,68.88%
2011-2012,Virginia Beach City ,Thalia Elementary,Mathematics,66.12%
2011-2012,Washington County ,Abingdon Elementary,Mathematics,74.57%
2011-2012,Albemarle County ,Crozet Elementary,Mathematics,65.33%
2011-2012,Chesapeake City ,Hickory Elementary,Mathematics,80.21%
2011-2012,Chesterfield County ,Swift Creek Elementary,Mathematics,83.51%
2011-2012,Frederick County ,Middletown Elementary,Mathematics,51.94%
2011-2012,Goochland County ,Goochland Middle,Mathematics,73.79%
2011-2012,Loudoun County ,Pinebrook Elementary,Mathematics,86.57%
2011-2012,Lynchburg City ,Sandusky Middle,Mathematics,46.99%
2011-2012,Nottoway County ,Blackstone Primary,Mathematics,52.81%
2011-2012,Orange County ,Prospect Heights Middle,Mathematics,65.99%
2011-2012,Prince George County ,David A. Harrison Elementary,Mathematics,76.90%
2011-2012,Prince William County ,Glenkirk Elementary,Mathematics,67.55%
2011-2012,Roanoke City ,Lincoln Terrace Elementary,Mathematics,69.89%
2011-2012,Spotsylvania County ,Berkeley Elementary,Mathematics,72.51%
2011-2012,Sussex County ,Sussex Central High,Mathematics,37.06%
2011-2012,Virginia Beach City ,Princess Anne Elementary,Mathematics,78.28%
2011-2012,York County ,York River Academy,Mathematics,35.82%
2011-2012,Alexandria City ,Samuel W. Tucker Elementary,Mathematics,47.26%
2011-2012,York County ,Grafton Middle,Mathematics,83.39%
2011-2012,York County ,Grafton High,Mathematics,68.19%
2011-2012,Northumberland County ,Northumberland Elementary,Mathematics,61.96%
2011-2012,Arlington County ,Yorktown High,Mathematics,73.87%
2011-2012,Fairfax County ,Groveton Elementary,Mathematics,68.92%
2011-2012,Hampton City ,Barron Elementary,Mathematics,69.19%
2011-2012,Henrico County ,Henry D. Ward Elementary,Mathematics,66.80%
2011-2012,Lee County ,Elk Knob Elementary,Mathematics,53.13%
2011-2012,Lynchburg City ,Paul Munro Elementary,Mathematics,68.61%
2011-2012,Nottoway County ,Crewe Primary,Mathematics,52.14%
2011-2012,Prince William County ,A. Henderson Elementary,Mathematics,78.67%
2011-2012,Richmond City ,Oak Grove/Bellemeade Elementary,Mathematics,46.43%
2011-2012,Roanoke County ,Clearbrook Elementary,Mathematics,83.46%
2011-2012,Spotsylvania County ,Spotsylvania Middle,Mathematics,64.68%
2011-2012,Suffolk City ,Mack Benn Jr. Elementary,Mathematics,71.48%
2011-2012,Virginia Beach City ,Linkhorn Park Elementary,Mathematics,69.17%
2011-2012,Portsmouth City ,Churchland Academy Elementary,Mathematics,69.08%
2011-2012,Virginia Beach City ,Princess Anne High,Mathematics,54.29%
2011-2012,Chesterfield County ,Midlothian High,Mathematics,69.01%
2011-2012,Fairfax County ,Franconia Elementary,Mathematics,69.66%
2011-2012,Fluvanna County ,Fluvanna Middle,Mathematics,61.37%
2011-2012,Frederick County ,Armel Elementary,Mathematics,68.29%
2011-2012,Hampton City ,Kecoughtan High,Mathematics,45.66%
2011-2012,Isle of Wight County ,Hardy Elementary,Mathematics,60.17%
2011-2012,Newport News City ,Willis A. Jenkins Elementary,Mathematics,43.56%
2011-2012,Patrick County ,Stuart Elementary,Mathematics,69.67%
2011-2012,Portsmouth City ,Churchland Middle,Mathematics,46.59%
2011-2012,Prince William County ,Springwoods Elementary,Mathematics,74.86%
2011-2012,Stafford County ,Hampton Oaks Elementary,Mathematics,71.07%
2011-2012,Wise County ,L.F. Addington Middle,Mathematics,81.89%
2011-2012,Richmond City ,George W. Carver Elementary,Mathematics,50.00%
2011-2012,Alleghany County ,Alleghany High,Mathematics,48.03%
2011-2012,Dinwiddie County ,Dinwiddie Elementary,Mathematics,58.69%
2011-2012,Henrico County ,Twin Hickory Elementary,Mathematics,93.29%
2011-2012,Manassas City ,Jennie Dean Elementary,Mathematics,53.11%
2011-2012,Page County ,Shenandoah Elementary,Mathematics,70.00%
2011-2012,Portsmouth City ,William E. Waters Middle,Mathematics,45.48%
2011-2012,Prince George County ,L.L. Beazley Elementary,Mathematics,87.33%
2011-2012,Roanoke City ,Grandin Court Elementary,Mathematics,81.10%
2011-2012,Westmoreland County ,Washington District Elementary,Mathematics,68.75%
2011-2012,Nottoway County ,Nottoway Middle,Mathematics,46.15%
2011-2012,Nottoway County ,Nottoway High,Mathematics,36.02%
2011-2012,Chesterfield County ,Evergreen Elementary,Mathematics,78.72%
2011-2012,Fairfax County ,Rocky Run Middle,Mathematics,90.98%
2011-2012,Hampton City ,Jefferson Davis Middle,Mathematics,57.83%
2011-2012,Henrico County ,Echo Lake Elementary,Mathematics,88.99%
2011-2012,Lynchburg City ,Sheffield Elementary School,Mathematics,39.38%
2011-2012,Newport News City ,Joseph H. Saunders Elementary,Mathematics,48.99%
2011-2012,Nottoway County ,Nottoway Intermediate,Mathematics,66.88%
2011-2012,Prince George County ,South Elementary,Mathematics,79.37%
2011-2012,Roanoke City ,Garden City Elementary,Mathematics,71.20%
2011-2012,Stafford County ,Park Ridge Elementary,Mathematics,77.94%
2011-2012,Suffolk City ,Lakeland High,Mathematics,30.50%
2011-2012,Virginia Beach City ,Shelton Park Elementary,Mathematics,56.13%
2011-2012,Westmoreland County ,Montross Middle,Mathematics,56.30%
2011-2012,Mathews County ,Lee-Jackson Elementary,Mathematics,68.99%
2011-2012,Middlesex County ,Middlesex Elementary,Mathematics,79.40%
2011-2012,Chesterfield County ,W.W. Gordon Elementary,Mathematics,88.04%
2011-2012,Clarke County ,D.G. Cooley Elementary,Mathematics,55.64%
2011-2012,Fairfax County ,Fairview Elementary,Mathematics,80.55%
2011-2012,Grayson County ,Fairview Elementary,Mathematics,54.90%
2011-2012,Henrico County ,Varina Elementary,Mathematics,56.80%
2011-2012,King and Queen County ,Lawson-Marriott Elementary,Mathematics,65.15%
2011-2012,Lee County ,Pennington Middle,Mathematics,60.87%
2011-2012,Loudoun County ,Lincoln Elementary,Mathematics,88.52%
2011-2012,Lynchburg City ,Bedford Hills Elementary,Mathematics,73.42%
2011-2012,Montgomery County ,Shawsville Middle,Mathematics,58.37%
2011-2012,Newport News City ,T. Ryland Sanford Elementary,Mathematics,49.81%
2011-2012,Pittsylvania County ,Gretna Middle,Mathematics,55.48%
2011-2012,Portsmouth City ,Simonsdale Elementary,Mathematics,63.03%
2011-2012,Roanoke City ,Fairview Elementary,Mathematics,78.00%
2011-2012,Roanoke County ,Mount Pleasant Elementary,Mathematics,75.31%
2011-2012,Smyth County ,Atkins Elementary,Mathematics,51.92%
2011-2012,Virginia Beach City ,Seatack Elementary,Mathematics,46.70%
2011-2012,West Point ,West Point High,Mathematics,75.78%
2011-2012,Chesapeake City ,Hickory Middle,Mathematics,77.66%
2011-2012,Chesterfield County ,Monacan High,Mathematics,47.37%
2011-2012,Clarke County ,Johnson-Williams Middle,Mathematics,59.85%
2011-2012,Fairfax County ,Sunrise Valley Elementary,Mathematics,85.51%
2011-2012,Gloucester County ,Peasley Middle,Mathematics,76.05%
2011-2012,Hampton City ,Hampton High,Mathematics,33.42%
2011-2012,Henrico County ,Pocahontas Middle,Mathematics,85.99%
