School Year,Division,School,Subject Area,Pass Rate
2011-2012,Fairfax County ,Oakton High,Mathematics,73.10%
2011-2012,Pittsylvania County ,Stony Mill Elementary,Mathematics,46.19%
2011-2012,Richmond City ,J.L. Francis Elementary,Mathematics,49.28%
2011-2012,Fairfax County ,Cunningham Park Elementary,Mathematics,84.86%
2011-2012,Pittsylvania County ,Gretna High,Mathematics,35.26%
2011-2012,Fairfax County ,Cardinal Forest Elementary,Mathematics,78.20%
2011-2012,Pittsylvania County ,Kentuck Elementary,Mathematics,53.17%
2011-2012,Fairfax County ,Silverbrook Elementary,Mathematics,76.73%
2011-2012,Pittsylvania County ,Dan River High,Mathematics,60.46%
2011-2012,Fairfax County ,Westgate Elementary,Mathematics,90.51%
2011-2012,Fairfax County ,Shrevewood Elementary,Mathematics,81.76%
2011-2012,Pittsylvania County ,Chatham Middle,Mathematics,58.80%
2011-2012,Portsmouth City ,Woodrow Wilson High,Mathematics,38.71%
2011-2012,Fairfax County ,Olde Creek Elementary,Mathematics,83.54%
2011-2012,Fairfax County ,Mount Vernon Woods Elementary,Mathematics,59.62%
2011-2012,Richmond City ,J.B. Fisher Elementary,Mathematics,56.86%
2011-2012,Fairfax County ,Fairhill Elementary,Mathematics,78.50%
2011-2012,Portsmouth City ,Hodges Manor Elementary,Mathematics,77.70%
2011-2012,Richmond City ,Fred D. Thompson Middle,Mathematics,39.92%
2011-2012,Fairfax County ,Spring Hill Elementary,Mathematics,92.98%
2011-2012,Fairfax County ,West Springfield High,Mathematics,70.89%
2011-2012,Fairfax County ,Cub Run Elementary,Mathematics,73.48%
2011-2012,Rockingham County ,Cub Run Elementary,Mathematics,54.45%
2011-2012,Fairfax County ,Canterbury Woods Elementary,Mathematics,92.12%
2011-2012,Fairfax County ,Westbriar Elementary,Mathematics,95.28%
2011-2012,Fairfax County ,Lake Anne Elementary,Mathematics,77.04%
2011-2012,Halifax County ,Clays Mill Elementary,Mathematics,63.33%
2011-2012,Fairfax County ,Whitman Middle,Mathematics,59.96%
2011-2012,Halifax County ,Meadville Elementary,Mathematics,71.58%
2011-2012,Fairfax County ,Union Mill Elementary,Mathematics,82.19%
2011-2012,Fairfax County ,Armstrong Elementary,Mathematics,79.23%
2011-2012,Hampton City ,Armstrong Elementary,Mathematics,87.50%
2011-2012,Fairfax County ,Holmes Middle,Mathematics,82.60%
2011-2012,Halifax County ,Sinai Elementary,Mathematics,55.93%
2011-2012,Fairfax County ,Columbia Elementary,Mathematics,72.07%
2011-2012,Halifax County ,Scottsburg Elementary,Mathematics,73.64%
2011-2012,Richmond City ,Huguenot High,Mathematics,27.04%
2011-2012,Fairfax County ,Greenbriar West Elementary,Mathematics,91.76%
2011-2012,Halifax County ,Sydnor Jennings Elementary,Mathematics,58.26%
