DISTRICT,ADDRESS,SCHOOL,URL,SCHOOLID,TYPE,Marker_Type,Grade in 2013,POINTTOT,POINTELEMpass,POINTELEMalt,POINTMIDDpass,POINTMIDDalt,POINTHIGH
DORCHESTER 4,"St. George Middle, 600 Minus Street, St. George, SC, 29477",ST GEORGE MIDDLE,http://stgeorge.dorchester4.k12.sc.us/home.aspx?,1804017,MIDD,measle_turquoise,C,74.6,,,74.6,,
CHARLESTON,"Stiles Point Elementary, 883-A Mikell Drive, Charleston, SC, 29412",STILES POINT ELEMENTARY,http://stilespoint.ccsdschools.com/,1001084,ELEM,small_green,A,99.8,99.8,,,,
CHARLESTON,"St. James Santee Elementary, 8900 Highway 17 North, McClellanville, SC, 29458",ST JAMES-SANTEE ELEMENTARY,http://stjames.ccsdschools.com/,1001056,ELEM,small_red,F,20,20,,,,
CHARLESTON,"St. Johns High, 1518 Main Road, Johns Island, SC, 29455",ST JOHNS HIGH,http://stjohns.ccsdschools.com/,1001020,HIGH,small_red,F,50.4,,,,,50.4
KERSHAW,"Leslie M. Stover Middle, 1649 Smyrna Road, Elgin, SC, 29045",LESLIE M. STOVER SCHOOL,http://sto.kcsdschools.com/,2801023,MIDD,small_yellow,B,86.9,,,86.9,,
CHARLESTON,"Stono Park Elementary, 1699 Garden Street, Charleston, SC, 29407",STONO PARK ELEMENTARY,http://stonopark.ccsdschools.com/,1001085,ELEM,small_green,A,95,95,,,,
CLARENDON 1,"St. Paul Elementary, 9297 Alex Harvin Highway, Summerton, SC, 29148",ST PAUL ELEMENTARY,http://stp.clarendon1.k12.sc.us/,1401005,COMBO,small_green,A,91.1,94.6,,81.6,,
CHARLESTON,"Sullivan's Island Elementary, 1120 Rifle Range, Mt. Pleasant, SC, 29464",SULLIVANS ISLAND ELEMENTARY,http://sullivansisland.ccsdschools.com/,1001086,ELEM,small_green,A,100,100,,,,
RICHLAND 1,"E.E. Taylor Elementary, 200 McRae Street, Columbia, SC, 29203",EDWARD E TAYLOR ELEMENTARY,http://taylor.richlandone.org/,4001053,ELEM,small_green,A,95.2,95.2,,,,
CHARLESTON,"Orange Grove Elementary Charter, 1225 Orange Branch Road, Charleston, SC, 29407",ORANGE GROVE CHARTER,http://teacherweb.com/SC/OrangeGroveElementaryCharterSchool/Homepage/sdhp1.aspx,1001618,ELEM,small_green,A,98.3,98.3,,,,
ANDERSON 4,"Townville Elementary, 105 Townville School Road, Townville, SC, 29689",TOWNVILLE ELEMENTARY,http://tes.anderson4.org,404036,COMBO,small_green,A,100,100,,100,,
DARLINGTON,"Thornwell School for the Arts, 437 West Carolina Avenue, Hartsville, SC, 29550",THORNWELL SCHOOL FOR THE ARTS,http://tes.dcsdschools.org/,1601027,ELEM,small_green,A,92.9,92.9,,,,
CHARLESTON,"Apple Charter School, 1101 Camp Road, Charleston, SC, 29412",APPLE CHARTER SCHOOL,http://theapplecharter.ccsdschools.com/,1001627,COMBO,small_red,F,47.2,68.3,,30.5,,
SPARTANBURG 7,"E. P. Todd School, 150 Old Canaan Road, Spartanburg, SC, 29306",E P TODD SCHOOL,http://todd.spartanburg7.org/,4207075,COMBO,small_green,A,94.6,95.5,,93.5,,
CHARLESTON,"Wando High, 1000 Warrior Way, Mt. Pleasant, SC, 29466",WANDO HIGH,http://wandohigh.ccsdschools.com/,1001014,HIGH,small_green,A,93.2,,,,,93.2
AIKEN,"Warrenville Elementary, 569 Howlandville Road, Warrenville, SC, 29851",WARRENVILLE ELEMENTARY,http://warrenvilleel.acps.schoolfusion.us/,201052,ELEM,small_green,A,91.7,91.7,,,,
RICHLAND 1,"Watkins-Nance Elementary, 2525 Barhamville Road, Columbia, SC, 29204",WATKINS-NANCE ELEMENTARY,http://watkinsnance.richlandone.org/,4001092,ELEM,small_purple,D,61,61,,,,
BEAUFORT,"Whale Branch Elementary, 15 Stuart Point Road, Seabrook, SC, 29940",WHALE BRANCH ELEMENTARY,http://wbe.beaufort.k12.sc.us/,701023,ELEM,small_purple,D,69.5,69.5,,,,
BEAUFORT,"Whale Branch Early College High, 169 Detour Road, Seabrook, SC, 29940",WHALE BRANCH EARLY COLLEGE HIGH,http://wbh.beaufort.k12.sc.us/,701036,HIGH,measle_brown,No Grade,,,,,,
BEAUFORT,"Whale Branch Middle, 2009 Trask Parkway, Seabrook, SC, 29940",WHALE BRANCH MIDDLE,http://wbm.beaufort.k12.sc.us/,701027,COMBO,small_red,F,50.8,20.7,,60.3,,
SUMTER 1,"Willow Drive Elementary, 26 Willow Drive, Sumter, SC, 29150",WILLOW DRIVE ELEMENTARY,http://wde.sumterschools.net/,4301039,ELEM,small_yellow,B,89.2,89.2,,,,
HORRY,"Waccamaw Elementary, 251 Claridy Road, Conway, SC, 29526",WACCAMAW ELEMENTARY,http://we.horrycountyschools.net/,2601042,ELEM,small_yellow,B,82.1,82.1,,,,
RICHLAND 1,"Webber School, 140 Webber School Road, Eastover, SC, 29044",WEBBER ELEMENTARY,http://webber.richlandone.org/,4001064,ELEM,small_green,A,97.5,97.5,,,,
ANDERSON 2,"Wright Elementary, 1136 Wright School Road, Belton, SC, 29627",WRIGHT ELEMENTARY,http://wes.anderson2.org/,402021,ELEM,small_green,A,100,100,,,,
KERSHAW,"Wateree Elementary, 424 Wildwood Lane, Lugoff, SC, 29078",WATEREE ELEMENTARY,http://wes.kcsdschools.com/,2801022,ELEM,small_green,A,96.4,96.4,,,,
ORANGEBURG 5,"Whittaker Elementary, 790 Whittaker Parkway, Orangeburg, SC, 29115",WHITTAKER ELEMENTARY,http://wes.ocsd5schools.org/,3805040,ELEM,small_green,A,100,100,,,,
PICKENS,"West End Elementary, 314 Pelzer Highway, Easley, SC, 29642",WEST END ELEMENTARY,http://wes.pickens.k12.sc.us/,3901028,ELEM,small_green,A,100,100,,,,
CHARLESTON,"West Ashley High, 4060 West Wildcat Boulevard, Charleston, SC, 29414",WEST ASHLEY HIGH,http://westashleyhigh.ccsdschools.com/,1001104,HIGH,small_purple,D,62.2,,,,,62.2
CHARLESTON,"West Ashley Middle, 1776 Kennerty Drive, Charleston, SC, 29407",WEST ASHLEY MIDDLE,http://westashleymiddle.ccsdschools.com/,1001106,MIDD,small_red,F,43.9,,,43.9,,
DARLINGTON,"West Hartsville Elementary, 214 Clyde Road, Hartsville, SC, 29550",WEST HARTSVILLE ELEMENTARY,http://whe.dcsdschools.org/,1601028,ELEM,small_yellow,B,83.8,83.8,,,,
SPARTANBURG 6,"Woodland Heights Elementary, 1216 John B. White, Sr. Boulevard, Spartanburg, SC, 29306",WOODLAND HEIGHTS ELEMENTARY,http://whe.spartanburg6.k12.sc.us/,4206067,ELEM,small_green,A,99.7,99.7,,,,
CHARLESTON,"Mamie Whitesides Elementary, 1565 Rifle Range Road, Mt. Pleasant, SC, 29464",MAMIE WHITESIDES ELEMENTARY,http://whitesides.ccsdschools.com/,1001090,ELEM,small_green,A,90.8,90.8,,,,
NEWBERRY,"Whitmire Community School (Elementary), 2597 SC Highway 66, Whitmire, SC, 29178",WHITMIRE COMMUNITY ELEMENTARY,http://whitmirecommunityschool.sc.ncs.schoolinsites.com/,3601021,ELEM,small_green,A,95.9,95.9,,,,
NEWBERRY,"Whitmire Community School (High), 2597 SC Highway 66, Whitmire, SC, 29178",WHITMIRE HIGH,http://whitmirecommunityschool.sc.ncs.schoolinsites.com/,3601004,COMBO,small_red,F,35,,,35,,
CHARLESTON,"C. E. Williams Middle School for Creative and Scientific Arts, 640 Butte Street, Charleston, SC, 29414",C E WILLIAMS MIDDLE SCHOOL FOR C,http://williams.ccsdschools.com/,1001092,MIDD,small_yellow,B,87.1,,,87.1,,
LEXINGTON 1,"White Knoll Elementary, 132 White Knoll Way, West Columbia, SC, 29170",WHITE KNOLL ELEMENTARY,http://wkes.lexington1.net:8025/,3201049,ELEM,measle_turquoise,C,78.9,78.9,,,,
LEXINGTON 1,"White Knoll High, 5643 Platt Springs Road, Lexington, SC, 29073",WHITE KNOLL HIGH,http://wkhs.lexington1.net:8027/,3201057,HIGH,small_yellow,B,86.6,,,,,86.6
LEXINGTON 1,"White Knoll Middle, 116 White Knoll Way, West Columbia, SC, 29170",WHITE KNOLL MIDDLE,http://wkms.lexington1.net:8026/,3201053,MIDD,measle_turquoise,C,77.5,,,77.5,,
SUMTER 1,"Wilder Elementary, 975 South Main Street, Sumter, SC, 29150",WILDER ELEMENTARY,http://wld.sumterschools.net/,4301038,ELEM,small_green,A,96.8,96.8,,,,
DORCHESTER 4,"William Memorial Elementary, 290 South Metts Street , St. George, SC, 29477",WILLIAMS MEMORIAL ELEMENTARY,http://wm.dorchester4.k12.sc.us/home.aspx?,1804018,ELEM,small_yellow,B,86.5,86.5,,,,
DORCHESTER 4,"Woodland High, 4128 Highway 78, Dorchester, SC, 29437",WOODLAND HIGH,http://woodland.dorchester4.k12.sc.us/home.aspx?,1804019,HIGH,small_red,F,48.8,,,,,48.8
HORRY,"Whittemore Park Middle, 1808 Rhue Street, Conway, SC, 29527",WHITTEMORE PARK MIDDLE,http://wpm.horrycountyschools.net/,2601013,MIDD,small_yellow,B,88.6,,,88.6,,
DARLINGTON,"Washington St. Elementary, 325 Washington Street, Hartsville, SC, 29550",WASHINGTON STREET ELEMENTARY,http://wse.dcsdschools.org/,1601029,ELEM,small_green,A,91.3,91.3,,,,
AIKEN,"Wagener-Salley High, 272 Main Street South, Wagener, SC, 29164",WAGENER-SALLEY HIGH,http://wshs.acps.schoolfusion.us/,201015,HIGH,small_purple,D,64.5,,,,,64.5
SPARTANBURG 6,"West View Elementary, 400 Oak Grove Road, Spartanburg, SC, 29301",WEST VIEW ELEMENTARY,http://wve.spartanburg6.k12.sc.us/,4206066,ELEM,small_green,A,90.9,90.9,,,,
ALLENDALE,"Allendale-Fairfax Middle, 3305 Allendale-Fairfax Highway, Fairfax, SC, 29827",ALLENDALE-FAIRFAX MIDDLE,http://www.acs.k12.sc.us/Domain/10,301008,MIDD,small_red,F,52,,,52,,
ALLENDALE,"Allendale Fairfax High, 3581 Allendale-Fairfax Highway, Fairfax, SC, 29827",ALLENDALE-FAIRFAX HIGH,http://www.acs.k12.sc.us/Domain/11,301001,HIGH,small_red,F,48.2,,,,,48.2
ALLENDALE,"Allendale Elementary, 4561 Allendale-Fairfax Highway, Allendale, SC, 29810",ALLENDALE ELEMENTARY,http://www.acs.k12.sc.us/Domain/8,301004,ELEM,measle_turquoise,C,71.2,71.2,,,,
ALLENDALE,"Fairfax Elementary, 734 14th Street East, Fairfax, SC, 29827",FAIRFAX ELEMENTARY,http://www.acs.k12.sc.us/Domain/9,301006,ELEM,measle_turquoise,C,77.5,77.5,,,,
ABBEVILLE,"Abbeville High, 701 Washington Street, Abbeville, SC, 29620",ABBEVILLE HIGH,http://www.acsd.k12.sc.us/ahs/index1.html,160001,HIGH,measle_turquoise,C,77,,,,,77
ABBEVILLE,"Cherokee Trail Elementary, 6219 Highway 184 East, Donalds, SC, 29638",CHEROKEE TRAIL ELEMENTARY,http://www.acsd.k12.sc.us/ctes/index.html,160018,COMBO,small_green,A,99.4,99,,99.9,,
ABBEVILLE,"Diamond Hill Elementary, 104 Lake Secession Road, Abbeville, SC, 29620",DIAMOND HILL ELEMENTARY,http://www.acsd.k12.sc.us/dhes/12-13/index.htm,160019,COMBO,small_green,A,97.1,100,,93.2,,
ABBEVILLE,"Dixie High, One Haynes Street, Due West, SC, 29639",DIXIE HIGH,http://www.acsd.k12.sc.us/dxhs/index.html,160003,COMBO,small_green,A,90,,,100,,80.3
ABBEVILLE,"John C. Calhoun Elementary, 750 North Calhoun Street, Calhoun Falls, SC, 29628",JOHN C CALHOUN ELEMENTARY,http://www.acsd.k12.sc.us/jcce/index.htm,160007,ELEM,small_green,A,97,97,,,,
ABBEVILLE,"Wright Middle, 111 Highway 71, Abbeville, SC, 29620",WRIGHT MIDDLE,http://www.acsd.k12.sc.us/wrms/index.html,160016,MIDD,small_yellow,B,88.6,,,88.6,,
ABBEVILLE,"Westwood Elementary, 124 Highway 28 Bypass, Abbeville, SC, 29620",WESTWOOD ELEMENTARY,http://www.acsd.k12.sc.us/wwes/index.html,160017,ELEM,small_yellow,B,87.8,87.8,,,,
ANDERSON 1,"Wren High, 905 Wren School Road, Piedmont, SC, 29673",WREN HIGH,http://www.anderson1.k12.sc.us/Domain/1101,401003,HIGH,small_yellow,B,81,,,,,81
ANDERSON 1,"Cedar Grove Elementary, 107 Melvin Lane, Williamston, SC, 29697",CEDAR GROVE ELEMENTARY,http://www.anderson1.k12.sc.us/Domain/121,401005,ELEM,small_yellow,B,87.5,87.5,,,,
ANDERSON 1,"Powdersville High, 145 Hood Road, Greenville, SC, 29611",POWDERSVILLE HIGH,http://www.anderson1.k12.sc.us/Domain/1278,401002,HIGH,measle_brown,No Grade,,,,,,
ANDERSON 1,"Hunt Meadows Elementary, 420 Hunt Road, Easley, SC, 29642",HUNT MEADOWS ELEMENTARY,http://www.anderson1.k12.sc.us/Domain/262,401014,ELEM,small_yellow,B,83.3,83.3,,,,
ANDERSON 1,"Palmetto Elementary, 1 Roberts Boulevard, Williamston, SC, 29697",PALMETTO ELEMENTARY,http://www.anderson1.k12.sc.us/Domain/330,401004,ELEM,small_yellow,B,87.9,87.9,,,,
ANDERSON 1,"Powdersville Elementary, 139 Hood Road, Greenville, SC, 29611",POWDERSVILLE ELEMENTARY,http://www.anderson1.k12.sc.us/Domain/418,401062,ELEM,small_green,A,92.9,92.9,,,,
ANDERSON 1,"Spearman Elementary, 2001 Easley Highway, Piedmont, SC, 29673",SPEARMAN ELEMENTARY,http://www.anderson1.k12.sc.us/Domain/488,401011,ELEM,small_yellow,B,86.7,86.7,,,,
ANDERSON 1,"West Pelzer Elementary, 10 West Stewart Street, West Pelzer, SC, 29669",WEST PELZER ELEMENTARY,http://www.anderson1.k12.sc.us/Domain/557,401009,ELEM,small_green,A,100,100,,,,
ANDERSON 1,"Wren Elementary, 226 Roper Road, Piedmont, SC, 29673",WREN ELEMENTARY,http://www.anderson1.k12.sc.us/Domain/624,401013,ELEM,small_green,A,99.5,99.5,,,,
ANDERSON 1,"Palmetto Middle, 803 North Hamilton Street, Williamston, SC, 29697",PALMETTO MIDDLE,http://www.anderson1.k12.sc.us/Domain/698,401012,MIDD,small_green,A,91.1,,,91.1,,
ANDERSON 1,"Powdersville Middle, 135 Hood Road, Greenville, SC, 29611",POWDERSVILLE MIDDLE,http://www.anderson1.k12.sc.us/Domain/793,401061,MIDD,small_green,A,93.6,,,93.6,,
ANDERSON 1,"Wren Middle, 1010 Wren School Road, Piedmont, SC, 29673",WREN MIDDLE,http://www.anderson1.k12.sc.us/Domain/879,401008,MIDD,small_yellow,B,86.5,,,86.5,,
ANDERSON 1,"Palmetto High, 804 North Hamilton Street, Williamston, SC, 29697",PALMETTO HIGH,http://www.anderson1.k12.sc.us/Domain/971,401001,HIGH,small_yellow,B,89.7,,,,,89.7
ANDERSON 3,"Crescent High, 9104 Highway 81 South, Iva, SC, 29655",CRESCENT HIGH,http://www.anderson3.k12.sc.us/crescent/,403022,HIGH,small_purple,D,61.9,,,,,61.9
ANDERSON 3,"Flat Rock Elementary, 115 Thompson Road, Anderson, SC, 29624",FLAT ROCK ELEMENTARY,http://www.anderson3.k12.sc.us/flat_rock/,403027,ELEM,small_yellow,B,86.6,86.6,,,,
ANDERSON 3,"Iva Elementary, 803 Antreville Highway, Iva, SC, 29655",IVA ELEMENTARY,http://www.anderson3.k12.sc.us/Iva_Elementary/,403024,ELEM,small_green,A,95.6,95.6,,,,
ANDERSON 3,"Starr-Iva Middle, 1034 Rainey Road, Starr, SC, 29684",STARR-IVA MIDDLE,http://www.anderson3.k12.sc.us/starr-iva/,403025,MIDD,small_green,A,98.2,,,98.2,,
ANDERSON 3,"Starr Elementary, 400 Professor Brown Lane, Starr, SC, 29684",STARR ELEMENTARY,http://www.anderson3.k12.sc.us/starrelem/,403026,ELEM,small_green,A,98.2,98.2,,,,
ANDERSON 5,"Concord Elementary, an International Baccalaureate World School, 2701 Calrossie Road, Anderson, SC, 29621",CONCORD ELEMENTARY,http://www.anderson5.net/Domain/10,405045,ELEM,small_green,A,99.2,99.2,,,,
ANDERSON 5,"McLees Academy of Leadership, 4900 Dobbins Bridge Road, Anderson, SC, 29626",MCLEES ACADEMY OF LEADERSHIP,http://www.anderson5.net/Domain/12,405062,ELEM,small_green,A,96.4,96.4,,,,
ANDERSON 5,"Midway Elementary School of Science and Engineering, 1221 Harriett Circle, Anderson, SC, 29621",MIDWAY ELEMENTARY SCHOOL  OF SCI,http://www.anderson5.net/Domain/13,405061,ELEM,small_green,A,93.4,93.4,,,,
ANDERSON 5,"Nevitt Forest Community School of Innovation, 1401 Bolt Drive, Anderson, SC, 29621",NEVITT FOREST COMMUNITY SCHOOL O,http://www.anderson5.net/Domain/14,405050,ELEM,small_red,F,49.1,49.1,,,,
ANDERSON 5,"New Prospect STEM Academy, 126 New Prospect Church Road, Anderson, SC, 29625",NEW PROSPECT STEM ACADEMY,http://www.anderson5.net/Domain/15,405051,ELEM,small_green,A,95.8,95.8,,,,
ANDERSON 5,"North Pointe Elementary School of Choice, 3325 Highway 81 North, Anderson, SC, 29621",NORTH POINTE ELEMENTARY SCHOOL O,http://www.anderson5.net/Domain/16,405066,ELEM,small_green,A,99,99,,,,
ANDERSON 5,"Varennes Academy of Communication & Technology, 1820 Highway 29 South, Anderson, SC, 29626",VARENNES ACADEMY OF COMMUNICATIO,http://www.anderson5.net/Domain/17,405055,ELEM,small_purple,D,66.8,66.8,,,,
ANDERSON 5,"Whitehall Elementary, a Global Communication School, 702 Whitehall Road, Anderson, SC, 29625",WHITEHALL ELEMENTARY,http://www.anderson5.net/Domain/18,405059,ELEM,small_green,A,97.8,97.8,,,,
ANDERSON 5,"Glenview Middle School of Choice                                  , 2575 Old Williamston Road, Anderson, SC, 29621",GLENVIEW MIDDLE,http://www.anderson5.net/Domain/19,405064,MIDD,small_green,A,90.4,,,90.4,,
ANDERSON 5,"Lakeside Middle School of Inquiry and Innovation, a STEM School, 315 Pearman Dairy Road, Anderson, SC, 29625",LAKESIDE MIDDLE SCHOOL OF INQUIR,http://www.anderson5.net/Domain/20,405039,MIDD,small_yellow,B,89.6,,,89.6,,
ANDERSON 5,"McCants Middle, an International Baccalaureate World Candidate School, 2123 Marchbanks Avenue, Anderson, SC, 29621",MCCANTS MIDDLE,http://www.anderson5.net/Domain/21,405040,MIDD,small_yellow,B,80.9,,,80.9,,
ANDERSON 5,"Robert Anderson College and Career Academy                           , 2302 Dobbins Bridge Road, Anderson, SC, 29625",ROBERT ANDERSON MIDDLE SCHOOL OF,http://www.anderson5.net/Domain/22,405063,MIDD,small_green,A,90.1,,,90.1,,
ANDERSON 5,"Southwood Academy of the Arts                     , 1110 Southwood Street, Anderson, SC, 29624",SOUTHWOOD ACADEMY OF ARTS,http://www.anderson5.net/Domain/23,405065,MIDD,small_green,A,100,,,100,,
ANDERSON 5,"T. L. Hanna High, an International Baccalaureate School, 2600 Highway 81 North, Anderson, SC, 29621",T L HANNA HIGH,http://www.anderson5.net/Domain/25,405038,HIGH,small_yellow,B,84.7,,,,,84.7
ANDERSON 5,"Westside High, an Early College Academy, 806 Pearman Dairy Road, Anderson, SC, 29625",WESTSIDE HIGH EARLY COLLEGE ACAD,http://www.anderson5.net/Domain/26,405048,HIGH,small_red,F,58,,,,,58
ANDERSON 5,"Anderson Five Charter School, 1225 South McDuffie Street, Anderson, SC, 29624",ANDERSON FIVE CHARTER SCHOOL,http://www.anderson5.net/domain/2723,405601,HIGH,measle_brown,No Grade,,,,,,
ANDERSON 5,"Calhoun Academy of the Arts, 1520 East Calhoun Street, Anderson, SC, 29621",CALHOUN ACADEMY OF THE ARTS,http://www.anderson5.net/Domain/8,405060,ELEM,small_yellow,B,87.4,87.4,,,,
ANDERSON 5,"Centerville Academy of 21st Learning, 1529 Whitehall Road, Anderson, SC, 29625",CENTERVILLE ACADEMY OF 21ST LEAR,http://www.anderson5.net/Domain/9,405044,ELEM,small_yellow,B,88.5,88.5,,,,
BERKELEY,"Howe Hall AIMS Elementary, 115 Howe Hall Road, Goose Creek, SC, 29445",HOWE HALL AIMS SCHOOL,http://www.berkeley.k12.sc.us/AIMS.cfm,801036,ELEM,small_green,A,99.2,99.2,,,,
BERKELEY,"Berkeley County Middle College High, 1001 South Live Oak Drive, Moncks Corner, SC, 29461",BERKELEY COUNTY MIDDLE COLLEGE H,http://www.berkeley.k12.sc.us/BerkeleyCollege.cfm,801051,HIGH,measle_brown,No Grade,,,,,,
BERKELEY,"Berkeley High, 406 West Main Street, Moncks Corner, SC, 29461",BERKELEY HIGH,http://www.berkeley.k12.sc.us/BerkeleyHigh.cfm,801002,HIGH,small_purple,D,61.2,,,,,61.2
BERKELEY,"Berkeley Intermediate, 777 Stony Landing Road, Moncks Corner, SC, 29461",BERKELEY INTERMEDIATE,http://www.berkeley.k12.sc.us/BerkeleyIntermediate.cfm,801041,ELEM,small_yellow,B,87.8,87.8,,,,
BERKELEY,"Berkeley Middle, 320 North Live Oak Drive, Moncks Corner, SC, 29461",BERKELEY MIDDLE,http://www.berkeley.k12.sc.us/BerkeleyMiddle.cfm,801012,MIDD,measle_turquoise,C,77.3,,,77.3,,
BERKELEY,"Boulder Bluff Elementary, 400 Judy Drive, Goose Creek, SC, 29445",BOULDER BLUFF ELEMENTARY,http://www.berkeley.k12.sc.us/BoulderBluff.cfm,801014,ELEM,small_yellow,B,82.5,82.5,,,,
BERKELEY,"Cainhoy Elementary Middle, 2434 Cainhoy Road, Huger, SC, 29450",CAINHOY ELEMENTARY/ MIDDLE,http://www.berkeley.k12.sc.us/Cainhoy.cfm,801015,COMBO,measle_turquoise,C,73.2,56.3,,90.5,,
BERKELEY,"Cane Bay High, 1624 State Road, Summerville, SC, 29483",CANE BAY HIGH,http://www.berkeley.k12.sc.us/CaneBay.cfm,801049,HIGH,measle_turquoise,C,75.7,,,,,75.7
BERKELEY,"Cane Bay Elementary, 1247 Cane Bay Boulevard, Summerville, SC, 29483",CANE BAY ELEMENTARY,http://www.berkeley.k12.sc.us/CaneBayElementary.cfm,801050,ELEM,small_yellow,B,84.4,84.4,,,,
BERKELEY,"Cane Bay Middle, 1175 Cane Bay Boulevard, Summerville, SC, 29483",CANE BAY MIDDLE,http://www.berkeley.k12.sc.us/CaneBayMiddle.cfm,801052,MIDD,small_yellow,B,87.9,,,87.9,,
BERKELEY,"College Park Elementary, 100 Davidson Drive, Ladson, SC, 29456",COLLEGE PARK ELEMENTARY,http://www.berkeley.k12.sc.us/CollegePark.cfm,801017,ELEM,small_green,A,90.9,90.9,,,,
BERKELEY,"College Park Middle, 713 College Park Road, Ladson, SC, 29456",COLLEGE PARK MIDDLE,http://www.berkeley.k12.sc.us/CollegeParkMiddle.cfm,801032,MIDD,small_red,F,50.3,,,50.3,,
BERKELEY,"Cross Elementary, 1325 Ranger Drive, Cross, SC, 29436",CROSS ELEMENTARY,http://www.berkeley.k12.sc.us/Cross.cfm,801016,COMBO,small_green,A,93.6,92.9,,95.5,,
BERKELEY,"Cross High, 1293 Old Highway 6, Cross, SC, 29436",CROSS HIGH,http://www.berkeley.k12.sc.us/CrossHigh.cfm,801006,COMBO,small_red,F,42.6,,,35,,59.3
BERKELEY,"Daniel Island School, 2365 Daniel Island Drive, Charleston, SC, 29492",DANIEL ISLAND,http://www.berkeley.k12.sc.us/DanielIsland.cfm,801048,COMBO,small_yellow,B,84.5,81.8,,88,,
BERKELEY,"Devon Forest Elementary, 1127 Dorothy Street, Goose Creek, SC, 29445",DEVON FOREST ELEMENTARY,http://www.berkeley.k12.sc.us/DevonForest.cfm,801039,ELEM,small_purple,D,68,68,,,,
BERKELEY,"Goose Creek High, 1137 Red Bank Road, Goose Creek, SC, 29445",GOOSE CREEK HIGH,http://www.berkeley.k12.sc.us/GooseCreekHigh.cfm,801007,HIGH,measle_turquoise,C,75.1,,,,,75.1
BERKELEY,"Hanahan Elementary, 4000 Mabeline Road, Hanahan, SC, 29410",HANAHAN ELEMENTARY,http://www.berkeley.k12.sc.us/Hanahan.cfm,801044,ELEM,small_green,A,95.3,95.3,,,,
BERKELEY,"Hanahan High, 6015 Murray Drive, Hanahan, SC, 29410",HANAHAN HIGH,http://www.berkeley.k12.sc.us/HanahanHigh.cfm,801008,HIGH,measle_turquoise,C,77.8,,,,,77.8
BERKELEY,"Hanahan Middle, 5815 Murray Drive, Hanahan, SC, 29410",HANAHAN MIDDLE,http://www.berkeley.k12.sc.us/HanahanMiddle.cfm,801021,COMBO,small_green,A,97.1,99,,96.5,,
BERKELEY,"Henry E. Bonner Elementary, 171 Macedonia Foxes Circle, Moncks Corner, SC, 29461",HENRY E. BONNER ELEMENTARY,http://www.berkeley.k12.sc.us/HEBonner.cfm,801024,ELEM,measle_turquoise,C,78,78,,,,
BERKELEY,"J. K. Gourdin Elementary, 1649 Highway 45, Pineville, SC, 29468",J K GOURDIN ELEMENTARY,http://www.berkeley.k12.sc.us/JKGourdin.cfm,801020,ELEM,small_yellow,B,86.5,86.5,,,,
BERKELEY,"Macedonia Middle, 200 Macedonia Foxes Circle, Moncks Corner, SC, 29461",MACEDONIA MIDDLE,http://www.berkeley.k12.sc.us/Macedonia.cfm,801037,MIDD,small_yellow,B,85.7,,,85.7,,
BERKELEY,"Marrington Elementary, 101 Gearing Street, Goose Creek, SC, 29445",MARRINGTON ELEMENTARY,http://www.berkeley.k12.sc.us/MarringtonElementary.cfm,801033,ELEM,small_green,A,99.8,99.8,,,,
BERKELEY,"Marrington Middle School of the Arts, 109 Gearing Street, Goose Creek, SC, 29445",MARRINGTON MIDDLE,http://www.berkeley.k12.sc.us/Marringtonl.cfm,801034,MIDD,small_yellow,B,88.6,,,88.6,,
BERKELEY,"Sangaree Intermediate, 201 School House Lane, Summerville, SC, 29483",SANGAREE INTERMEDIATE,http://www.berkeley.k12.sc.us/SangareeIntermediate.cfm,801038,ELEM,small_green,A,90.9,90.9,,,,
BERKELEY,"Sangaree Middle, 1050 Discovery Drive, Ladson, SC, 29456",SANGAREE MIDDLE,http://www.berkeley.k12.sc.us/SangareeMiddle.cfm,801047,MIDD,measle_turquoise,C,75.9,,,75.9,,
BERKELEY,"Sedgefield Intermediate, 225 Garwood Drive, Goose Creek, SC, 29445",SEDGEFIELD INTERMEDIATE,http://www.berkeley.k12.sc.us/SedgefieldIntermediate.cfm,801040,ELEM,measle_turquoise,C,77,77,,,,
BERKELEY,"Sedgefield Middle, 131 Charles B. Gibson Boulevard, Goose Creek, SC, 29445",SEDGEFIELD MIDDLE,http://www.berkeley.k12.sc.us/SedgefieldMiddle.cfm,801027,MIDD,small_yellow,B,82.7,,,82.7,,
BERKELEY,"Stratford High, 951 Crowfield Boulevard, Goose Creek, SC, 29445",STRATFORD HIGH,http://www.berkeley.k12.sc.us/Stratford.cfm,801001,HIGH,measle_turquoise,C,74.9,,,,,74.9
BERKELEY,"St. Stephen Elementary, 1053 Russellville Road, St. Stephen, SC, 29479",ST STEPHEN ELEMENTARY,http://www.berkeley.k12.sc.us/StStephen.cfm,801028,ELEM,measle_turquoise,C,75.4,75.4,,,,
BERKELEY,"St. Stephen Middle, 225 Carolina Avenue, St. Stephen, SC, 29479",ST STEPHEN MIDDLE,http://www.berkeley.k12.sc.us/StStephenMiddle.cfm,801029,MIDD,small_red,F,30.5,,,30.5,,
BERKELEY,"Timberland High, 1418 Gravel Hill Road, St. Stephen, SC, 29479",TIMBERLAND HIGH,http://www.berkeley.k12.sc.us/Timberland.cfm,801043,HIGH,small_purple,D,66.7,,,,,66.7
