DISTRICT,ADDRESS,SCHOOL,URL,SCHOOLID,TYPE,Marker_Type,Grade in 2013,POINTTOT,POINTELEMpass,POINTELEMalt,POINTMIDDpass,POINTMIDDalt,POINTHIGH
DARLINGTON,"Brunson-Dargan Elementary, 400 Wells Street, Darlington, SC, 29532",BRUNSON-DARGAN ELEMENTARY,http://bde.dcsdschools.org/,1601024,ELEM,small_green,A,90.8,90.8,,,,
KERSHAW,"Baron Dekalb Elementary, 2684 Baron DeKalb Road, Camden, SC, 29020",BARON DEKALB ELEMENTARY,http://bdk.kcsdschools.com/,2801010,ELEM,small_green,A,96.2,96.2,,,,
HORRY,"Burgess Elementary, 9645 Scipio Lane, Myrtle Beach, SC, 29588",BURGESS ELEMENTARY,http://be.horrycountyschools.net/,2601063,ELEM,small_green,A,95.4,95.4,,,,
CHARLESTON,"Belle Hall Elementary, 385 Egypt Road, Mt. Pleasant, SC, 29464",BELLE HALL ELEMENTARY,http://bellehall.ccsdschools.com,1001096,ELEM,small_green,A,98.6,98.6,,,,
AIKEN,"Belvedere Elementary, 201 Rhomboid Place, Belvedere, SC, 29841",BELVEDERE ELEMENTARY,http://belvedere.acps.schoolfusion.us/,201019,ELEM,small_green,A,96.3,96.3,,,,
ANDERSON 2,"Belton Elementary, 202 Watkins Street, Belton, SC, 29627",BELTON ELEMENTARY,http://bes.anderson2.org/,402013,ELEM,small_green,A,94.9,94.9,,,,
BARNWELL 45,"Barnwell Elementary, 10524 Marlboro Avenue, Barnwell, SC, 29812",BARNWELL ELEMENTARY,http://bes.barnwell45.org,645012,COMBO,measle_turquoise,C,71.2,58.2,,96.2,,
BEAUFORT,"Beaufort Elementary, 1800 Prince Street, Beaufort, SC, 29902",BEAUFORT ELEMENTARY,http://bes.beaufort.k12.sc.us/,701008,ELEM,small_green,A,96.7,96.7,,,,
DARLINGTON,"Brockington Elementary, 413 Brockington Road, Darlington, SC, 29532",BROCKINGTON ELEMENTARY,http://bes.dcsdschools.org/,1601013,ELEM,small_yellow,B,88.5,88.5,,,,
KERSHAW,"Blaney Elementary, 1621 Smyrna Road, Elgin, SC, 29045",BLANEY ELEMENTARY,http://bes.kcsdschools.com/,2801012,ELEM,small_yellow,B,87.7,87.7,,,,
LANCASTER,"Buford Elementary, 1906 North Rocky River Road, Lancaster, SC, 29720",BUFORD ELEMENTARY,http://bes.lancasterscschools.org/home,2901012,ELEM,small_yellow,B,86.4,86.4,,,,
ORANGEBURG 5,"Brookdale Elementary, 394 Brookdale Drive, Orangeburg, SC, 29115",BROOKDALE ELEMENTARY,http://bes.ocsd5schools.org/,3805036,ELEM,small_green,A,95.9,95.9,,,,
KERSHAW,"Bethune Elementary, 302 Norwood Street East, Bethune, SC, 29009",BETHUNE ELEMENTARY,http://bet.kcsdschools.com/,2801011,ELEM,small_green,A,97.3,97.3,,,,
BARNWELL 19,"Blackville-Hilda High, 76 Atkins Circle, Blackville, SC, 29817",BLACKVILLE-HILDA HIGH,http://bhhs.barnwell19.k12.sc.us,619001,HIGH,small_red,F,36.6,,,,,36.6
BARNWELL 19,"Blackville-Hilda Junior High, 446 Country Club Road, Blackville, SC, 29817",BLACKVILLE-HILDA JUNIOR HIGH,http://bhjr.barnwell19.k12.sc.us,619004,MIDD,small_red,F,35,,,35,,
ANDERSON 2,"Belton Honea Path High, 11000 Belton-Honea Path Highway, Honea Path, SC, 29654",BELTON-HONEA PATH HIGH,http://bhp.anderson2.org/,402012,HIGH,small_green,A,91.5,,,,,91.5
BARNWELL 45,"Barnwell High, 474 Jackson Street, Barnwell, SC, 29812",BARNWELL HIGH,http://bhs.barnwell45.org,645009,HIGH,small_purple,D,60.6,,,,,60.6
BEAUFORT,"Beaufort High, 84 Sea Island Parkway, Beaufort, SC, 29907",BEAUFORT HIGH,http://bhs.beaufort.k12.sc.us/,701002,HIGH,small_yellow,B,83,,,,,83
LANCASTER,"Buford High, 4290 Tabernacle Road, Lancaster, SC, 29720",BUFORD HIGH,http://bhs.lancasterscschools.org/home,2901002,HIGH,small_yellow,B,86.4,,,,,86.4
CHARLESTON,"C.C. Blaney Elementary, 7184 Highway 162, Younges Island, SC, 29449",C C BLANEY ELEMENTARY,http://blaney.ccsdschools.com/,1001026,ELEM,small_purple,D,61.2,61.2,,,,
BEAUFORT,"Bluffton Elementary, 160 H. E. McCracken Circle, Bluffton, SC, 29910",BLUFFTON ELEMENTARY,http://ble.beaufort.k12.sc.us/,701024,ELEM,small_yellow,B,89.9,89.9,,,,
LEXINGTON 3,"Batesburg-Leesville Elementary, 403 South Lee Street, Batesburg-Leesville, SC, 29070",BATESBURG-LEESVILLE ELEMENTARY,http://bles.groupfusion.net/,3203028,ELEM,measle_turquoise,C,76.6,76.6,,,,
BEAUFORT,"Bluffton High, 12 H. E. McCracken Circle, Bluffton, SC, 29910",BLUFFTON HIGH,http://blh.beaufort.k12.sc.us/,701030,HIGH,measle_turquoise,C,74.4,,,,,74.4
LEXINGTON 3,"Batesburg-Leesville High, 600 Summerland Avenue, Batesburg-Leesville, SC, 29006",BATESBURG-LEESVILLE HIGH,http://blhs.groupfusion.net/,3203026,HIGH,small_yellow,B,87.8,,,,,87.8
BEAUFORT,"Bluffton Middle, 30 New Mustang Road, Bluffton, SC, 29910",BLUFFTON MIDDLE,http://blm.beaufort.k12.sc.us/,701035,MIDD,small_yellow,B,87.2,,,87.2,,
LEXINGTON 3,"Batesburg-Leesville Middle, 425 Shealy Road, Batesburg-Leesville, SC, 29006",BATESBURG-LEESVILLE MIDDLE,http://blms.groupfusion.net/,3203029,MIDD,small_purple,D,67.4,,,67.4,,
ORANGEBURG 4,"Lockett Elementary, 1349 Dorange Roadville, Branchville, SC, 29432",LOCKETT ELEMENTARY,http://blse.orangeburg4.schoolfusion.us/?sessionid=be3ce947861661bbd2258e4fd282fdfe&t,3804051,COMBO,small_green,A,90.6,89.2,,95,,
ORANGEBURG 4,"Branchville High    , 1349 Dorange Road, Branchville, SC, 29432",BRANCHVILLE  HIGH,http://blsh.orangeburg4.schoolfusion.us/,3804049,COMBO,measle_turquoise,C,74.2,,,69,,85.8
ANDERSON 2,"Belton Middle, 102 Cherokee Road, Belton, SC, 29627",BELTON MIDDLE,http://bms.anderson2.org/,402014,MIDD,small_green,A,90.6,,,90.6,,
BEAUFORT,"Beaufort Middle, 2501 Mossy Oaks Boulevard, Beaufort, SC, 29902",BEAUFORT MIDDLE,http://bms.beaufort.k12.sc.us/,701028,MIDD,small_yellow,B,88.4,,,88.4,,
LANCASTER,"Buford Middle, 1890 North Rocky River Road, Lancaster, SC, 29720",BUFORD MIDDLE,http://bms.lancasterscschools.org/home,2901028,MIDD,small_yellow,B,83.2,,,83.2,,
SUMTER 1,"Bates Middle, 715 Estate Street, Sumter, SC, 29150",BATES MIDDLE,http://bms.sumterschools.net/,4301022,MIDD,small_purple,D,64.3,,,64.3,,
