Address,Website,District Number,District Name,School Number,School Name,Total Points 2013,Scale,Did this School Benefit from the One-Letter-Grade-Drop Protection?,Marker_Type,Preliminary Grade 2013,Grade 2012,Grade 2011,Grade 2010,Grade 2009,Grade 2008,Grade 2007,Grade 2006,Grade 2005,Grade 2004,Grade 2003,Grade 2002,Grade 2001,Grade 2000,Grade 1999,Charter,School Type,Free or Reduced-Price Lunch Rate,Minority Rate,Region,Title I,Alt/ESE Code
"TREELINE ELEMENTARY SCHOOL , HIGH SPRINGS, FL, 32643-8904",                                                                                                    ,36,LEE,471,TREELINE ELEMENTARY SCHOOL,459,800,NA,small_yellow,B,A,A,A,A,A,A,A,A,A,A,A,C,A,C,NO,1,61,46,3,YES,N
"RIVER RIDGE HIGH SCHOOL , HIGH SPRINGS, FL, 32643-8904",                                                                                                    ,51,PASCO,471,RIVER RIDGE HIGH SCHOOL,Pending,Pending,Pending,small_green,A,A,A,A,A,A,A,A,A,A,A,A,B,A,C,NO,1,73,96,5,NO,N
"RIVER RIDGE MIDDLE SCHOOL , HIGH SPRINGS, FL, 32643-8904",                                                                                                    ,51,PASCO,472,RIVER RIDGE MIDDLE SCHOOL,600,900,NA,small_green,A,A,A,A,C,A,,,,,,,,,,NO,1,86,99,5,YES,N
"LIBERTY PINES ACADEMY , HIGH SPRINGS, FL, 32643-8904",                                                                                                    ,55,ST. JOHNS,472,LIBERTY PINES ACADEMY,695,900,NA,small_green,A,B,A,A,A,B,B,A,A,A,A,B,C,B,C,NO,1,89,83,3,YES,N
"LAKEVIEW ELEMENTARY SCHOOL , HIGH SPRINGS, FL, 32643-8904",                                                                                                    ,58,SARASOTA,471,LAKEVIEW ELEMENTARY SCHOOL,543,800,NA,small_green,A,A,A,A,A,A,A,,,,,,,,,NO,1,22,12,4,NO,N
"JUST ARTS AND MANAGEMENT CHARTER MIDDLE SCHOOL , INDIALANTIC, FL, 32903-2997",                                                                                                    ,13,DADE,6083,JUST ARTS AND MANAGEMENT CHARTER MIDDLE SCHOOL,511,800,NA,small_purple,D,C,C,B,A,B,A,B,B,A,B,B,C,C,C,NO,1,76,17,4,YES,N
"LAKE WHITNEY ELEMENTARY , JACKSONVILLE, FL, 32209-3299",                                                                                                    ,48,ORANGE,1571,LAKE WHITNEY ELEMENTARY,560,800,NA,small_yellow,B,A,C,C,A,C,A,A,A,A,A,A,C,D,D,NO,1,95,96,5,YES,N
"SOUTH TECH ACADEMY , JACKSONVILLE, FL, 32209-3299",                                                                                                    ,50,PALM BEACH,1571,SOUTH TECH ACADEMY,Pending,Pending,Pending,small_green,A,A,A,,,,,,,,,,,,,YES,2,29,18,1,NO,N
"INDIAN PINES ELEMENTARY SCHOOL , JACKSONVILLE, FL, 32211-5525",                                                                                                    ,50,PALM BEACH,1861,INDIAN PINES ELEMENTARY SCHOOL,440,800,NA,small_green,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,NO,1,23,12,3,NO,N
"ROSABELLE W. BLAKE ACADEMY , JACKSONVILLE, FL, 32211-5525",                                                                                                    ,53,POLK,1861,ROSABELLE W. BLAKE ACADEMY,490,900,YES,small_green,A,A,A,A,A,A,A,A,A,A,,,,,,NO,1,27,32,4,NO,N
