School Year,Division,School,Subject Area,Pass Rate,School Code,Correct,Address
2011-2012,Williamsburg-James City County ,D.J. Montague Elementary,Mathematics,78.70%,1700,No Exact Location,"D.J. Montague Elementary, Williamsburg-James City County , VA"
2011-2012,Henrico County ,Mills E. Godwin High,Mathematics,78.72%,500,No Exact Location,"Mills E. Godwin High, Henrico County , VA"
2011-2012,Loudoun County ,Little River Elementary,Mathematics,78.73%,330,No Exact Location,"Little River Elementary, Loudoun County , VA"
2011-2012,Suffolk City ,Driver Elementary,Mathematics,78.76%,2010,No Exact Location,"Driver Elementary, Suffolk City , VA"
2011-2012,Franklin County ,Glade Hill Elementary,Mathematics,78.81%,30,No Exact Location,"Glade Hill Elementary, Franklin County , VA"
2011-2012,Fairfax County ,Marshall High,Mathematics,78.84%,500,No Exact Location,"Marshall High, Fairfax County , VA"
2011-2012,Danville City ,Glenwood Elementary,Mathematics,78.85%,870,No Exact Location,"Glenwood Elementary, Danville City , VA"
2011-2012,Hanover County ,Rural Point Elementary,Mathematics,78.91%,50,No Exact Location,"Rural Point Elementary, Hanover County , VA"
2011-2012,Goochland County ,Goochland Elementary,Mathematics,78.98%,870,No Exact Location,"Goochland Elementary, Goochland County , VA"
2011-2012,Roanoke City ,Monterey Elementary,Mathematics,79.04%,500,No Exact Location,"Monterey Elementary, Roanoke City , VA"
2011-2012,Roanoke City ,Preston Park Elementary,Mathematics,79.12%,70,No Exact Location,"Preston Park Elementary, Roanoke City , VA"
2011-2012,Lexington City ,Harrington Waddell Elementary,Mathematics,79.14%,10,No Exact Location,"Harrington Waddell Elementary, Lexington City , VA"
2011-2012,Scott County ,Gate City Middle,Mathematics,79.14%,30,No Exact Location,"Gate City Middle, Scott County , VA"
2011-2012,Roanoke County ,Glen Cove Elementary,Mathematics,79.15%,30,No Exact Location,"Glen Cove Elementary, Roanoke County , VA"
2011-2012,Fairfax County ,Fairfax Villa Elementary,Mathematics,79.17%,106,No Exact Location,"Fairfax Villa Elementary, Fairfax County , VA"
2011-2012,Fairfax County ,Armstrong Elementary,Mathematics,79.23%,1530,No Exact Location,"Armstrong Elementary, Fairfax County , VA"
2011-2012,Loudoun County ,Emerick Elementary,Mathematics,79.25%,106,No Exact Location,"Emerick Elementary, Loudoun County , VA"
2011-2012,Spotsylvania County ,Courtland Elementary,Mathematics,79.27%,1190,No Exact Location,"Courtland Elementary, Spotsylvania County , VA"
2011-2012,Rockingham County ,McGaheysville Elementary,Mathematics,79.31%,500,No Exact Location,"McGaheysville Elementary, Rockingham County , VA"
2011-2012,York County ,Tabb Elementary,Mathematics,79.33%,871,No Exact Location,"Tabb Elementary, York County , VA"
2011-2012,Henrico County ,Crestview Elementary,Mathematics,79.34%,1190,No Exact Location,"Crestview Elementary, Henrico County , VA"
2011-2012,Scott County ,Yuma Elementary,Mathematics,79.35%,60,No Exact Location,"Yuma Elementary, Scott County , VA"
2011-2012,Prince George County ,South Elementary,Mathematics,79.37%,50,No Exact Location,"South Elementary, Prince George County , VA"
2011-2012,Virginia Beach City ,Alanton Elementary,Mathematics,79.38%,701,No Exact Location,"Alanton Elementary, Virginia Beach City , VA"
2011-2012,Middlesex County ,Middlesex Elementary,Mathematics,79.40%,500,No Exact Location,"Middlesex Elementary, Middlesex County , VA"
2011-2012,Richmond County ,Richmond County Intermediate,Mathematics,79.40%,50,No Exact Location,"Richmond County Intermediate, Richmond County , VA"
2011-2012,Loudoun County ,Mill Run Elementary,Mathematics,79.41%,500,No Exact Location,"Mill Run Elementary, Loudoun County , VA"
2011-2012,York County ,Dare Elementary,Mathematics,79.45%,2229,No Exact Location,"Dare Elementary, York County , VA"
2011-2012,Virginia Beach City ,Princess Anne Middle,Mathematics,79.46%,70,No Exact Location,"Princess Anne Middle, Virginia Beach City , VA"
2011-2012,Fairfax County ,McLean High,Mathematics,79.52%,500,No Exact Location,"McLean High, Fairfax County , VA"
2011-2012,Wise County ,Coeburn Middle,Mathematics,79.53%,2347,No Exact Location,"Coeburn Middle, Wise County , VA"
2011-2012,Fairfax County ,Lorton Station Elementary,Mathematics,79.57%,9997,No Exact Location,"Lorton Station Elementary, Fairfax County , VA"
2011-2012,Stafford County ,Kate Waller Barrett Elementary,Mathematics,79.57%,360,No Exact Location,"Kate Waller Barrett Elementary, Stafford County , VA"
2011-2012,Fairfax County ,Eagle View Elementary,Mathematics,79.62%,106,No Exact Location,"Eagle View Elementary, Fairfax County , VA"
2011-2012,Loudoun County ,Frances Hazel Reid Elementary,Mathematics,79.62%,440,No Exact Location,"Frances Hazel Reid Elementary, Loudoun County , VA"
2011-2012,Montgomery County ,Margaret Beeks Elementary,Mathematics,79.66%,500,No Exact Location,"Margaret Beeks Elementary, Montgomery County , VA"
2011-2012,Fairfax County ,Mountain View Alternative High,Mathematics,79.69%,500,No Exact Location,"Mountain View Alternative High, Fairfax County , VA"
2011-2012,Hampton City ,Phillips Elementary,Mathematics,79.74%,70,No Exact Location,"Phillips Elementary, Hampton City , VA"
2011-2012,Roanoke County ,Cave Spring High,Mathematics,79.81%,2222,No Exact Location,"Cave Spring High, Roanoke County , VA"
2011-2012,Fairfax County ,Woodson High,Mathematics,79.88%,220,No Exact Location,"Woodson High, Fairfax County , VA"
2011-2012,Prince William County ,Bristow Run Elementary,Mathematics,79.89%,940,No Exact Location,"Bristow Run Elementary, Prince William County , VA"
2011-2012,Williamsburg-James City County ,Matthew Whaley Elementary,Mathematics,79.91%,500,No Exact Location,"Matthew Whaley Elementary, Williamsburg-James City County , VA"
2011-2012,Rockingham County ,Elkton Middle,Mathematics,79.92%,106,No Exact Location,"Elkton Middle, Rockingham County , VA"
2011-2012,Fairfax County ,Key Middle,Mathematics,79.95%,690,No Exact Location,"Key Middle, Fairfax County , VA"
2011-2012,York County ,Waller Mill Elementary,Mathematics,80.00%,1010,No Exact Location,"Waller Mill Elementary, York County , VA"
2011-2012,Patrick County ,Woolwine Elementary,Mathematics,80.13%,220,No Exact Location,"Woolwine Elementary, Patrick County , VA"
2011-2012,Spotsylvania County ,Brock Road Elementary,Mathematics,80.15%,940,No Exact Location,"Brock Road Elementary, Spotsylvania County , VA"
2011-2012,Washington County ,Watauga Elementary,Mathematics,80.16%,1010,No Exact Location,"Watauga Elementary, Washington County , VA"
2011-2012,Henrico County ,Maybeury Elementary,Mathematics,80.21%,500,No Exact Location,"Maybeury Elementary, Henrico County , VA"
2011-2012,Waynesboro City ,Berkeley Glenn Elementary,Mathematics,80.26%,720,No Exact Location,"Berkeley Glenn Elementary, Waynesboro City , VA"
2011-2012,Loudoun County ,Buffalo Trail Elementary,Mathematics,80.28%,700,No Exact Location,"Buffalo Trail Elementary, Loudoun County , VA"
2011-2012,Wise County ,Appalachia Elementary,Mathematics,80.28%,1360,No Exact Location,"Appalachia Elementary, Wise County , VA"
2011-2012,Loudoun County ,Kenneth W.Culbert Elementary,Mathematics,80.31%,690,No Exact Location,"Kenneth W.Culbert Elementary, Loudoun County , VA"
2011-2012,Henrico County ,Deep Run High,Mathematics,80.31%,450,No Exact Location,"Deep Run High, Henrico County , VA"
2011-2012,Manassas City ,George Carr Round Elementary,Mathematics,80.34%,30,No Exact Location,"George Carr Round Elementary, Manassas City , VA"
2011-2012,Williamsburg-James City County ,Stonehouse Elementary,Mathematics,80.39%,871,No Exact Location,"Stonehouse Elementary, Williamsburg-James City County , VA"
2011-2012,Stafford County ,Hartwood Elementary,Mathematics,80.44%,10,No Exact Location,"Hartwood Elementary, Stafford County , VA"
2011-2012,Page County ,Luray Middle,Mathematics,80.49%,9997,No Exact Location,"Luray Middle, Page County , VA"
2011-2012,Fairfax County ,Virginia Run Elementary,Mathematics,80.50%,1010,No Exact Location,"Virginia Run Elementary, Fairfax County , VA"
2011-2012,Richmond City ,Mary Munford Elementary,Mathematics,80.50%,500,No Exact Location,"Mary Munford Elementary, Richmond City , VA"
2011-2012,Lexington City ,Lylburn Downing Middle,Mathematics,80.54%,460,No Exact Location,"Lylburn Downing Middle, Lexington City , VA"
2011-2012,Fairfax County ,Fairview Elementary,Mathematics,80.55%,780,No Exact Location,"Fairview Elementary, Fairfax County , VA"
2011-2012,Stafford County ,T. Benton Gayle Middle,Mathematics,80.56%,871,No Exact Location,"T. Benton Gayle Middle, Stafford County , VA"
2011-2012,Prince William County ,Woodbridge Middle,Mathematics,80.57%,220,No Exact Location,"Woodbridge Middle, Prince William County , VA"
2011-2012,Loudoun County ,Ashburn Elementary,Mathematics,80.59%,1530,No Exact Location,"Ashburn Elementary, Loudoun County , VA"
2011-2012,Fairfax County ,Cherry Run Elementary,Mathematics,80.60%,480,No Exact Location,"Cherry Run Elementary, Fairfax County , VA"
2011-2012,Fairfax County ,Oak View Elementary,Mathematics,80.71%,760,No Exact Location,"Oak View Elementary, Fairfax County , VA"
2011-2012,Wise County ,Powell Valley Middle,Mathematics,80.72%,70,No Exact Location,"Powell Valley Middle, Wise County , VA"
2011-2012,Fairfax County ,Orange Hunt Elementary,Mathematics,80.77%,570,No Exact Location,"Orange Hunt Elementary, Fairfax County , VA"
2011-2012,Pittsylvania County ,Mount Airy Elementary,Mathematics,80.85%,500,No Exact Location,"Mount Airy Elementary, Pittsylvania County , VA"
2011-2012,Loudoun County ,Lucketts Elementary,Mathematics,80.95%,9997,No Exact Location,"Lucketts Elementary, Loudoun County , VA"
2011-2012,Isle of Wight County ,Windsor Middle,Mathematics,80.97%,1010,No Exact Location,"Windsor Middle, Isle of Wight County , VA"
2011-2012,Loudoun County ,Seldens Landing Elementary,Mathematics,81.01%,50,No Exact Location,"Seldens Landing Elementary, Loudoun County , VA"
2011-2012,Fairfax County ,Hayfield Elementary,Mathematics,81.04%,10,No Exact Location,"Hayfield Elementary, Fairfax County , VA"
2011-2012,Fairfax County ,Centreville Elementary,Mathematics,81.08%,2205,No Exact Location,"Centreville Elementary, Fairfax County , VA"
2011-2012,Roanoke City ,Fishburn Park Elementary,Mathematics,81.08%,610,No Exact Location,"Fishburn Park Elementary, Roanoke City , VA"
2011-2012,Roanoke City ,Grandin Court Elementary,Mathematics,81.10%,1031,No Exact Location,"Grandin Court Elementary, Roanoke City , VA"
2011-2012,Roanoke County ,Cave Spring Elementary,Mathematics,81.33%,2222,No Exact Location,"Cave Spring Elementary, Roanoke County , VA"
2011-2012,Hanover County ,Kersey Creek Elementary,Mathematics,81.33%,690,No Exact Location,"Kersey Creek Elementary, Hanover County , VA"
2011-2012,Williamsburg-James City County ,Rawls Byrd Elementary,Mathematics,81.45%,50,No Exact Location,"Rawls Byrd Elementary, Williamsburg-James City County , VA"
2011-2012,Fairfax County ,Forest Edge Elementary,Mathematics,81.53%,440,No Exact Location,"Forest Edge Elementary, Fairfax County , VA"
2011-2012,Page County ,Springfield Elementary,Mathematics,81.55%,8888,No Exact Location,"Springfield Elementary, Page County , VA"
2011-2012,Loudoun County ,Hamilton Elementary,Mathematics,81.58%,10,No Exact Location,"Hamilton Elementary, Loudoun County , VA"
2011-2012,Middlesex County ,St. Clare Walker Middle,Mathematics,81.71%,8888,No Exact Location,"St. Clare Walker Middle, Middlesex County , VA"
2011-2012,Williamsburg-James City County ,Clara Byrd Baker Elementary,Mathematics,81.72%,1050,No Exact Location,"Clara Byrd Baker Elementary, Williamsburg-James City County , VA"
2011-2012,Virginia Beach City ,Thoroughgood Elementary,Mathematics,81.74%,871,No Exact Location,"Thoroughgood Elementary, Virginia Beach City , VA"
2011-2012,Loudoun County ,Round Hill Elementary,Mathematics,81.75%,50,No Exact Location,"Round Hill Elementary, Loudoun County , VA"
2011-2012,Fairfax County ,Shrevewood Elementary,Mathematics,81.76%,50,No Exact Location,"Shrevewood Elementary, Fairfax County , VA"
2011-2012,King George County ,Potomac Elementary,Mathematics,81.76%,70,No Exact Location,"Potomac Elementary, King George County , VA"
2011-2012,Prince William County ,J.W. Alvey Elementary,Mathematics,81.82%,800,No Exact Location,"J.W. Alvey Elementary, Prince William County , VA"
2011-2012,Prince William County ,T. Clay Wood Elementary,Mathematics,81.84%,871,No Exact Location,"T. Clay Wood Elementary, Prince William County , VA"
2011-2012,Wise County ,L.F. Addington Middle,Mathematics,81.89%,580,No Exact Location,"L.F. Addington Middle, Wise County , VA"
2011-2012,Falls Church City ,George Mason High,Mathematics,81.89%,30,No Exact Location,"George Mason High, Falls Church City , VA"
2011-2012,Fairfax County ,White Oaks Elementary,Mathematics,81.93%,1010,No Exact Location,"White Oaks Elementary, Fairfax County , VA"
2011-2012,Tazewell County ,Tazewell Elementary,Mathematics,82.05%,871,No Exact Location,"Tazewell Elementary, Tazewell County , VA"
2011-2012,Prince William County ,Bennett Elementary,Mathematics,82.06%,720,No Exact Location,"Bennett Elementary, Prince William County , VA"
2011-2012,Virginia Beach City ,Red Mill Elementary,Mathematics,82.07%,50,No Exact Location,"Red Mill Elementary, Virginia Beach City , VA"
2011-2012,Spotsylvania County ,Ni River Middle,Mathematics,82.08%,710,No Exact Location,"Ni River Middle, Spotsylvania County , VA"
2011-2012,Fairfax County ,Marshall Road Elementary,Mathematics,82.11%,500,No Exact Location,"Marshall Road Elementary, Fairfax County , VA"
2011-2012,Richmond City ,Open High,Mathematics,82.14%,570,No Exact Location,"Open High, Richmond City , VA"
2011-2012,Fairfax County ,Union Mill Elementary,Mathematics,82.19%,1010,No Exact Location,"Union Mill Elementary, Fairfax County , VA"
2011-2012,Suffolk City ,Northern Shores Elementary,Mathematics,82.20%,760,No Exact Location,"Northern Shores Elementary, Suffolk City , VA"
2011-2012,Newport News City ,Hilton Elementary,Mathematics,82.21%,540,No Exact Location,"Hilton Elementary, Newport News City , VA"
2011-2012,Roanoke City ,Wasena Elementary,Mathematics,82.22%,1010,No Exact Location,"Wasena Elementary, Roanoke City , VA"
2011-2012,York County ,Magruder Elementary,Mathematics,82.25%,730,No Exact Location,"Magruder Elementary, York County , VA"
2011-2012,Virginia Beach City ,Kingston Elementary,Mathematics,82.31%,580,No Exact Location,"Kingston Elementary, Virginia Beach City , VA"
2011-2012,Montgomery County ,Harding Avenue Elementary,Mathematics,82.31%,10,No Exact Location,"Harding Avenue Elementary, Montgomery County , VA"
2011-2012,Fairfax County ,Stenwood Elementary,Mathematics,82.33%,871,No Exact Location,"Stenwood Elementary, Fairfax County , VA"
2011-2012,Salem City ,South Salem Elementary,Mathematics,82.33%,50,No Exact Location,"South Salem Elementary, Salem City , VA"
2011-2012,Suffolk City ,Oakland Elementary,Mathematics,82.44%,760,No Exact Location,"Oakland Elementary, Suffolk City , VA"
2011-2012,Roanoke County ,Fort Lewis Elementary,Mathematics,82.46%,440,No Exact Location,"Fort Lewis Elementary, Roanoke County , VA"
2011-2012,Fairfax County ,Waynewood Elementary,Mathematics,82.52%,1010,No Exact Location,"Waynewood Elementary, Fairfax County , VA"
2011-2012,Fairfax County ,Jackson Middle,Mathematics,82.52%,800,No Exact Location,"Jackson Middle, Fairfax County , VA"
2011-2012,Fairfax County ,Holmes Middle,Mathematics,82.60%,600,No Exact Location,"Holmes Middle, Fairfax County , VA"
2011-2012,Virginia Beach City ,Strawbridge Elementary,Mathematics,82.64%,871,No Exact Location,"Strawbridge Elementary, Virginia Beach City , VA"
2011-2012,Waynesboro City ,Westwood Hills Elementary,Mathematics,82.65%,1010,No Exact Location,"Westwood Hills Elementary, Waynesboro City , VA"
2011-2012,Henrico County ,Jackson Davis Elementary,Mathematics,82.65%,800,No Exact Location,"Jackson Davis Elementary, Henrico County , VA"
2011-2012,Roanoke County ,Green Valley Elementary,Mathematics,82.80%,10,No Exact Location,"Green Valley Elementary, Roanoke County , VA"
2011-2012,Spotsylvania County ,Parkside Elementary,Mathematics,82.85%,570,No Exact Location,"Parkside Elementary, Spotsylvania County , VA"
2011-2012,Fairfax County ,Clermont Elementary,Mathematics,82.88%,1870,No Exact Location,"Clermont Elementary, Fairfax County , VA"
2011-2012,Franklin County ,Callaway Elementary,Mathematics,82.95%,680,No Exact Location,"Callaway Elementary, Franklin County , VA"
2011-2012,York County ,Yorktown Middle,Mathematics,82.98%,60,No Exact Location,"Yorktown Middle, York County , VA"
2011-2012,Fairfax County ,Bull Run Elementary,Mathematics,83.01%,2225,No Exact Location,"Bull Run Elementary, Fairfax County , VA"
2011-2012,West Point ,West Point Elementary,Mathematics,83.02%,1010,No Exact Location,"West Point Elementary, West Point , VA"
2011-2012,Virginia Beach City ,John B. Dey Elementary,Mathematics,83.04%,360,No Exact Location,"John B. Dey Elementary, Virginia Beach City , VA"
2011-2012,Williamsburg-James City County ,Lois Hornsby Middle,Mathematics,83.04%,9997,No Exact Location,"Lois Hornsby Middle, Williamsburg-James City County , VA"
2011-2012,Loudoun County ,Farmwell Station Middle,Mathematics,83.05%,780,No Exact Location,"Farmwell Station Middle, Loudoun County , VA"
2011-2012,Loudoun County ,Stone Hill Middle,Mathematics,83.06%,871,No Exact Location,"Stone Hill Middle, Loudoun County , VA"
2011-2012,Stafford County ,Andrew G. Wright Middle,Mathematics,83.07%,2203,No Exact Location,"Andrew G. Wright Middle, Stafford County , VA"
2011-2012,Hanover County ,South Anna Elementary,Mathematics,83.08%,50,No Exact Location,"South Anna Elementary, Hanover County , VA"
2011-2012,Prince William County ,Victory Elementary,Mathematics,83.23%,1010,No Exact Location,"Victory Elementary, Prince William County , VA"
2011-2012,Loudoun County ,Liberty Elementary,Mathematics,83.23%,970,No Exact Location,"Liberty Elementary, Loudoun County , VA"
2011-2012,Franklin County ,Benjamin Franklin Middle-East,Mathematics,83.25%,720,No Exact Location,"Benjamin Franklin Middle-East, Franklin County , VA"
2011-2012,Fairfax County ,Crossfield Elementary,Mathematics,83.26%,2020,No Exact Location,"Crossfield Elementary, Fairfax County , VA"
2011-2012,Prince William County ,Westridge Elementary,Mathematics,83.28%,1010,No Exact Location,"Westridge Elementary, Prince William County , VA"
2011-2012,Rockingham County ,Peak View Elementary,Mathematics,83.33%,70,No Exact Location,"Peak View Elementary, Rockingham County , VA"
2011-2012,York County ,Grafton Middle,Mathematics,83.39%,1031,No Exact Location,"Grafton Middle, York County , VA"
2011-2012,Roanoke City ,Highland Park Elementary,Mathematics,83.41%,540,No Exact Location,"Highland Park Elementary, Roanoke City , VA"
2011-2012,Wise County ,Coeburn Primary,Mathematics,83.42%,2347,No Exact Location,"Coeburn Primary, Wise County , VA"
2011-2012,Roanoke County ,Clearbrook Elementary,Mathematics,83.46%,1050,No Exact Location,"Clearbrook Elementary, Roanoke County , VA"
2011-2012,Franklin County ,Boones Mill Elementary,Mathematics,83.53%,2000,No Exact Location,"Boones Mill Elementary, Franklin County , VA"
2011-2012,Fairfax County ,Olde Creek Elementary,Mathematics,83.54%,570,No Exact Location,"Olde Creek Elementary, Fairfax County , VA"
2011-2012,Fairfax County ,Powell Elementary,Mathematics,83.63%,70,No Exact Location,"Powell Elementary, Fairfax County , VA"
2011-2012,Richmond City ,William Fox Elementary,Mathematics,83.65%,1010,No Exact Location,"William Fox Elementary, Richmond City , VA"
2011-2012,York County ,Seaford Elementary,Mathematics,83.75%,50,No Exact Location,"Seaford Elementary, York County , VA"
2011-2012,Prince William County ,Gainesville Middle,Mathematics,83.78%,30,No Exact Location,"Gainesville Middle, Prince William County , VA"
2011-2012,Fairfax County ,Waples Mill Elementary,Mathematics,83.82%,1010,No Exact Location,"Waples Mill Elementary, Fairfax County , VA"
2011-2012,Fairfax County ,London Towne Elementary,Mathematics,83.83%,9997,No Exact Location,"London Towne Elementary, Fairfax County , VA"
2011-2012,Henrico County ,Three Chopt Elementary,Mathematics,83.97%,871,No Exact Location,"Three Chopt Elementary, Henrico County , VA"
2011-2012,York County ,Coventry Elementary,Mathematics,83.99%,1190,No Exact Location,"Coventry Elementary, York County , VA"
2011-2012,Fairfax County ,Springfield Estates Elementary,Mathematics,84.29%,8888,No Exact Location,"Springfield Estates Elementary, Fairfax County , VA"
2011-2012,Rockingham County ,Turner Ashby High,Mathematics,84.33%,871,No Exact Location,"Turner Ashby High, Rockingham County , VA"
2011-2012,Williamsburg-James City County ,Toano Middle,Mathematics,84.35%,871,No Exact Location,"Toano Middle, Williamsburg-James City County , VA"
2011-2012,Fauquier County ,W.G. Coleman Elementary,Mathematics,84.36%,1010,No Exact Location,"W.G. Coleman Elementary, Fauquier County , VA"
2011-2012,Fairfax County ,Lees Corner Elementary,Mathematics,84.41%,970,No Exact Location,"Lees Corner Elementary, Fairfax County , VA"
2011-2012,Fairfax County ,Poplar Tree Elementary,Mathematics,84.43%,70,No Exact Location,"Poplar Tree Elementary, Fairfax County , VA"
2011-2012,Stafford County ,H.H. Poole Middle,Mathematics,84.43%,10,No Exact Location,"H.H. Poole Middle, Stafford County , VA"
2011-2012,Hanover County ,John M. Gandy Elementary,Mathematics,84.44%,360,No Exact Location,"John M. Gandy Elementary, Hanover County , VA"
2011-2012,Henrico County ,Springfield Park Elementary,Mathematics,84.49%,8888,No Exact Location,"Springfield Park Elementary, Henrico County , VA"
2011-2012,Roanoke County ,Penn Forest Elementary,Mathematics,84.49%,70,No Exact Location,"Penn Forest Elementary, Roanoke County , VA"
2011-2012,Fairfax County ,Irving Middle,Mathematics,84.64%,800,No Exact Location,"Irving Middle, Fairfax County , VA"
2011-2012,Loudoun County ,Blue Ridge Middle,Mathematics,84.65%,720,No Exact Location,"Blue Ridge Middle, Loudoun County , VA"
2011-2012,Fairfax County ,Oakton Elementary,Mathematics,84.76%,760,No Exact Location,"Oakton Elementary, Fairfax County , VA"
2011-2012,Roanoke County ,Back Creek Elementary,Mathematics,84.77%,1530,No Exact Location,"Back Creek Elementary, Roanoke County , VA"
2011-2012,Henrico County ,Glen Allen Elementary,Mathematics,84.77%,30,No Exact Location,"Glen Allen Elementary, Henrico County , VA"
2011-2012,Prince William County ,Bull Run Middle,Mathematics,84.84%,2225,No Exact Location,"Bull Run Middle, Prince William County , VA"
2011-2012,Fairfax County ,Cunningham Park Elementary,Mathematics,84.86%,1700,No Exact Location,"Cunningham Park Elementary, Fairfax County , VA"
2011-2012,Loudoun County ,Rosa Lee Carter Elementary,Mathematics,84.87%,50,No Exact Location,"Rosa Lee Carter Elementary, Loudoun County , VA"
2011-2012,Isle of Wight County ,Carrsville Elementary,Mathematics,85.00%,1690,No Exact Location,"Carrsville Elementary, Isle of Wight County , VA"
2011-2012,Loudoun County ,Belmont Ridge Middle,Mathematics,85.06%,560,No Exact Location,"Belmont Ridge Middle, Loudoun County , VA"
2011-2012,Prince William County ,Cedar Point Elementary,Mathematics,85.07%,880,No Exact Location,"Cedar Point Elementary, Prince William County , VA"
2011-2012,Henry County ,Rich Acres Elementary,Mathematics,85.07%,50,No Exact Location,"Rich Acres Elementary, Henry County , VA"
2011-2012,Hanover County ,Oak Knoll Middle,Mathematics,85.07%,760,No Exact Location,"Oak Knoll Middle, Hanover County , VA"
2011-2012,Fairfax County ,Forestville Elementary,Mathematics,85.07%,440,No Exact Location,"Forestville Elementary, Fairfax County , VA"
2011-2012,Loudoun County ,Aldie Elementary,Mathematics,85.19%,2244,No Exact Location,"Aldie Elementary, Loudoun County , VA"
2011-2012,Stafford County ,Garrisonville Elementary,Mathematics,85.20%,30,No Exact Location,"Garrisonville Elementary, Stafford County , VA"
2011-2012,Henrico County ,Pemberton Elementary,Mathematics,85.29%,70,No Exact Location,"Pemberton Elementary, Henrico County , VA"
2011-2012,Roanoke County ,Bonsack Elementary,Mathematics,85.31%,2000,No Exact Location,"Bonsack Elementary, Roanoke County , VA"
2011-2012,Montgomery County ,Auburn Elementary,Mathematics,85.32%,1530,No Exact Location,"Auburn Elementary, Montgomery County , VA"
2011-2012,Roanoke County ,William Byrd Middle,Mathematics,85.43%,1010,No Exact Location,"William Byrd Middle, Roanoke County , VA"
2011-2012,Scott County ,Weber City Elementary,Mathematics,85.44%,1010,No Exact Location,"Weber City Elementary, Scott County , VA"
2011-2012,Fairfax County ,Laurel Ridge Elementary,Mathematics,85.47%,970,No Exact Location,"Laurel Ridge Elementary, Fairfax County , VA"
2011-2012,Spotsylvania County ,Chancellor Elementary,Mathematics,85.47%,200,No Exact Location,"Chancellor Elementary, Spotsylvania County , VA"
2011-2012,Fairfax County ,Sunrise Valley Elementary,Mathematics,85.51%,871,No Exact Location,"Sunrise Valley Elementary, Fairfax County , VA"
2011-2012,Fairfax County ,Liberty Middle,Mathematics,85.63%,970,No Exact Location,"Liberty Middle, Fairfax County , VA"
2011-2012,Hanover County ,Cool Spring Elementary,Mathematics,85.64%,191,No Exact Location,"Cool Spring Elementary, Hanover County , VA"
2011-2012,Roanoke County ,W.E. Cundiff Elementary,Mathematics,85.71%,1010,No Exact Location,"W.E. Cundiff Elementary, Roanoke County , VA"
2011-2012,Prince William County ,Louise A. Benton Middle,Mathematics,85.86%,9997,No Exact Location,"Louise A. Benton Middle, Prince William County , VA"
2011-2012,Fairfax County ,Stratford Landing Elementary,Mathematics,85.92%,871,No Exact Location,"Stratford Landing Elementary, Fairfax County , VA"
2011-2012,Henrico County ,Pocahontas Middle,Mathematics,85.99%,70,No Exact Location,"Pocahontas Middle, Henrico County , VA"
2011-2012,York County ,Bethel Manor Elementary,Mathematics,86.09%,720,No Exact Location,"Bethel Manor Elementary, York County , VA"
2011-2012,Rockingham County ,South River Elementary,Mathematics,86.10%,50,No Exact Location,"South River Elementary, Rockingham County , VA"
2011-2012,Fairfax County ,Langley High,Mathematics,86.40%,931,No Exact Location,"Langley High, Fairfax County , VA"
2011-2012,Fairfax County ,Mosby Woods Elementary,Mathematics,86.40%,500,No Exact Location,"Mosby Woods Elementary, Fairfax County , VA"
2011-2012,Fairfax County ,Mantua Elementary,Mathematics,86.51%,500,No Exact Location,"Mantua Elementary, Fairfax County , VA"
2011-2012,Grayson County ,Independence Middle,Mathematics,86.52%,740,No Exact Location,"Independence Middle, Grayson County , VA"
2011-2012,Fairfax County ,Kings Glen Elementary,Mathematics,86.54%,420,No Exact Location,"Kings Glen Elementary, Fairfax County , VA"
2011-2012,Loudoun County ,Pinebrook Elementary,Mathematics,86.57%,70,No Exact Location,"Pinebrook Elementary, Loudoun County , VA"
2011-2012,Montgomery County ,Gilbert Linkous Elementary,Mathematics,86.63%,30,No Exact Location,"Gilbert Linkous Elementary, Montgomery County , VA"
2011-2012,Norfolk City ,Larchmont Elementary,Mathematics,86.64%,931,No Exact Location,"Larchmont Elementary, Norfolk City , VA"
2011-2012,Roanoke County ,Glenvar Middle,Mathematics,86.68%,30,No Exact Location,"Glenvar Middle, Roanoke County , VA"
2011-2012,Roanoke County ,Oak Grove Elementary,Mathematics,86.80%,760,No Exact Location,"Oak Grove Elementary, Roanoke County , VA"
2011-2012,Loudoun County ,Lowes Island Elementary,Mathematics,86.81%,9997,No Exact Location,"Lowes Island Elementary, Loudoun County , VA"
2011-2012,Pulaski County ,Snowville Elementary,Mathematics,86.96%,50,No Exact Location,"Snowville Elementary, Pulaski County , VA"
2011-2012,Gloucester County ,Achilles Elementary,Mathematics,86.98%,701,No Exact Location,"Achilles Elementary, Gloucester County , VA"
2011-2012,Fairfax County ,Sherman Elementary,Mathematics,87.03%,50,No Exact Location,"Sherman Elementary, Fairfax County , VA"
2011-2012,Henrico County ,Short Pump Elementary,Mathematics,87.10%,50,No Exact Location,"Short Pump Elementary, Henrico County , VA"
2011-2012,Fairfax County ,Kent Gardens Elementary,Mathematics,87.14%,690,No Exact Location,"Kent Gardens Elementary, Fairfax County , VA"
2011-2012,Fairfax County ,Navy Elementary,Mathematics,87.27%,500,No Exact Location,"Navy Elementary, Fairfax County , VA"
2011-2012,Prince George County ,L.L. Beazley Elementary,Mathematics,87.33%,580,No Exact Location,"L.L. Beazley Elementary, Prince George County , VA"
2011-2012,Fairfax County ,Sangster Elementary,Mathematics,87.35%,50,No Exact Location,"Sangster Elementary, Fairfax County , VA"
