School Year,Division,School,Subject Area,Pass Rate,School Code,Correct,Address
2011-2012,Norfolk City ,Fairlawn Elementary,Mathematics,47.57%,780,No Exact Location,"Fairlawn Elementary, Norfolk City , VA"
2011-2012,Prince William County ,Fred M. Lynn Middle,Mathematics,47.58%,30,No Exact Location,"Fred M. Lynn Middle, Prince William County , VA"
2011-2012,Mecklenburg County ,Park View Middle,Mathematics,47.62%,570,No Exact Location,"Park View Middle, Mecklenburg County , VA"
2011-2012,Fairfax County ,Weyanoke Elementary,Mathematics,47.64%,1010,No Exact Location,"Weyanoke Elementary, Fairfax County , VA"
2011-2012,Spotsylvania County ,Courtland High,Mathematics,47.68%,1190,No Exact Location,"Courtland High, Spotsylvania County , VA"
2011-2012,Tazewell County ,Richlands High,Mathematics,47.93%,50,No Exact Location,"Richlands High, Tazewell County , VA"
2011-2012,Hampton City ,Hunter B. Andrews,Mathematics,47.99%,600,No Exact Location,"Hunter B. Andrews, Hampton City , VA"
2011-2012,Fairfax County ,Annandale Terrace Elementary,Mathematics,48.06%,1360,No Exact Location,"Annandale Terrace Elementary, Fairfax County , VA"
2011-2012,Lynchburg City ,Perrymont Elementary,Mathematics,48.08%,70,No Exact Location,"Perrymont Elementary, Lynchburg City , VA"
2011-2012,Petersburg City ,Walnut Hill Elementary,Mathematics,48.10%,1010,No Exact Location,"Walnut Hill Elementary, Petersburg City , VA"
2011-2012,Richmond City ,Patrick Henry School Of Science And Arts,Mathematics,48.21%,70,No Exact Location,"Patrick Henry School Of Science And Arts, Richmond City , VA"
2011-2012,Norfolk City ,Norview Middle,Mathematics,48.31%,760,No Exact Location,"Norview Middle, Norfolk City , VA"
2011-2012,Suffolk City ,Nansemond River High,Mathematics,48.45%,500,No Exact Location,"Nansemond River High, Suffolk City , VA"
2011-2012,Hopewell City ,Carter G. Woodson Middle,Mathematics,48.46%,2222,No Exact Location,"Carter G. Woodson Middle, Hopewell City , VA"
2011-2012,Newport News City ,Joseph H. Saunders Elementary,Mathematics,48.99%,360,No Exact Location,"Joseph H. Saunders Elementary, Newport News City , VA"
2011-2012,Shenandoah County ,Strasburg High,Mathematics,49.10%,871,No Exact Location,"Strasburg High, Shenandoah County , VA"
2011-2012,Warren County ,Skyline High,Mathematics,49.13%,50,No Exact Location,"Skyline High, Warren County , VA"
2011-2012,Norfolk City ,St. Helena Elementary,Mathematics,49.18%,8888,No Exact Location,"St. Helena Elementary, Norfolk City , VA"
2011-2012,Henrico County ,Henrico High,Mathematics,49.26%,10,No Exact Location,"Henrico High, Henrico County , VA"
2011-2012,Richmond City ,J.L. Francis Elementary,Mathematics,49.28%,800,No Exact Location,"J.L. Francis Elementary, Richmond City , VA"
2011-2012,Norfolk City ,Norview Elementary,Mathematics,49.51%,760,No Exact Location,"Norview Elementary, Norfolk City , VA"
