School Year,Division,School,Subject Area,Pass Rate,School Code,Address,Correct
2011-2012,Prince George County ,J.E.J. Moore Middle ,Mathematics,73.09%,800,"J.E.J. Moore Middle , Prince George County , No Exact Location",No Exact Location
2011-2012,Prince George County ,N.B. Clements Junior High ,Mathematics,59.12%,500,"N.B. Clements Junior High , Prince George County , No Exact Location",No Exact Location
2011-2012,Prince William County ,Battlefield High ,Mathematics,65.25%,550,"Battlefield High , Prince William County , No Exact Location",No Exact Location
2011-2012,Prince William County ,Freedom High ,Mathematics,43.18%,30,"Freedom High , Prince William County , No Exact Location",No Exact Location
2011-2012,Prince William County ,Mary Williams Elementary ,Mathematics,75.12%,500,"Mary Williams Elementary , Prince William County , No Exact Location",No Exact Location
2011-2012,Pulaski County ,Pulaski Elementary ,Mathematics,77.02%,70,"Pulaski Elementary , Pulaski County , No Exact Location",No Exact Location
2011-2012,Richmond City ,Armstrong High ,Mathematics,20.38%,1530,"Armstrong High , Richmond City , No Exact Location",No Exact Location
2011-2012,Richmond City ,Clark Springs Elementary,Mathematics,88.03%,1050,"Clark Springs Elementary, Richmond City , No Exact Location",No Exact Location
2011-2012,Richmond City ,Martin Luther King Jr. Middle ,Mathematics,13.32%,500,"Martin Luther King Jr. Middle , Richmond City , No Exact Location",No Exact Location
2011-2012,Richmond City ,Richmond Alternative ,Mathematics,25.54%,50,"Richmond Alternative , Richmond City , No Exact Location",No Exact Location
2011-2012,Richmond City ,Summer Hill/Ruffin Road Elementary,Mathematics,57.40%,871,"Summer Hill/Ruffin Road Elementary, Richmond City , No Exact Location",No Exact Location
2011-2012,Rockbridge County ,Maury River Middle,Mathematics,64.91%,500,"Maury River Middle, Rockbridge County , No Exact Location",No Exact Location
2011-2012,Rockbridge County ,Natural Bridge Elementary,Mathematics,62.50%,500,"Natural Bridge Elementary, Rockbridge County , No Exact Location",No Exact Location
2011-2012,Rockbridge County ,Rockbridge County High ,Mathematics,50.85%,50,"Rockbridge County High , Rockbridge County , No Exact Location",No Exact Location
2011-2012,Rockbridge County ,Rockbridge Middle,Mathematics,77.99%,50,"Rockbridge Middle, Rockbridge County , No Exact Location",No Exact Location
2011-2012,Smyth County ,Marion Intermediate,Mathematics,57.92%,500,"Marion Intermediate, Smyth County , No Exact Location",No Exact Location
2011-2012,Spotsylvania County ,Riverbend High ,Mathematics,58.63%,50,"Riverbend High , Spotsylvania County , No Exact Location",No Exact Location
2011-2012,Stafford County ,Margaret Brent Elementary ,Mathematics,70.86%,500,"Margaret Brent Elementary , Stafford County , No Exact Location",No Exact Location
2011-2012,Stafford County ,Mountain View High ,Mathematics,61.46%,500,"Mountain View High , Stafford County , No Exact Location",No Exact Location
2011-2012,Suffolk City ,Booker T. Washington Elementary,Mathematics,55.36%,2000,"Booker T. Washington Elementary, Suffolk City , No Exact Location",No Exact Location
2011-2012,Sussex County ,Ellen W. Chambliss Elementary,Mathematics,56.82%,106,"Ellen W. Chambliss Elementary, Sussex County , No Exact Location",No Exact Location
2011-2012,Sussex County ,Jefferson Elementary,Mathematics,54.29%,800,"Jefferson Elementary, Sussex County , No Exact Location",No Exact Location
2011-2012,Sussex County ,Sussex Central Middle,Mathematics,52.29%,871,"Sussex Central Middle, Sussex County , No Exact Location",No Exact Location
2011-2012,Winchester City ,Virginia Avenue Charlotte Dehart Elementary ,Mathematics,47.51%,1010,"Virginia Avenue Charlotte Dehart Elementary , Winchester City , No Exact Location",No Exact Location
2011-2012,York County ,Mount Vernon Elementary ,Mathematics,85.10%,500,"Mount Vernon Elementary , York County , No Exact Location",No Exact Location
2011-2012,Culpeper County ,Yowell Elementary,Mathematics,70.90%,60,"Yowell Elementary, 701 Yowell Drive, Culpeper, VA, 22701",Exact Location
2011-2012,Arlington County ,Yorktown High,Mathematics,73.87%,210,"Yorktown High, 5201 28th St N, Arlington, VA, 22207",Exact Location
2011-2012,Campbell County ,Yellow Branch Elementary,Mathematics,76.27%,220,"Yellow Branch Elementary, 377 Dennis Riddle Dr, Rustburg, VA, 24588",Exact Location
2011-2012,Chesterfield County ,Woolridge Elementary,Mathematics,88.89%,220,"Woolridge Elementary, 5401 Timber Bluff Pkwy., Midlothian, VA, 23112",Exact Location
2011-2012,Albemarle County ,Woodbrook Elementary,Mathematics,65.85%,220,"Woodbrook Elementary, 100 Woodbrook Drive, Charlottesville, VA, 22901",Exact Location
2011-2012,Danville City ,Woodberry Hills Elementary,Mathematics,71.54%,220,"Woodberry Hills Elementary, 614 Audubon Dr, Danville, VA, 24540",Exact Location
2011-2012,Chesterfield County ,Winterpock Elementary,Mathematics,92.40%,1010,"Winterpock Elementary, 9000 Elementary Way Loop, Chesterfield, VA, 23832",Exact Location
2011-2012,Augusta County ,Wilson Middle,Mathematics,65.49%,1010,"Wilson Middle, 232 Hornet Road, Fishersville, VA, 22939",Exact Location
2011-2012,Augusta County ,Wilson Memorial High,Mathematics,73.35%,1010,"Wilson Memorial High, 189 Hornet Rd, Fishersville, VA, 22939",Exact Location
2011-2012,Augusta County ,Wilson Elementary,Mathematics,76.65%,1010,"Wilson Elementary, 127 Woodrow Wilson Ave, Fishersville, VA, 22939",Exact Location
2011-2012,Arlington County ,Williamsburg Middle,Mathematics,88.43%,1010,"Williamsburg Middle, 3600 N Harrison St, Arlington, VA, 22207",Exact Location
2011-2012,Alexandria City ,William Ramsay Elementary,Mathematics,49.20%,1010,"William Ramsay Elementary, 5700 Sanger Ave, Alexandria, VA, 22311",Exact Location
2011-2012,Campbell County ,William Campbell High,Mathematics,43.09%,1010,"William Campbell High, PO Box 7, Naruna, VA, 24576",Exact Location
2011-2012,Danville City ,Westwood Middle,Mathematics,69.85%,1010,"Westwood Middle, 500 Apollo Ave, Danville, VA, 24540",Exact Location
2011-2012,Chesapeake City ,Western Branch Middle,Mathematics,63.68%,1010,"Western Branch Middle, 4201 Hawksley Dr, Chesapeake, VA, 23321",Exact Location
2011-2012,Chesapeake City ,Western Branch Intermediate,Mathematics,63.55%,1010,"Western Branch Intermediate, 4013 Terry Dr, Chesapeake, VA, 23321",Exact Location
2011-2012,Chesapeake City ,Western Branch High,Mathematics,61.36%,1010,"Western Branch High, 1968 Bruin Pl, Chesapeake, VA, 23321",Exact Location
2011-2012,Albemarle County ,Western Albemarle High,Mathematics,77.28%,1010,"Western Albemarle High, 5941 Rockfish Gap Turnpike, Crozet, VA, 22932",Exact Location
2011-2012,Arlington County ,Washington-Lee High,Mathematics,67.71%,1010,"Washington-Lee High, 1301 N Stafford St, Arlington, VA, 22201",Exact Location
2011-2012,Bristol City ,Washington-Lee Elementary,Mathematics,54.70%,1010,"Washington-Lee Elementary, Washington Lee Dr, Bristol, VA, 24201",Exact Location
2011-2012,Charlottesville City ,Walker Upper Elementary,Mathematics,73.37%,1010,"Walker Upper Elementary, 1564 Dairy Road, Charlottesville, VA, 22903",Exact Location
2011-2012,Arlington County ,Wakefield High,Mathematics,51.43%,1010,"Wakefield High, 4901 South Chesterfield Rd, Arlington, VA, 22206",Exact Location
2011-2012,Chesterfield County ,W.W. Gordon Elementary,Mathematics,88.04%,1010,"W.W. Gordon Elementary, 11701 Gordon School Rd., Richmond, VA, 23236",Exact Location
