School Year,Division,School,Subject Area,Pass Rate,School Code,Address,Correct
2011-2012,Virginia Beach City ,Corporate Landing Middle,Mathematics,53.87%,1190,0,Exact Location
2011-2012,Fairfax County ,Glen Forest Elementary,Mathematics,63.20%,30,0,Exact Location
2011-2012,Loudoun County ,Forest Grove Elementary,Mathematics,65.80%,440,0,Exact Location
2011-2012,Rockingham County ,John W. Wayland Elementary,Mathematics,66.67%,360,0,Exact Location
2011-2012,Virginia Beach City ,Larkspur Middle,Mathematics,54.77%,970,0,Exact Location
2011-2012,Fairfax County ,Springfield Estates Elementary,Mathematics,84.29%,8888,0,Exact Location
2011-2012,Franklin County ,Sontag Elementary,Mathematics,65.15%,50,0,Exact Location
2011-2012,Loudoun County ,Hutchison Farm Elementary,Mathematics,71.00%,600,0,Exact Location
2011-2012,Mecklenburg County ,Bluestone Middle,Mathematics,42.02%,720,0,Exact Location
2011-2012,Prince William County ,Gainesville Middle,Mathematics,83.78%,30,0,Exact Location
2011-2012,Rockingham County ,J. Frank Hillyard Middle,Mathematics,71.19%,800,0,Exact Location
2011-2012,Tazewell County ,Graham Intermediate,Mathematics,75.00%,1031,0,Exact Location
2011-2012,Virginia Beach City ,Ocean Lakes High,Mathematics,62.16%,960,0,Exact Location
2011-2012,Fairfax County ,Rose Hill Elementary,Mathematics,55.93%,50,0,Exact Location
2011-2012,Lee County ,Rose Hill Elementary,Mathematics,45.97%,50,0,Exact Location
2011-2012,Mecklenburg County ,Park View Middle,Mathematics,47.62%,570,0,Exact Location
2011-2012,Prince William County ,Buckland Mills Elementary,Mathematics,77.82%,2201,0,Exact Location
2011-2012,Rockingham County ,Pleasant Valley Elementary,Mathematics,72.65%,70,0,Exact Location
2011-2012,Prince William County ,Pennington School,Mathematics,77.08%,70,0,Exact Location
2011-2012,Prince William County ,Rosa Parks Elementary,Mathematics,75.28%,50,0,Exact Location
2011-2012,Fairfax County ,Bren Mar Park Elementary,Mathematics,55.66%,940,0,Exact Location
2011-2012,Loudoun County ,Belmont Ridge Middle,Mathematics,85.06%,560,0,Exact Location
2011-2012,Rockingham County ,Fulks Run Elementary,Mathematics,43.82%,30,0,Exact Location
2011-2012,Tazewell County ,Graham High,Mathematics,59.13%,1031,0,Exact Location
2011-2012,Virginia Beach City ,Strawbridge Elementary,Mathematics,82.64%,871,0,Exact Location
2011-2012,Virginia Beach City ,Landstown Elementary,Mathematics,63.07%,932,0,Exact Location
2011-2012,Virginia Beach City ,Landstown Middle,Mathematics,70.32%,931,0,Exact Location
2011-2012,Fairfax County ,North Springfield Elementary,Mathematics,60.98%,760,0,Exact Location
2011-2012,Loudoun County ,River Bend Middle,Mathematics,76.97%,50,0,Exact Location
2011-2012,Loudoun County ,Harmony Middle,Mathematics,78.62%,10,0,Exact Location
2011-2012,Prince William County ,Bull Run Middle,Mathematics,84.84%,2225,0,Exact Location
2011-2012,Rockingham County ,Ottobine Elementary,Mathematics,53.85%,570,0,Exact Location
2011-2012,Tazewell County ,Raven Elementary,Mathematics,56.63%,70,0,Exact Location
2011-2012,Virginia Beach City ,Tallwood High,Mathematics,57.95%,871,0,Exact Location
2011-2012,Grayson County ,Fries School,Mathematics,57.24%,30,0,Exact Location
2011-2012,Loudoun County ,Mill Run Elementary,Mathematics,79.41%,500,0,Exact Location
2011-2012,Mecklenburg County ,Chase City Elementary,Mathematics,64.22%,2445,0,Exact Location
2011-2012,Virginia Beach City ,Tallwood Elementary,Mathematics,62.59%,871,0,Exact Location
2011-2012,Montgomery County ,Eastern Montgomery High,Mathematics,20.74%,106,0,Exact Location
2011-2012,Montgomery County ,Auburn Elementary,Mathematics,85.32%,1530,0,Exact Location
2011-2012,Russell County ,Lebanon Middle,Mathematics,78.40%,970,0,Exact Location
2011-2012,Montgomery County ,Kipps Elementary,Mathematics,72.83%,580,0,Exact Location
2011-2012,Fairfax County ,West Potomac High,Mathematics,49.61%,1010,0,Exact Location
2011-2012,Loudoun County ,Heritage High,Mathematics,57.93%,10,0,Exact Location
2011-2012,Lynchburg City ,Heritage High,Mathematics,34.11%,10,0,Exact Location
2011-2012,Newport News City ,Heritage High,Mathematics,28.53%,10,0,Exact Location
2011-2012,Prince William County ,Cedar Point Elementary,Mathematics,85.07%,880,0,Exact Location
2011-2012,Rockingham County ,Elkton Middle,Mathematics,79.92%,106,0,Exact Location
2011-2012,Virginia Beach City ,Red Mill Elementary,Mathematics,82.07%,50,0,Exact Location
2011-2012,Fairfax County ,Lynbrook Elementary,Mathematics,57.38%,460,0,Exact Location
2011-2012,Loudoun County ,Countryside Elementary,Mathematics,71.88%,1190,0,Exact Location
2011-2012,Prince William County ,Swans Creek Elementary,Mathematics,59.21%,871,0,Exact Location
2011-2012,Rockingham County ,Wilbur S. Pence Middle,Mathematics,74.15%,1010,0,Exact Location
2011-2012,Russell County ,Honaker Elementary,Mathematics,73.88%,600,0,Exact Location
2011-2012,Tazewell County ,Tazewell High,Mathematics,39.41%,871,0,Exact Location
2011-2012,Lee County ,Thomas Walker High,Mathematics,64.04%,871,0,Exact Location
2011-2012,Loudoun County ,Eagle Ridge Middle,Mathematics,76.57%,106,0,Exact Location
2011-2012,Prince William County ,Louise A. Benton Middle,Mathematics,85.86%,9997,0,Exact Location
2011-2012,Russell County ,Cleveland Elementary,Mathematics,94.37%,1870,0,Exact Location
2011-2012,Virginia Beach City ,Ocean Lakes Elementary,Mathematics,67.80%,880,0,Exact Location
2011-2012,Wise County ,St. Paul Elementary,Mathematics,78.64%,871,0,Exact Location
2011-2012,Danville City ,Glenwood Elementary,Mathematics,78.85%,870,0,Exact Location
2011-2012,Loudoun County ,Seldens Landing Elementary,Mathematics,81.01%,50,0,Exact Location
2011-2012,Prince William County ,Forest Park High,Mathematics,54.81%,440,0,Exact Location
2011-2012,Rockingham County ,Broadway High,Mathematics,67.83%,940,0,Exact Location
2011-2012,Virginia Beach City ,Glenwood Elementary,Mathematics,71.64%,870,0,Exact Location
2011-2012,Loudoun County ,Little River Elementary,Mathematics,78.73%,330,0,Exact Location
2011-2012,Norfolk City ,Willoughby Elementary,Mathematics,73.91%,1010,0,Exact Location
2011-2012,Prince William County ,Bristow Run Elementary,Mathematics,79.89%,940,0,Exact Location
2011-2012,Rockingham County ,Montevideo Middle,Mathematics,78.65%,500,0,Exact Location
2011-2012,Fauquier County ,Auburn Middle,Mathematics,74.38%,1530,0,Exact Location
2011-2012,Montgomery County ,Auburn Middle,Mathematics,61.89%,1530,0,Exact Location
2011-2012,Fauquier County ,James G. Brumfield Elementary,Mathematics,60.54%,800,0,Exact Location
2011-2012,Smyth County ,Chilhowie Middle,Mathematics,73.60%,100,0,Exact Location
2011-2012,Fairfax County ,Wakefield Forest Elementary,Mathematics,88.21%,1010,0,Exact Location
2011-2012,Loudoun County ,Stone Bridge High,Mathematics,69.16%,871,0,Exact Location
2011-2012,Norfolk City ,Sewells Point Elementary,Mathematics,66.94%,50,0,Exact Location
2011-2012,Prince William County ,Sonnie Penn Elementary,Mathematics,76.10%,50,0,Exact Location
2011-2012,Rockingham County ,Turner Ashby High,Mathematics,84.33%,871,0,Exact Location
2011-2012,Loudoun County ,Cedar Lane Elementary,Mathematics,75.20%,2222,0,Exact Location
2011-2012,Prince William County ,Bennett Elementary,Mathematics,82.06%,720,0,Exact Location
2011-2012,Virginia Beach City ,Rosemont Forest Elementary,Mathematics,62.35%,50,0,Exact Location
2011-2012,Fairfax County ,Timber Lane Elementary,Mathematics,74.33%,871,0,Exact Location
2011-2012,Prince William County ,Leesylvania Elementary,Mathematics,71.91%,970,0,Exact Location
2011-2012,Richmond City ,Chimborazo Elementary,Mathematics,50.93%,100,0,Exact Location
2011-2012,Rockingham County ,South River Elementary,Mathematics,86.10%,50,0,Exact Location
2011-2012,Tazewell County ,Cedar Bluff Elementary,Mathematics,64.73%,2222,0,Exact Location
2011-2012,Tazewell County ,Richlands Middle,Mathematics,63.91%,50,0,Exact Location
2011-2012,Tazewell County ,Richlands Elementary,Mathematics,51.45%,50,0,Exact Location
2011-2012,Tazewell County ,Richlands High,Mathematics,47.93%,50,0,Exact Location
2011-2012,Fairfax County ,Pine Spring Elementary,Mathematics,63.84%,70,0,Exact Location
2011-2012,Lee County ,Elydale Elementary,Mathematics,54.39%,106,0,Exact Location
2011-2012,Loudoun County ,Horizon Elementary,Mathematics,76.47%,600,0,Exact Location
2011-2012,Norfolk City ,St. Helena Elementary,Mathematics,49.18%,8888,0,Exact Location
2011-2012,Prince William County ,Old Bridge Elementary,Mathematics,77.20%,960,0,Exact Location
2011-2012,Shenandoah County ,Ashby Lee Elementary,Mathematics,60.75%,1530,0,Exact Location
2011-2012,Virginia Beach City ,Parkway Elementary,Mathematics,55.86%,820,0,Exact Location
2011-2012,Shenandoah County ,Sandy Hook Elementary,Mathematics,65.60%,50,0,Exact Location
2011-2012,Virginia Beach City ,Rosemont Elementary,Mathematics,72.57%,50,0,Exact Location
2011-2012,Fairfax County ,Navy Elementary,Mathematics,87.27%,500,0,Exact Location
2011-2012,Norfolk City ,Tarrallton Elementary,Mathematics,64.63%,871,0,Exact Location
2011-2012,Prince William County ,Montclair Elementary,Mathematics,74.18%,500,0,Exact Location
2011-2012,Virginia Beach City ,Indian Lakes Elementary,Mathematics,77.90%,800,0,Exact Location
2011-2012,Russell County ,Castlewood Elementary,Mathematics,61.86%,2222,0,Exact Location
2011-2012,Russell County ,Castlewood High,Mathematics,30.85%,2222,0,Exact Location
2011-2012,Fairfax County ,McLean High,Mathematics,79.52%,500,0,Exact Location
2011-2012,Loudoun County ,Blue Ridge Middle,Mathematics,84.65%,720,0,Exact Location
2011-2012,Norfolk City ,Lake Taylor Middle,Mathematics,34.41%,580,0,Exact Location
2011-2012,Scott County ,Yuma Elementary,Mathematics,79.35%,60,0,Exact Location
2011-2012,Virginia Beach City ,Brandon Middle,Mathematics,55.19%,1090,0,Exact Location
2011-2012,Loudoun County ,Lovettsville Elementary,Mathematics,68.68%,9997,0,Exact Location
2011-2012,Norfolk City ,Tidewater Park Elementary,Mathematics,27.45%,871,0,Exact Location
2011-2012,Prince William County ,Stuart M. Beville Middle,Mathematics,69.89%,871,0,Exact Location
2011-2012,Rockbridge County ,Fairfield Elementary,Mathematics,67.12%,780,0,Exact Location
2011-2012,Scott County ,Twin Springs High,Mathematics,69.44%,871,0,Exact Location
2011-2012,Southampton County ,Riverdale Elementary,Mathematics,43.00%,50,0,Exact Location
2011-2012,Virginia Beach City ,Fairfield Elementary,Mathematics,61.69%,780,0,Exact Location
2011-2012,Scott County ,Gate City Middle,Mathematics,79.14%,30,0,Exact Location
2011-2012,Fairfax County ,Lemon Road Elementary,Mathematics,88.24%,970,0,Exact Location
2011-2012,Montgomery County ,Christiansburg High,Mathematics,29.04%,100,0,Exact Location
2011-2012,Norfolk City ,Campostella Elementary,Mathematics,39.06%,620,0,Exact Location
2011-2012,Prince William County ,George P. Mullen Elementary,Mathematics,69.08%,30,0,Exact Location
2011-2012,Scott County ,Gate City High,Mathematics,55.87%,30,0,Exact Location
2011-2012,Shenandoah County ,Strasburg High,Mathematics,49.10%,871,0,Exact Location
2011-2012,Virginia Beach City ,Green Run Elementary,Mathematics,55.69%,770,0,Exact Location
2011-2012,Henry County ,Stanleytown Elementary,Mathematics,64.46%,871,0,Exact Location
2011-2012,Loudoun County ,Sterling Middle,Mathematics,50.16%,871,0,Exact Location
2011-2012,Montgomery County ,Blacksburg High,Mathematics,53.35%,720,0,Exact Location
2011-2012,Norfolk City ,Azalea Gardens Middle,Mathematics,40.85%,1530,0,Exact Location
2011-2012,Prince William County ,Antietam Elementary,Mathematics,77.38%,1360,0,Exact Location
2011-2012,Virginia Beach City ,North Landing Elementary,Mathematics,77.86%,760,0,Exact Location
2011-2012,Wythe County ,Fort Chiswell High,Mathematics,30.36%,440,0,Exact Location
2011-2012,Roanoke County ,Hidden Valley High,Mathematics,64.62%,540,0,Exact Location
2011-2012,Roanoke County ,Bonsack Elementary,Mathematics,85.31%,2000,0,Exact Location
2011-2012,Roanoke County ,Glenvar Middle,Mathematics,86.68%,30,0,Exact Location
2011-2012,Waynesboro City ,William Perry Elementary,Mathematics,58.65%,1010,0,Exact Location
2011-2012,Fairfax County ,Haycock Elementary,Mathematics,94.34%,10,0,Exact Location
2011-2012,Fauquier County ,H.M. Pearson Elementary,Mathematics,70.81%,10,0,Exact Location
2011-2012,Loudoun County ,Sully Elementary,Mathematics,60.00%,871,0,Exact Location
2011-2012,Montgomery County ,Gilbert Linkous Elementary,Mathematics,86.63%,30,0,Exact Location
2011-2012,Norfolk City ,Fairlawn Elementary,Mathematics,47.57%,780,0,Exact Location
2011-2012,Prince William County ,River Oaks Elementary,Mathematics,61.57%,50,0,Exact Location
2011-2012,Richmond City ,Amelia Street Special Education,Mathematics,44.74%,2203,0,Exact Location
2011-2012,Scott County ,Duffield-Pattonsville Primary,Mathematics,58.59%,106,0,Exact Location
2011-2012,Virginia Beach City ,Princess Anne Middle,Mathematics,79.46%,70,0,Exact Location
2011-2012,Richmond City ,George Wythe High,Mathematics,32.28%,30,0,Exact Location
2011-2012,Wythe County ,George Wythe High,Mathematics,61.39%,30,0,Exact Location
2011-2012,Fairfax County ,Floris Elementary,Mathematics,90.22%,610,0,Exact Location
2011-2012,Fauquier County ,W.G. Coleman Elementary,Mathematics,84.36%,1010,0,Exact Location
2011-2012,Henry County ,Rich Acres Elementary,Mathematics,85.07%,50,0,Exact Location
2011-2012,Loudoun County ,Broad Run High,Mathematics,65.59%,940,0,Exact Location
2011-2012,Montgomery County ,Christiansburg Elementary,Mathematics,68.52%,100,0,Exact Location
2011-2012,Prince William County ,Westridge Elementary,Mathematics,83.28%,1010,0,Exact Location
2011-2012,Scott County ,Weber City Elementary,Mathematics,85.44%,1010,0,Exact Location
2011-2012,Smyth County ,Saltville Elementary,Mathematics,67.61%,50,0,Exact Location
2011-2012,Wythe County ,Sheffey Elementary,Mathematics,65.65%,50,0,Exact Location
2011-2012,Fairfax County ,Flint Hill Elementary,Mathematics,88.86%,610,0,Exact Location
2011-2012,Fauquier County ,C.M. Bradley Elementary,Mathematics,70.54%,680,0,Exact Location
2011-2012,Loudoun County ,Emerick Elementary,Mathematics,79.25%,106,0,Exact Location
2011-2012,Montgomery County ,Margaret Beeks Elementary,Mathematics,79.66%,500,0,Exact Location
2011-2012,Nelson County ,Nelson Middle,Mathematics,72.97%,500,0,Exact Location
2011-2012,Prince William County ,Sharon C. McAuliffe Elementary,Mathematics,60.73%,50,0,Exact Location
2011-2012,Richmond City ,John Marshall High,Mathematics,27.14%,360,0,Exact Location
2011-2012,Smyth County ,Chilhowie Elementary,Mathematics,61.28%,100,0,Exact Location
2011-2012,Virginia Beach City ,Lynnhaven Middle,Mathematics,60.20%,730,0,Exact Location
2011-2012,Wythe County ,Jackson Memorial Elementary,Mathematics,65.49%,800,0,Exact Location
2011-2012,Fairfax County ,Belvedere Elementary,Mathematics,67.97%,720,0,Exact Location
2011-2012,Fauquier County ,P.B. Smith Elementary,Mathematics,70.59%,570,0,Exact Location
2011-2012,Loudoun County ,Guilford Elementary,Mathematics,63.46%,10,0,Exact Location
2011-2012,Prince William County ,Lake Ridge Middle,Mathematics,76.90%,580,0,Exact Location
2011-2012,Smyth County ,Rich Valley Elementary,Mathematics,71.74%,50,0,Exact Location
2011-2012,Virginia Beach City ,College Park Elementary,Mathematics,61.36%,2347,0,Exact Location
2011-2012,Fairfax County ,Sleepy Hollow Elementary,Mathematics,59.78%,50,0,Exact Location
2011-2012,Henrico County ,Shady Grove Elementary,Mathematics,92.64%,50,0,Exact Location
2011-2012,Loudoun County ,Catoctin Elementary,Mathematics,52.19%,2222,0,Exact Location
2011-2012,Montgomery County ,Blacksburg Middle,Mathematics,76.65%,720,0,Exact Location
2011-2012,Nelson County ,Nelson County High,Mathematics,63.50%,500,0,Exact Location
2011-2012,Norfolk City ,Poplar Halls Elementary,Mathematics,51.97%,70,0,Exact Location
2011-2012,Prince William County ,C.D. Hylton High,Mathematics,54.55%,680,0,Exact Location
2011-2012,Richmond City ,Fairfield Court Elementary,Mathematics,73.04%,106,0,Exact Location
2011-2012,Russell County ,Swords Creek Elementary,Mathematics,45.38%,871,0,Exact Location
2011-2012,Southampton County ,Capron Elementary,Mathematics,53.85%,1590,0,Exact Location
2011-2012,Virginia Beach City ,Newtown Elementary,Mathematics,67.82%,710,0,Exact Location
2011-2012,Fauquier County ,Fauquier High,Mathematics,51.77%,780,0,Exact Location
2011-2012,Fairfax County ,Bucknell Elementary,Mathematics,50.43%,700,0,Exact Location
2011-2012,Henrico County ,Dumbarton Elementary,Mathematics,52.99%,106,0,Exact Location
2011-2012,Loudoun County ,Waterford Elementary,Mathematics,73.39%,1010,0,Exact Location
2011-2012,Montgomery County ,Belview Elementary,Mathematics,62.37%,720,0,Exact Location
2011-2012,Patrick County ,Patrick County High,Mathematics,63.56%,820,0,Exact Location
2011-2012,Prince William County ,Neabsco Elementary,Mathematics,54.78%,500,0,Exact Location
2011-2012,Smyth County ,Marion Senior High,Mathematics,49.63%,500,0,Exact Location
2011-2012,Southampton County ,Southampton Middle,Mathematics,60.69%,50,0,Exact Location
2011-2012,Virginia Beach City ,Bayside Middle,Mathematics,46.95%,550,0,Exact Location
2011-2012,Fairfax County ,Gunston Elementary,Mathematics,66.18%,10,0,Exact Location
2011-2012,Franklin County ,Glade Hill Elementary,Mathematics,78.81%,30,0,Exact Location
2011-2012,Henrico County ,Harry F. Byrd Middle,Mathematics,75.16%,10,0,Exact Location
2011-2012,Loudoun County ,Sterling Elementary,Mathematics,57.56%,871,0,Exact Location
2011-2012,Prince William County ,Gar-Field High,Mathematics,37.62%,30,0,Exact Location
2011-2012,Southampton County ,Southampton High,Mathematics,54.61%,50,0,Exact Location
2011-2012,Virginia Beach City ,Kempsville Middle,Mathematics,73.61%,690,0,Exact Location
2011-2012,Norfolk City ,Little Creek Elementary,Mathematics,56.99%,330,0,Exact Location
2011-2012,Fairfax County ,Bush Hill Elementary,Mathematics,66.24%,680,0,Exact Location
2011-2012,Henrico County ,Elizabeth Holladay Elementary,Mathematics,67.31%,106,0,Exact Location
2011-2012,Loudoun County ,Loudoun Valley High,Mathematics,71.76%,9997,0,Exact Location
2011-2012,Patrick County ,Patrick Springs Elementary,Mathematics,52.63%,70,0,Exact Location
2011-2012,Prince William County ,Stonewall Jackson High,Mathematics,37.29%,871,0,Exact Location
2011-2012,Shenandoah County ,Stonewall Jackson High,Mathematics,66.78%,871,0,Exact Location
2011-2012,Smyth County ,Marion Middle,Mathematics,62.57%,500,0,Exact Location
2011-2012,Virginia Beach City ,Point O' View Elementary,Mathematics,50.43%,70,0,Exact Location
2011-2012,Fairfax County ,Jackson Middle,Mathematics,82.52%,800,0,Exact Location
2011-2012,Montgomery County ,Christiansburg Middle,Mathematics,63.10%,100,0,Exact Location
2011-2012,Fauquier County ,W.C. Taylor Middle,Mathematics,70.08%,1010,0,Exact Location
2011-2012,Henrico County ,Hermitage High,Mathematics,38.97%,540,0,Exact Location
2011-2012,Norfolk City ,Larrymore Elementary,Mathematics,67.08%,970,0,Exact Location
2011-2012,Prince William County ,Bel Air Elementary,Mathematics,63.08%,1730,0,Exact Location
2011-2012,Virginia Beach City ,Windsor Oaks Elementary,Mathematics,56.57%,1010,0,Exact Location
2011-2012,Henry County ,John Redd Smith Elementary,Mathematics,58.86%,360,0,Exact Location
2011-2012,Fairfax County ,Annandale High,Mathematics,61.49%,660,0,Exact Location
2011-2012,Fauquier County ,Warrenton Middle,Mathematics,68.05%,1010,0,Exact Location
2011-2012,Floyd County ,Floyd County High,Mathematics,54.48%,610,0,Exact Location
2011-2012,Franklin County ,Lee M. Waid Elementary,Mathematics,74.48%,970,0,Exact Location
2011-2012,Henrico County ,Jacob L. Adams Elementary,Mathematics,78.16%,800,0,Exact Location
2011-2012,Loudoun County ,Loudoun County High,Mathematics,68.18%,9997,0,Exact Location
2011-2012,Louisa County ,Jouett Elementary,Mathematics,58.15%,360,0,Exact Location
2011-2012,Prince William County ,Coles Elementary,Mathematics,71.72%,2347,0,Exact Location
2011-2012,Richmond City ,Westover Hills Elementary,Mathematics,45.19%,1010,0,Exact Location
2011-2012,Virginia Beach City ,Pembroke Meadows Elementary,Mathematics,63.21%,70,0,Exact Location
2011-2012,Wise County ,Coeburn Primary,Mathematics,83.42%,2347,0,Exact Location
2011-2012,Wise County ,Eastside High,Mathematics,64.26%,106,0,Exact Location
2011-2012,Wise County ,Coeburn Middle,Mathematics,79.53%,2347,0,Exact Location
2011-2012,Fairfax County ,Woodburn Elementary,Mathematics,74.16%,220,0,Exact Location
2011-2012,Floyd County ,Indian Valley Elementary,Mathematics,74.59%,800,0,Exact Location
2011-2012,Hampton City ,George P. Phenix Elementary,Mathematics,74.84%,30,0,Exact Location
2011-2012,Henrico County ,Ruby F. Carver Elementary,Mathematics,66.54%,50,0,Exact Location
2011-2012,Loudoun County ,Banneker Elementary,Mathematics,64.71%,550,0,Exact Location
2011-2012,Montgomery County ,Auburn High,Mathematics,37.63%,1530,0,Exact Location
2011-2012,Norfolk City ,Sherwood Forest Elementary,Mathematics,51.97%,50,0,Exact Location
2011-2012,Portsmouth City ,Churchland Elementary,Mathematics,71.61%,1050,0,Exact Location
2011-2012,Richmond City ,Woodville Elementary,Mathematics,55.21%,220,0,Exact Location
2011-2012,Roanoke County ,Glen Cove Elementary,Mathematics,79.15%,30,0,Exact Location
2011-2012,Waynesboro City ,Berkeley Glenn Elementary,Mathematics,80.26%,720,0,Exact Location
2011-2012,Louisa County ,Trevilians Elementary,Mathematics,57.28%,871,0,Exact Location
2011-2012,Scott County ,Shoemaker Elementary,Mathematics,67.80%,50,0,Exact Location
2011-2012,Hampton City ,Hunter B. Andrews,Mathematics,47.99%,600,0,Exact Location
2011-2012,Henrico County ,Highland Springs Elementary,Mathematics,60.68%,540,0,Exact Location
2011-2012,Pittsylvania County ,Chatham Elementary,Mathematics,57.04%,2445,0,Exact Location
2011-2012,Prince William County ,Mills E. Godwin Middle,Mathematics,69.79%,500,0,Exact Location
2011-2012,Virginia Beach City ,Plaza Middle,Mathematics,59.58%,70,0,Exact Location
2011-2012,Waynesboro City ,Kate Collins Middle,Mathematics,59.33%,360,0,Exact Location
2011-2012,Fairfax County ,Garfield Elementary,Mathematics,68.65%,30,0,Exact Location
2011-2012,Henrico County ,R.C. Longan Elementary,Mathematics,70.04%,70,0,Exact Location
2011-2012,Lee County ,Flatwoods Elementary,Mathematics,55.03%,610,0,Exact Location
2011-2012,Norfolk City ,Oceanair Elementary,Mathematics,58.49%,960,0,Exact Location
2011-2012,Prince William County ,George G. Tyler Elementary,Mathematics,70.81%,30,0,Exact Location
2011-2012,Roanoke County ,William Byrd High,Mathematics,50.11%,1010,0,Exact Location
2011-2012,Virginia Beach City ,Brookwood Elementary,Mathematics,70.72%,1790,0,Exact Location
2011-2012,Waynesboro City ,Westwood Hills Elementary,Mathematics,82.65%,1010,0,Exact Location
2011-2012,Richmond City ,Franklin Military Academy,Mathematics,47.02%,30,0,Exact Location
2011-2012,Fairfax County ,Cameron Elementary,Mathematics,68.55%,620,0,Exact Location
2011-2012,Henrico County ,Jackson Davis Elementary,Mathematics,82.65%,800,0,Exact Location
2011-2012,Norfolk City ,Norview Elementary,Mathematics,49.51%,760,0,Exact Location
2011-2012,Prince William County ,C.A. Sinclair Elementary,Mathematics,71.80%,680,0,Exact Location
2011-2012,Roanoke County ,Cave Spring Middle,Mathematics,88.92%,2222,0,Exact Location
2011-2012,Virginia Beach City ,Kempsville High,Mathematics,42.34%,620,0,Exact Location
2011-2012,Washington County ,Wallace Middle,Mathematics,57.44%,1010,0,Exact Location
2011-2012,Henrico County ,Henrico High,Mathematics,49.26%,10,0,Exact Location
2011-2012,Loudoun County ,Arcola Elementary,Mathematics,76.09%,110,0,Exact Location
2011-2012,Norfolk City ,Ingleside Elementary,Mathematics,54.72%,800,0,Exact Location
2011-2012,Prince William County ,Dale City Elementary,Mathematics,65.55%,1700,0,Exact Location
2011-2012,Roanoke County ,Glenvar High,Mathematics,75.96%,30,0,Exact Location
2011-2012,Virginia Beach City ,First Colonial High,Mathematics,61.90%,610,0,Exact Location
2011-2012,Louisa County ,Louisa County High,Mathematics,66.52%,9997,0,Exact Location
2011-2012,Louisa County ,Louisa County Middle,Mathematics,61.89%,9997,0,Exact Location
2011-2012,Henrico County ,John Randolph Tucker High,Mathematics,53.87%,360,0,Exact Location
2011-2012,Loudoun County ,Kenneth W.Culbert Elementary,Mathematics,80.31%,690,0,Exact Location
2011-2012,Montgomery County ,Falling Branch Elementary,Mathematics,64.80%,780,0,Exact Location
2011-2012,Prince William County ,Belmont Elementary,Mathematics,73.74%,560,0,Exact Location
2011-2012,Roanoke County ,Green Valley Elementary,Mathematics,82.80%,10,0,Exact Location
2011-2012,Rockingham County ,McGaheysville Elementary,Mathematics,79.31%,500,0,Exact Location
2011-2012,Virginia Beach City ,Holland Elementary,Mathematics,66.93%,600,0,Exact Location
2011-2012,Waynesboro City ,Waynesboro High,Mathematics,38.26%,1010,0,Exact Location
2011-2012,Prince William County ,Rippon Middle,Mathematics,68.77%,50,0,Exact Location
2011-2012,Fairfax County ,Woodley Hills Elementary,Mathematics,65.15%,220,0,Exact Location
2011-2012,Frederick County ,Greenwood Mill Elementary,Mathematics,58.56%,10,0,Exact Location
2011-2012,Henrico County ,Chamberlayne Elementary,Mathematics,73.78%,200,0,Exact Location
2011-2012,Henry County ,Campbell Court Elementary,Mathematics,62.50%,620,0,Exact Location
2011-2012,Loudoun County ,Woodgrove High,Mathematics,65.68%,220,0,Exact Location
2011-2012,Virginia Beach City ,Alanton Elementary,Mathematics,79.38%,701,0,Exact Location
2011-2012,Frederick County ,Evendale Elementary,Mathematics,56.42%,106,0,Exact Location
2011-2012,Frederick County ,Admiral Richard E. Byrd Middle,Mathematics,66.59%,701,0,Exact Location
2011-2012,Frederick County ,Millbrook High,Mathematics,56.60%,500,0,Exact Location
2011-2012,Frederick County ,Orchard View Elementary,Mathematics,62.56%,570,0,Exact Location
2011-2012,Frederick County ,Redbud Run Elementary,Mathematics,60.20%,50,0,Exact Location
2011-2012,Frederick County ,Sherando High,Mathematics,59.56%,50,0,Exact Location
2011-2012,Fairfax County ,Westlawn Elementary,Mathematics,69.39%,1010,0,Exact Location
2011-2012,Henrico County ,Varina High,Mathematics,30.41%,1010,0,Exact Location
2011-2012,Loudoun County ,J. Michael Lunsford Middle,Mathematics,70.88%,800,0,Exact Location
2011-2012,Norfolk City ,Norview High,Mathematics,62.69%,760,0,Exact Location
2011-2012,Prince William County ,Elizabeth Vaughan Elementary,Mathematics,55.74%,106,0,Exact Location
2011-2012,Richmond City ,Mary Munford Elementary,Mathematics,80.50%,500,0,Exact Location
2011-2012,Russell County ,Belfast Elk Garden Elementary,Mathematics,77.78%,1730,0,Exact Location
2011-2012,Salem City ,South Salem Elementary,Mathematics,82.33%,50,0,Exact Location
2011-2012,Virginia Beach City ,Kingston Elementary,Mathematics,82.31%,580,0,Exact Location
2011-2012,Waynesboro City ,Wenonah Elementary,Mathematics,39.02%,1010,0,Exact Location
2011-2012,Fairfax County ,Great Falls Elementary,Mathematics,92.42%,1031,0,Exact Location
2011-2012,Henrico County ,Pinchbeck Elementary,Mathematics,76.08%,70,0,Exact Location
2011-2012,Loudoun County ,Stone Hill Middle,Mathematics,83.06%,871,0,Exact Location
2011-2012,Norfolk City ,Norview Middle,Mathematics,48.31%,760,0,Exact Location
2011-2012,Prince William County ,Marumsco Hills Elementary,Mathematics,60.83%,500,0,Exact Location
2011-2012,Virginia Beach City ,Old Donation Center,Mathematics,97.87%,570,0,Exact Location
