Address,LEVEL,CODE,NAME,Title I Status,# Targets Passed/Eval,Classification,Marker_Type,"""TOTAL
POINTS
/100""
","% PROF
/30","SUBGROUP
GAPS
/30","PROG TO
2017 TARGET
/10","% IN
DISTINCTION
/5","STUDENT
GROWTH
/25","HS
GRADUATION
/20","HS SCALED SCORE
CHANGE
/5"
"George J. Peters School, 15 Mayberry Street, Cranston, RI 02920",Elementary School,07124,George J. Peters School,Y,11/14,Typical,small_purple,50.50,13.00,18.00,2.00,2.50,15.00,,
"William L. Callahan School, 75 Callahan School Street, Harrisville, RI 02830",Elementary School,03107,William L. Callahan School,Y, 6/12,Typical,small_purple,50.67,14.00,16.50,6.00,2.50,11.67,,
"Blackrock School, 12 LaCasa Drive, Coventry, RI 02816",Elementary School,06117,Blackrock School,Y,12/12,Typical,small_purple,50.67,15.00,18.00,3.00,3.00,11.67,,
"James L. McGuire School, 55 Central Avenue, North Providence, RI 02911",Elementary School,24107,James L. McGuire School, ,10/12,Typical,small_purple,51.00,15.00,21.00,3.00,2.00,10.00,,
"Elizabeth Baldwin School, 50 Whitman Street, Pawtucket, RI 02860",Elementary School,26120,Elizabeth Baldwin School,Y,15/20,Warning,small_purple,51.00,10.00,18.00,6.00,2.00,15.00,,
"Westerly Middle School, 10 Sandy Hill Road, Westerly, RI 02891",Middle School,36103,Westerly Middle School, ,12/20,Typical,small_purple,51.17,16.00,18.00,2.00,3.50,11.67,,
"Cedar Hill School, 35 Red Chimney Drive, Warwick, RI 02886",Elementary School,35131,Cedar Hill School, , 9/12,Typical,small_purple,51.17,16.00,18.00,2.00,3.50,11.67,,
"Silver Spring School, 120 Silver Spring Avenue, East Providence, RI 02914",Elementary School,10123,Silver Spring School,Y,10/12,Typical,small_purple,51.33,14.00,19.50,2.00,2.50,13.33,,
"Riverside Middle School, 179 Forbes Street, Riverside, RI 02915",Middle School,10122,Riverside Middle School, ,12/16,Typical,small_purple,51.50,14.00,18.00,2.00,2.50,15.00,,
"Saylesville Elementary School, 50 Woodland Street, Lincoln, RI 02865",Elementary School,17112,Saylesville Elementary School, ,12/14,Typical,small_purple,51.67,17.00,18.00,2.00,3.00,11.67,,
"William E Tolman Senior High School, 150 Exchange Street, Pawtucket, RI 02860",High School,26105,William E Tolman Senior High School,Y,11/17,Priority,small_purple,52.00,12.00,22.50,2.00,2.00,,10.00,3.50
"Wakefield Hills Elementary School, 505 Wakefield Street, West Warwick, RI 02893",Elementary School,38111,Wakefield Hills Elementary School,Y,11/14,Typical,small_purple,52.00,12.00,19.50,3.00,2.50,15.00,,
"Dr. Edward A. Ricci Middle School, 51 Intervale Avenue, North Providence, RI 02911",Middle School,24111,Dr. Edward A. Ricci Middle School,Y,14/16,Typical,small_purple,52.00,12.00,19.50,8.00,2.50,10.00,,
"Ashaway Elementary School, 12A Hillside Avenue, Ashaway, RI 02804",Elementary School,98106,Ashaway Elementary School, ,11/12,Warning,small_purple,52.17,17.00,19.50,6.00,3.00,6.67,,
"Hugh Cole School, 50 Asylum Road, Warren, RI 02885",Elementary School,96113,Hugh Cole School,Y,14/14,Typical,small_purple,52.17,16.00,19.50,2.00,3.00,11.67,,
"Winsor Hill School, 100 Theresa Street, Johnston, RI 02919",Elementary School,16109,Winsor Hill School,Y,13/14,Typical,small_purple,52.33,14.00,18.00,5.00,2.00,13.33,,
"Thornton School, 4 School Street, Johnston, RI 02919",Elementary School,16103,Thornton School,Y,14/14,Typical,small_purple,52.33,13.00,18.00,6.00,2.00,13.33,,
"Gladstone Street School, 50 Gladstone Street, Cranston, RI 02920",Elementary School,07119,Gladstone Street School,Y,16/20,Typical,small_purple,52.67,12.00,19.50,2.00,2.50,16.67,,
"1 Corliss Park, Providence, RI 02908",High School,28702,Rhode Island School for the Deaf,Y, 6/ 6,Priority,small_purple,52.83,12.00,21.00,9.00,2.50,8.33,,
"134 Van Zandt Ave., Newport, RI 02840",Elementary School,21112,Coggeshall School,Y, 8/ 8,Typical,small_purple,53.00,13.50,15.00,7.00,2.50,15.00,,
"Sherman School, 120 Killey Avenue, Warwick, RI 02889",Elementary School,35127,Sherman School, , 5/12,Typical,small_purple,53.00,13.00,19.50,3.00,2.50,15.00,,
"Lincoln Middle School, 152 Jenckes Hill Road, Lincoln, RI 02865",Middle School,17117,Lincoln Middle School, , 9/14,Typical,small_purple,53.00,15.00,16.50,3.00,3.50,15.00,,
"John Wickes School, 50 Child Lane, Warwick, RI 02886",Elementary School,35129,John Wickes School,Y,14/14,Typical,small_purple,53.00,14.00,19.50,2.00,2.50,15.00,,
"Eden Park School, 180 Oakland Avenue, Cranston, RI 02910",Elementary School,07118,Eden Park School,Y,11/16,Typical,small_purple,53.00,14.00,18.00,3.00,3.00,15.00,,
"Nicholas A. Ferri Middle School, 10 Memorial Avenue, Johnston, RI 02919",Middle School,16111,Nicholas A. Ferri Middle School,Y,11/14,Typical,small_purple,53.33,13.00,18.00,7.00,2.00,13.33,,
"Francis School, 325 Miantonomo Drive, Warwick, RI 02888",Elementary School,35125,Francis School, ,10/12,Typical,small_purple,53.33,14.00,21.00,2.00,3.00,13.33,,
"Park School, 40 Asylum Road, Warwick, RI 02886",Elementary School,35132,Park School,Y,15/16,Typical,small_purple,53.50,14.00,19.50,2.00,3.00,15.00,,
"Meadowbrook Farms School, 2 Chestnut Drive, East Greenwich, RI 02818",Elementary School,09107,Meadowbrook Farms School, , 6/ 8,Warning,small_purple,53.50,19.50,21.00,2.00,3.50,7.50,,
"Reservoir Avenue School, 156 Reservoir Avenue, Providence, RI 02907",Elementary School,28142,Reservoir Avenue School,Y, 5/14,Typical,small_purple,53.67,12.00,21.00,2.00,2.00,16.67,,
"Holliman School, 70 Deborah Road, Warwick, RI 02888",Elementary School,35128,Holliman School,Y,12/12,Typical,small_purple,53.67,15.00,21.00,3.00,3.00,11.67,,
"Warwick Neck School, 155 Rocky Point Avenue, Warwick, RI 02889",Elementary School,35133,Warwick Neck School, ,12/12,Typical,small_purple,53.83,15.00,19.50,3.00,3.00,13.33,,
"Sarah Dyer Barnes School, 24 Barnes Avenue, Johnston, RI 02919",Elementary School,16108,Sarah Dyer Barnes School,Y,10/12,Typical,small_purple,53.83,14.00,19.50,5.00,2.00,13.33,,
"Alan Shawn Feinstein Middle School Of Coventry, 15 Foster Drive, Coventry, RI 02816",Middle School,06104,Alan Shawn Feinstein Middle School Of Co, , 8/12,Typical,small_purple,53.83,15.00,16.50,6.00,3.00,13.33,,
"Wyman School, 1 Columbia Avenue, Warwick, RI 02888",Elementary School,35119,Wyman School, ,12/12,Typical,small_purple,54.00,15.00,18.00,3.00,3.00,15.00,,
"Harry Kizirian Elementary School, 60 Camden Avenue, Providence, RI 02908",Elementary School,28161,Harry Kizirian Elementary School,Y,16/18,Warning,small_purple,54.00,10.00,21.00,6.00,2.00,15.00,,
"Alice M. Waddington School, 101 Legion Way, Riverside, RI 02915",Elementary School,10114,Alice M. Waddington School, ,10/12,Typical,small_purple,54.17,14.00,18.00,2.00,3.50,16.67,,
"Joseph Jenks Junior High School, 350 Division Street, Pawtucket, RI 02860",Middle School,26103,Joseph Jenks Junior High School,Y,16/16,Typical,small_purple,54.33,11.00,21.00,7.00,2.00,13.33,,
"Tiogue School, 170 East Shore Drive, Coventry, RI 02816",Elementary School,06116,Tiogue School,Y,10/12,Typical,small_purple,54.33,16.00,16.50,10.00,3.50,8.33,,
"Raymond C. LaPerche School, 11 Limerock Road, Smithfield, RI 02917",Elementary School,31108,Raymond C. LaPerche School, , 4/10,Typical,small_purple,54.33,19.00,21.00,2.00,4.00,8.33,,
"Henry J. Winters School, 481 Broadway, Pawtucket, RI 02860",Elementary School,26119,Henry J. Winters School,Y,16/16,Warning,small_purple,54.50,10.00,18.00,10.00,1.50,15.00,,
"Oakland Beach Elementary School, 383 Oakland Beach Avenue, Warwick, RI 02889",Elementary School,35104,Oakland Beach Elementary School,Y,12/12,Warning,small_purple,54.67,16.00,21.00,8.00,3.00,6.67,,
