School Year,System Id,System Name,School Id,School Name,Grade Configuration,Grade Cluster,Achievement Points,Progress Points,Achievement Gap Points,ETB Points,EL/ED/SWD Performance Points,Challenge Points,CCRPI Score
2012,644,DeKalb County,0409,Ronald E McNair Discover Learning Academy Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,34.1,7.6,8.3,0.5,0,0.5,50.5
2012,721,Richmond County,3054,Glenn Hills High School,"09, 10, 11, 12",H,32.7,7.5,10.3,0,0,0,50.5
2012,761,Atlanta Public Schools,2560,Gideons Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,38.1,8.1,3.8,0.5,0,0.5,50.5
2012,647,Dougherty County,2052,Dougherty Comprehensive High School,"09, 10, 11, 12",H,34,7.3,9.4,0,0,0,50.7
2012,761,Atlanta Public Schools,5051,Benteen Elementary School,"KK, 01, 02, 03, 04, 05",E,37.7,8,4.5,0.5,0,0.5,50.7
2012,667,Gwinnett County,0107,Gwinnett InterVention Education (GIVE) Center West,"06, 07, 08, 09, 10, 11, 12",M,38.4,5.2,NA,0,0,0,51.3
2012,706,Muscogee County,1056,Cusseta Road Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,31.4,8.6,9.8,1.5,0,1.5,51.3
2012,729,Sumter County,0395,Sarah Cobb Elementary School,"02, 03, 04, 05",E,36.2,8.6,6,0.5,0,0.5,51.3
2012,644,DeKalb County,2059,Indian Creek Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,34.6,9,6.8,1,0,1,51.4
2012,611,Bibb County,0286,Northeast High School,"09, 10, 11, 12",H,35.9,8.2,7.5,0,0,0,51.6
2012,706,Muscogee County,0300,Baker Middle School,"06, 07, 08",M,33.5,8.5,8.3,1,0.7,1.7,52
2012,604,Baker County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,33.1,10.1,NA,0,1.3,1.3,52.1
2012,604,Baker County,0105,Baker County K12 School,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,33.1,10.1,NA,0,1.3,1.3,52.1
2012,647,Dougherty County,1058,Monroe High School,"09, 10, 11, 12",H,35.1,7.8,9.4,0,0,0,52.3
2012,647,Dougherty County,2058,Morningside Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,39.5,7.8,4.5,0.5,0,0.5,52.3
2012,761,Atlanta Public Schools,4057,Cook Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,34.3,9,7.5,0.5,1,1.5,52.3
2012,611,Bibb County,1058,King - Danforth Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,37.5,7.7,6.8,0.5,0,0.5,52.5
