School Year,System Id,System Name,School Id,School Name,Grade Configuration,Grade Cluster,Achievement Points,Progress Points,Achievement Gap Points,ETB Points,EL/ED/SWD Performance Points,Challenge Points,Marker_Type,CCRPI Score,address
2012,622,Carroll County,305,Villa Rica Middle,"06, 07, 08",M,52.4,8.4,9,0.5,1.4,1.9,small_blue,71.7,"Villa Rica Middle, 614 Tumlin Lake Rd , Temple, GA, 30179-3200"
2012,648,Douglas County,188,Chestnut Log Middle School,"06, 07, 08",M,51.7,8.6,10.5,0,1.7,1.7,small_blue,72.5,"Chestnut Log Middle School, 2544 Pope Rd, Douglasville, GA, 30135-1326"
2012,625,Chatham County,299,Southwest Middle School,"06, 07, 08",M,53,8.2,8.3,1,2,3,small_blue,72.5,"Southwest Middle School, 6030 Ogeechee Rd , Savannah, GA, 31419-9544"
2012,644,DeKalb County,897,Druid Hills Middle School,"06, 07, 08",M,54.7,9.7,8.3,0,0,0,small_blue,72.7,"Druid Hills Middle School, 3100 Mount Olive Dr , Decatur, GA, 30033-3018"
2012,660,Fulton County,289,Woodland Middle School,"06, 07, 08",M,52.3,9.1,9,0.5,1.9,2.4,small_blue,72.8,"Woodland Middle School, 2745 Stone Rd , East Point, GA, 30344-5629"
2012,644,DeKalb County,597,Miller Grove Middle School,"06, 07, 08",M,51.7,10,9.8,0.5,0.9,1.4,small_blue,72.9,"Miller Grove Middle School, 2215 Miller Rd, Decatur, GA, 30035-3708"
2012,669,Hall County,4556,South Hall Middle School,"06, 07, 08",M,52.3,9.5,8.3,1.5,1.9,3.4,small_blue,73.5,"South Hall Middle School, 4335 Falcon Pkwy , Flowery Branch, GA, 30542-2914"
2012,7820110,State Charter Schools- Odyssey School,110,Odyssey School,"KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10",M,53.4,8.5,8.3,0,3.4,3.4,small_blue,73.6,"Odyssey School, 14 St. Johns Circle , Newnan, GA, 30263"
2012,707,Newton County,196,Cousins Middle School,"06, 07, 08",M,53.8,9.4,9,0.5,1,1.5,small_blue,73.7,"Cousins Middle School, 8187 Carlton Trl NW, Covington, GA, 30014-1281"
2012,710,Paulding County,404,Irma C. Austin Middle School,"06, 07, 08",M,55.1,9.3,9,0,0.5,0.5,small_blue,73.9,"Irma C. Austin Middle School, 3490 Ridge Rd , Douglasville, GA, 30134-5073"
2012,747,Walton County,193,Carver Middle School,"06, 07, 08",M,50.6,8.8,12.8,0.5,1.4,1.9,small_blue,74.1,"Carver Middle School, 1095 Good Hope Rd, Monroe, GA, 30655-8601"
2012,710,Paulding County,2352,Herschel Jones Middle School,"06, 07, 08",M,54.3,9.9,8.3,0,1.9,1.9,small_blue,74.4,"Herschel Jones Middle School, 100 Stadium Dr , Dallas, GA, 30132-3610"
2012,633,Cobb County,1060,Garrett Middle School,"06, 07, 08",M,51.1,9.4,12,0.5,1.7,2.2,small_blue,74.7,"Garrett Middle School, 5235 Austell Powder Springs Rd , Austell, GA, 30106-3128"
