Mailing Address,District Name,School Name,2011-2012 Rating,Performance Indicators,Marker_Type,Performance Index,4-Year Graduation Rate,5-Year Graduation Rate,Value-Added: All Students,Value-Added: Gifted Students,Value-Added: Lowest 20% in Achievement,Value-Added: Students with Disabilities,Annual Measurable Objectives,District IRN,School IRN,2011 PI Score,School IRN,School IRN
"Lacroft Elem, 2460 Boring Ln, East Liverpool, OH, 43920",East Liverpool City,Lacroft Elementary School,Continuous Improvement,F,small_red,C,-,-,C,C,B,C,F,043919,019380,85.62091503,019380,19380
"Westgate Middle School Elem, 810 W 8th St, East Liverpool, OH, 43920",East Liverpool City,Westgate Middle School,Effective,F,small_red,C,-,-,A,C,A,A,C,043919,040717,76.67532468,040717,40717
"East Palestine Middle, 320 W Grant St, East Palestine, OH, 44413",East Palestine City,East Palestine Middle School,Continuous Improvement,F,small_red,C,-,-,F,C,D,C,F,043927,038844,91.80570222,038844,38844
"Central Elem, 724 Walnut St, Coshocton, OH, 43812",Coshocton City,Central Elementary School,Continuous Improvement,F,small_red,C,-,-,F,C,F,F,F,043828,081810,93.85159011,081810,81810
"Bucyrus Elementary School Elem, 245 Woodlawn Ave, Bucyrus, OH, 44820",Bucyrus City,Bucyrus Elementary School,Continuous Improvement,F,small_red,C,-,-,C,C,C,C,F,043687,011732,91.27023661,011732,11732
"Carylwood Intermediate Elem, 1387 Caryl Dr, Bedford, OH, 44146",Bedford City,Carylwood Intermediate School,Effective,F,small_red,C,-,-,A,C,A,A,D,043562,005041,84.97116494,005041,5041
"Columbus Intermediate Elem, 23600 Columbus Rd, Bedford, OH, 44146",Bedford City,Columbus Intermediate School,Effective,F,small_red,C,-,-,A,C,C,D,D,043562,007070,80.5904059,007070,7070
"Heskett Middle, 5771 Perkins Rd, Bedford, OH, 44146",Bedford City,Heskett Middle School,Continuous Improvement,F,small_red,C,-,-,C,B,B,C,F,043562,015974,87.28011826,015974,15974
"Brookridge Elem, 4500 Ridge Rd, Brooklyn, OH, 44144",Brooklyn City,Brookridge Elementary School,Effective,F,small_red,C,-,-,C,C,F,F,F,043653,003814,92.55707763,003814,3814
"Canterbury Elem, 2530 Canterbury Rd, Cleveland Heights, OH, 44118",Cleveland Heights-University Heights City,Canterbury Elementary School,Excellent,F,small_red,C,-,-,A,C,B,C,A,043794,004804,77.94117647,004804,4804
"Frank L Wiley Middle, 2181 Miramar Blvd, University Height, OH, 44118",Cleveland Heights-University Heights City,Frank L Wiley Middle School,Continuous Improvement,F,small_red,C,-,-,C,C,B,C,F,043794,012088,88.81278539,012088,12088
"Lauree P Gearity Elem, 2323 Wrenford Rd, University Hts, OH, 44118",Cleveland Heights-University Heights City,Gearity Professional Development School,Continuous Improvement,F,small_red,C,-,-,C,C,C,C,F,043794,002352,85.44378698,002352,2352
"Roxboro Middle, 2400 Roxboro Rd, Cleveland Heights, OH, 44106",Cleveland Heights-University Heights City,Roxboro Middle School,Effective,F,small_red,C,-,-,B,B,C,C,F,043794,032847,88.61066236,032847,32847
"Buhrer Elem, 1600 Buhrer Ave, Cleveland, OH, 44109",Cleveland Municipal,Buhrer,Effective*,F,small_red,C,-,-,A,-,A,-,C,043786,004234,82.61640798,004234,4234
"Clara E Westropp Elem, 19101 Puritas Ave,  Cleveland, OH, 44135",Cleveland Municipal,Clara E Westropp School,Continuous Improvement*,F,small_red,C,-,-,C,-,C,D,F,043786,006353,83.06547619,006353,6353
"Garrett Morgan Schl Of Science, 4016 Woodbine Ave, Cleveland, OH, 44113",Cleveland Municipal,Garrett Morgan Schl Of Science School,Continuous Improvement*,F,small_red,C,D,D,-,-,-,-,F,043786,063461,91.17241379,063461,63461
"James Ford Rhodes High, 5100 Biddulph Ave, Cleveland, OH, 44144",Cleveland Municipal,James Ford Rhodes High School,Continuous Improvement*,F,small_red,C,F,F,-,-,-,-,F,043786,017830,87.6194332,017830,17830
"Louis Agassiz Elem, 3595 Bosworth Rd, Cleveland, OH, 44111",Cleveland Municipal,Louis Agassiz School,Effective*,F,small_red,C,-,-,A,-,C,B,F,043786,021527,85.2345679,021527,21527
"New Tech Garrett High, 4016 Woodbine Ave, Cleveland, OH, 44113",Cleveland Municipal,New Technology West,Effective*,F,small_red,C,-,-,-,-,-,-,B,043786,012352,80.36363636,012352,12352
"Newton D Baker School Of Arts, 3690 W 159th St, Cleveland, OH, 44111",Cleveland Municipal,Newton D Baker School,Continuous Improvement*,F,small_red,C,-,-,C,B,A,B,F,043786,027102,85.83044983,027102,27102
"Oliver H Perry Elem, 18400 Schenely Ave, Cleveland, OH, 44119",Cleveland Municipal,Oliver H Perry Elementary School,Effective*,F,small_red,C,-,-,A,D,C,A,F,043786,028589,79.90723562,028589,28589
"Warner Elem, 8315 Jeffries Ave, Cleveland, OH, 44105",Cleveland Municipal,Warner Girls Leadership Academy,Continuous Improvement*,F,small_red,C,-,-,D,-,D,F,F,043786,039206,82.84345048,039206,39206
"Lincoln Elem, 280 E 206th St, Euclid, OH, 44123",Euclid City,Arbor Elementary School,Excellent,F,small_red,C,-,-,A,B,B,-,C,043950,020719,85.25157233,020719,20719
"Indian Hills Elem, 1941 Sagamore Dr, Euclid, OH, 44117",Euclid City,Bluestone Elementary School,Continuous Improvement,F,small_red,C,-,-,B,-,B,B,F,043950,000475,85.12727273,000475,475
"Harrison Elementary School Ele, 2080 Quail St, Lakewood, OH, 44107",Lakewood City,Harrison Elementary School,Effective,F,small_red,C,-,-,A,B,B,C,F,044198,009120,87.32009926,009120,9120
"JFK Elementary School Elem, 5933 Dunham Rd, Maple Heights, OH, 44137",Maple Heights City,J.F. Kennedy School,Continuous Improvement,F,small_red,C,-,-,-,-,-,-,F,044305,009031,85.27272727,009031,9031
"John Muir Elem, 5531 W 24th St, Parma, OH, 44134",Parma City,John Muir Elementary School,Effective,F,small_red,C,-,-,B,C,C,C,F,044636,018424,89.11516854,018424,18424
"Thoreau Park Elem, 5401 W 54th St, Parma, OH, 44129",Parma City,Thoreau Park Elementary School,Continuous Improvement,F,small_red,C,-,-,C,-,B,B,F,044636,037143,87.32801595,037143,37143
"Shaker Hts Middle, 20600 Shaker Blvd, Shaker Heights, OH, 44122",Shaker Heights City,Shaker Hts Middle School,Continuous Improvement,F,small_red,C,-,-,F,F,F,F,F,044750,004457,93.140455,004457,4457
"Greenview Upper Elem, 1825 S Green Rd, South Euclid, OH, 44121",South Euclid-Lyndhurst City,Greenview Upper Elementary School,Effective,F,small_red,C,-,-,B,C,A,B,F,044792,014613,89.24528302,014613,14613
"Memorial Jr High, 1250 Professor Rd, Cleveland, OH, 44124",South Euclid-Lyndhurst City,Memorial Junior High School,Continuous Improvement,F,small_red,C,-,-,F,D,F,D,F,044792,024216,88.21428571,024216,24216
"Adams Jr High, 318 Columbus Ave, Sandusky, OH, 44870",Sandusky City,Adams Junior High School,Continuous Improvement,F,small_red,C,-,-,F,C,D,F,F,044743,000083,84.21401515,000083,83
"Ontario Elem, 924 Ontario St, Sandusky, OH, 44870",Sandusky City,Ontario Elementary School,Continuous Improvement,F,small_red,C,-,-,F,D,C,D,F,044743,028662,94.23076923,028662,28662
"Osborne Elem, 920 W Osborne St, Sandusky, OH, 44870",Sandusky City,Osborne Elementary School,Continuous Improvement,F,small_red,C,-,-,B,C,C,A,F,044743,028829,88.26405868,028829,28829
"Sandusky High, 2130 Hayes Ave, Sandusky, OH, 44870",Sandusky City,Sandusky High School,Effective,F,small_red,C,F,F,-,-,-,-,F,044743,033555,93.20183486,033555,33555
"Tallmadge Elem, 611 Lewis Ave, Lancaster, OH, 43130",Lancaster City,Tallmadge Elementary School,Effective,F,small_red,C,-,-,C,B,C,C,F,044206,036889,92.4611399,036889,36889
"Belle Aire Intermediate Elem, 1120 High St, Washington, OH, 43160",Washington Court House City,Belle Aire Intermediate,Excellent,F,small_red,C,-,-,A,C,B,B,F,045013,011580,92.78385198,011580,11580
"Arts Impact (Aims) Middle, 680 Jack Gibbs Blvd, Columbus, OH, 43215",Columbus City School District,Arts Impact Middle School (Aims) ,Continuous Improvement*,F,small_red,C,-,-,F,C,B,A,F,043802,010876,87.60067114,010876,10876
"Avalon Elem, 5220 Avalon Ave, Columbus, OH, 43229",Columbus City School District,Avalon Elementary School,Continuous Improvement*,F,small_red,C,-,-,C,B,C,A,F,043802,070086,91.81975737,070086,70086
"Avondale Elem, 141 Hawkes Ave, Columbus, OH, 43222",Columbus City School District,Avondale Elementary School,Continuous Improvement*,F,small_red,C,-,-,B,D,D,-,F,043802,001396,85.25114155,001396,1396
"Berwick Alternative K-8 Elem, 2655 Scottwood Rd, Columbus, OH, 43209",Columbus City School District,Berwick Alternative K-8 School,Effective*,F,small_red,C,-,-,F,F,C,D,F,043802,002527,92.89795918,002527,2527
"Binns ES Elem, 1080 Binns Blvd, Columbus, OH, 43204",Columbus City School District,Binns Elementary School,Continuous Improvement*,F,small_red,C,-,-,D,F,C,C,F,043802,002733,86.33204633,002733,2733
"Cedarwood Alt @ Stockbridge ES, 3550 S Champion Ave, Columbus, OH, 43207",Columbus City School District,Cedarwood Alternative Elementary School @ Stockbridge ES,Continuous Improvement*,F,small_red,C,-,-,C,C,C,C,F,043802,005181,90.82324455,005181,5181
"Columbus Spanish Immersion K-8, 2155 Fenton St, Columbus, OH, 43224",Columbus City School District,Columbus Spanish Immersion K-8 School,Continuous Improvement*,F,small_red,C,-,-,F,F,D,-,F,043802,001925,91.35738832,001925,1925
"Devonshire Alternative Elem, 6286 Ambleside Dr, Columbus, OH, 43229",Columbus City School District,Devonshire Alternative Elementary School,Continuous Improvement*,F,small_red,C,-,-,C,D,C,D,F,043802,008474,89.88071571,008474,8474
"Ecole Kenwood Alternative K-8, 3770 Shattuck Ave, Columbus, OH, 43220",Columbus City School District,Ecole Kenwood Alternative K-8 School,Excellent*,F,small_red,C,-,-,A,C,A,-,F,043802,018879,91.41414141,018879,18879
"Georgian Hts Alt @ Old Wedgwoo, 3771 Eakin Rd, Columbus, OH, 43228",Columbus City School District,Georgian Heights Alt Elementary School @ Old Wedgewood MS,Effective*,F,small_red,C,-,-,C,C,B,C,F,043802,013334,91.28878282,013334,13334
"Maize Road Elem, 4360 Maize Rd, Columbus, OH, 43224",Columbus City School District,Maize Road Elementary School,Continuous Improvement*,F,small_red,C,-,-,D,F,B,-,F,043802,022293,89.77272727,022293,22293
"Northland High, 1919 Northcliff Dr, Columbus, OH, 43229",Columbus City School District,Northland High School,Continuous Improvement*,F,small_red,C,F,D,-,-,-,-,F,043802,027680,90.62559242,027680,27680
"Oakland Park Alternative Elem, 3392 Atwood Ter, Columbus, OH, 43224",Columbus City School District,Oakland Park Alternative Elementary,Continuous Improvement*,F,small_red,C,-,-,D,D,C,C,F,043802,028290,87.89473684,028290,28290
"Scottwood Elem, 3392 Scottwood Rd, Columbus, OH, 43227",Columbus City School District,Scottwood Elementary School,Continuous Improvement*,F,small_red,C,-,-,C,D,C,B,F,043802,033894,86.58469945,033894,33894
"Stewart Alternative @ BECK Ele, 387 E Beck St, Columbus, OH, 43206",Columbus City School District,Stewart Alternative Elementary School @ BECK ES,Continuous Improvement*,F,small_red,C,-,-,F,D,C,-,F,043802,036053,87.21362229,036053,36053
"Valleyview Elem, 2989 Valleyview Dr, Columbus, OH, 43204",Columbus City School District,Valleyview Elementary School,Continuous Improvement*,F,small_red,C,-,-,D,-,C,-,F,043802,038190,85.3968254,038190,38190
"Woodcrest Elem, 5321 E Livingston Ave, Columbus, OH, 43232",Columbus City School District,Woodcrest Elementary School,Effective*,F,small_red,C,-,-,A,C,B,C,F,043802,041947,84.09502262,041947,41947
"Woodward Park Middle, 5151 Karl Rd, Columbus, OH, 43229",Columbus City School District,Woodward Park Middle School,Continuous Improvement*,F,small_red,C,-,-,F,C,C,D,F,043802,042184,84.70396524,042184,42184
"Dunloe Elem, 3200 Dunloe Rd, Columbus, OH, 43232",Groveport Madison Local,Dunloe Elementary School,Effective,F,small_red,C,-,-,A,-,A,C,F,046979,008888,85.78947368,008888,8888
"Glendening Elem, 4200 Glendenning Dr, Groveport, OH, 43125",Groveport Madison Local,Glendening Elementary School,Continuous Improvement,F,small_red,C,-,-,D,C,C,C,F,046979,061549,89.86166008,061549,61549
"Groveport Elem, 715 Main St, Groveport, OH, 43125",Groveport Madison Local,Groveport Elementary School,Excellent,F,small_red,C,-,-,A,B,B,-,F,046979,014696,91.30252101,014696,14696
"Groveport Madison Junior Jr Hi, 751 Main St, Groveport, OH, 43125",Groveport Madison Local,Groveport Madison Junior High School,Effective,F,small_red,C,-,-,B,B,A,B,F,046979,014712,92.60047281,014712,14712
"Sedalia Elementary Elem, 5400 Sedalia Dr, Columbus, OH, 43232",Groveport Madison Local,Sedalia Elementary,Effective,F,small_red,C,-,-,C,C,C,C,F,046979,061556,93.17422434,061556,61556
"Darby Woods Elem, 255 Westwoods Blvd, Galloway, OH, 43119",South-Western City,Darby Woods Elementary School,Excellent,F,small_red,C,-,-,A,C,B,C,F,044800,121533,94.91416309,121533,121533
"Finland Elem, 1835 Finland Ave, Columbus, OH, 43223",South-Western City,Finland Elementary School,Excellent,F,small_red,C,-,-,A,-,B,C,F,044800,011643,87.875,011643,11643
"Finland Middle, 1825 Finland Ave, Columbus, OH, 43223",South-Western City,Finland Middle School,Continuous Improvement,F,small_red,C,-,-,C,C,A,A,F,044800,062208,85.84379358,062208,62208
"Franklin Woods Intermediate El, 1831 Finland Ave, Columbus, OH, 43223",South-Western City,Franklin Woods Intermediate School,Continuous Improvement,F,small_red,C,-,-,C,C,C,C,F,044800,138727,82.06896552,138727,138727
"Galloway Ridge Intermediate El, 122 Galloway Rd, Galloway, OH, 43119",South-Western City,Galloway Ridge Intermediate School,Excellent,F,small_red,C,-,-,A,B,A,A,F,044800,138743,93.09052334,138743,138743
"Park Street Intermediate Elem, 3191 Park St, Grove City, OH, 43123",South-Western City,Park Street Intermediate School,Effective,F,small_red,C,-,-,F,A,C,B,F,044800,138750,94.34615385,138750,138750
"Prairie Lincoln Elem, 4900 Amesbury Way, Columbus, OH, 43228",South-Western City,Prairie Lincoln Elementary School,Continuous Improvement,F,small_red,C,-,-,A,C,A,A,F,044800,030676,87.58064516,030676,30676
"Prairie Norton Elem, 117 Norton Rd, Columbus, OH, 43228",South-Western City,Prairie Norton Elementary School,Continuous Improvement,F,small_red,C,-,-,C,C,C,C,F,044800,030684,89.32142857,030684,30684
"Beechwood Elem, 455 Beechwood Rd, Whitehall, OH, 43213",Whitehall City,Beechwood Elementary School,Continuous Improvement,F,small_red,C,-,-,C,-,A,C,F,045070,002048,81.21546961,002048,2048
"Etna Road Elem, 4531 Etna Rd, Whitehall, OH, 43213",Whitehall City,Etna Road Elementary School,Continuous Improvement,F,small_red,C,-,-,B,C,A,-,F,045070,010785,95.85253456,010785,10785
"Rosemore Middle, 4735 Kae Ave, Whitehall, OH, 43213",Whitehall City,Rosemore Middle School,Continuous Improvement,F,small_red,C,-,-,B,D,A,C,F,045070,032698,88.43328336,032698,32698
"Vinton Elem, 123 Keystone Rd, Vinton, OH, 45686",Gallia County Local,Vinton Elementary School,Continuous Improvement,F,small_red,C,-,-,F,F,F,F,F,065680,038489,94.02116402,038489,38489
"Baker Middle, 200 Lincoln Dr, Fairborn, OH, 45324",Fairborn City ,Baker Middle School,Continuous Improvement,F,small_red,C,-,-,F,C,F,D,F,043968,062422,90.60827251,062422,62422
"Central Middle, 425 Edison Blvd, Xenia, OH, 45385",Xenia Community City,Central Middle School,Effective,F,small_red,C,-,-,F,D,D,F,F,045153,005678,96.45768025,005678,5678
"Cox Elem, 506 Dayton Ave, Xenia, OH, 45385",Xenia Community City,Cox Elementary School,Effective,F,small_red,C,-,-,A,-,A,B,F,045153,007542,85.6626506,007542,7542
"Simon Kenton Elem, 1087 W 2nd St, Xenia, OH, 45385",Xenia Community City,Simon Kenton Elementary School,Excellent,F,small_red,C,-,-,A,A,B,B,F,045153,018838,90.31784841,018838,18838
"Spring Hill Elem, 92 E Ankeney Mill Rd, Xenia, OH, 45385",Xenia Community City,Spring Hill Elementary School,Excellent,F,small_red,C,-,-,A,A,B,-,B,045153,034249,88.1300813,034249,34249
"Warner Middle, 600 Buckskin Trl, Xenia, OH, 45385",Xenia Community City,Warner Middle School,Effective,F,small_red,C,-,-,D,F,C,B,F,045153,040568,85.36631779,040568,40568
"BTES Elem, 65553 Wintergreen Rd, Lore City, OH, 43755",East Guernsey Local,Buckeye Trail Elementary,Excellent,F,small_red,C,-,-,A,C,B,C,F,069682,022095,92.50809061,022095,22095
