Mailing Address,District Name,School Name,2011-2012 Rating,Performance Indicators,Marker_Type,Performance Index,4-Year Graduation Rate,5-Year Graduation Rate,Value-Added: All Students,Value-Added: Gifted Students,Value-Added: Lowest 20% in Achievement,Value-Added: Students with Disabilities,Annual Measurable Objectives,District IRN,School IRN,2011 PI Score,School IRN,School IRN
"Amelia Middle, 1341 Clough Pike, Batavia, OH, 45103",West Clermont Local,Amelia Middle School,Effective,A,small_green,B,-,-,F,F,F,F,F,046359,000612,100.1615202,000612,612
"Brantner Lane Elem, 609 Brantner Ln, Cincinnati, OH, 45244",West Clermont Local,Brantner Lane Elementary School,Excellent with Distinction,A,small_green,B,-,-,A,B,C,C,D,046359,003434,96.23582766,003434,3434
"Clough Pike Elem, 808 Clough Pike, Cincinnati, OH, 45245",West Clermont Local,Clough Pike Elementary School,Excellent with Distinction,A,small_green,B,-,-,A,B,C,-,A,046359,006742,105.4249548,006742,6742
"Glen Este High, 4342 Glen Este Withamsville Rd, Cincinnati, OH, 45245",West Clermont Local,Glen Este High School,Excellent,A,small_green,B,B,C,-,-,-,-,D,046359,013532,104.1055718,013532,13532
"Glen Este Middle, 4342 Glen Este Withamsville Rd, Cincinnati, OH, 45245",West Clermont Local,Glen Este Middle School,Effective,A,small_green,B,-,-,F,C,D,D,F,046359,013540,101.5243343,013540,13540
"Merwin Elem, 1040 Gaskins Rd, Cincinnati, OH, 45245",West Clermont Local,Merwin Elementary School,Excellent with Distinction,A,small_green,B,-,-,A,A,C,C,A,046359,024323,102.4279835,024323,24323
"Willowville Elem, 4529 Schoolhouse Rd, Batavia, OH, 45103",West Clermont Local,Willowville Elementary School,Excellent with Distinction,A,small_green,B,-,-,A,A,B,A,B,046359,041533,101.7210145,041533,41533
"Withamsville-Tobasco Elem, 3950 Britton Boulevard, Cincinnati, OH, 45245",West Clermont Local,Withamsville-Tobasco Elementary School,Excellent,A,small_green,B,-,-,B,C,B,B,B,046359,041897,101.0526316,041897,41897
"Williamsburg High, 500 S 5th St, Williamsburg, OH, 45176",Williamsburg Local,Williamsburg High School,Excellent,A,small_green,B,F,B,C,C,B,C,B,046367,041442,100.737798,041442,41442
"Blanchester High, 953 Cherry St, Blanchester, OH, 45107",Blanchester Local,Blanchester High School,Excellent,A,small_green,B,B,C,-,-,-,-,A,046383,002840,101.6697248,002840,2840
"Blanchester Intermediate Elem, 955 Cherry St, Blanchester, OH, 45107",Blanchester Local,Blanchester Intermediate School,Excellent,A,small_green,B,-,-,C,C,B,C,A,046383,008054,102.7480916,008054,8054
"Blanchester Middle, 955 Cherry St, Blanchester, OH, 45107",Blanchester Local,Blanchester Middle School,Excellent with Distinction,A,small_green,B,-,-,A,C,C,A,A,046383,002832,100.708061,002832,2832
"Putman Elem, 327 E Baldwin St, Blanchester, OH, 45107",Blanchester Local,Putman Elementary School,Excellent,A,small_green,B,-,-,-,-,-,-,A,046383,030916,111.0964912,030916,30916
"Clinton-Massie Elem, 2380 Lebanon Rd, Clarksville, OH, 45113",Clinton-Massie Local,Clinton-Massie Elementary School,Excellent,A,small_green,B,-,-,C,C,C,A,F,046391,088963,102.0576541,088963,88963
"Clinton-Massie High, 2556 Lebanon Rd, Clarksville, OH, 45113",Clinton-Massie Local,Clinton-Massie High School,Excellent,A,small_green,B,B,D,-,-,-,-,C,046391,006734,104.1931034,006734,6734
"Clinton-Massie Middle, 2556 Lebanon Rd, Clarksville, OH, 45113",Clinton-Massie Local,Clinton-Massie Middle School,Excellent,A,small_green,B,-,-,B,C,C,A,A,046391,099853,105.1284797,099853,99853
"Sabina Elem, 246 W Washington St, Sabina, OH, 45169",East Clinton Local,Sabina Elementary School,Excellent with Distinction,A,small_green,B,-,-,A,A,B,C,A,046409,033399,97.55844156,033399,33399
"Denver Place Elem, 291 Lorish Ave, Wilmington, OH, 45177",Wilmington City,Denver Place Elementary School,Excellent with Distinction,A,small_green,B,-,-,A,A,B,-,F,045112,008409,98.53448276,008409,8409
"Wilmington High, 300 Richardson Pl, Wilmington, OH, 45177",Wilmington City,Wilmington High School,Excellent,A,small_green,B,C,C,-,-,-,-,B,045112,041558,99.44642857,041558,41558
"Beaver Local High, 13187 State Route 7, Lisbon, OH, 44432",Beaver Local,Beaver Local High School,Effective,A,small_green,B,C,C,-,-,-,-,D,046425,001958,103.1234568,001958,1958
"Calcutta Elem, 15482 State Route 170, East Liverpool, OH, 43920",Beaver Local,Calcutta Elementary School,Excellent with Distinction,A,small_green,B,-,-,A,C,A,B,A,046425,004549,101.1042945,004549,4549
"Rogers Elem, 15482 State Route 170, East Liverpool, OH, 43920",Beaver Local,Rogers Elementary School,Excellent,A,small_green,B,-,-,D,-,-,B,A,046425,032268,102.4342105,032268,32268
"West Point Elem, 13360 West Point Rd, West Point, OH, 44492",Beaver Local,West Point Elementary School,Excellent,A,small_green,B,-,-,C,-,-,-,A,046425,038869,103.2467532,038869,38869
"Columbiana High, 700 Columbiana Waterford Rd, Columbiana, OH, 44408",Columbiana Exempted Village,Columbiana High School,Excellent,A,small_green,B,C,B,-,-,-,-,A,045328,007062,106.3181818,007062,7062
"Joshua Dixon Elem, 333 N Middle St, Columbiana, OH, 44408",Columbiana Exempted Village,Joshua Dixon Elementary School,Excellent,A,small_green,B,-,-,F,-,C,B,A,045328,008540,105,008540,8540
"South Side Middle, 720 Columbiana Waterford Rd, Columbiana, OH, 44408",Columbiana Exempted Village,South Side Middle School,Excellent with Distinction,A,small_green,B,-,-,A,B,C,A,A,045328,033340,103.7694013,033340,33340
"Crestview Elem, 3407 Middleton Rd, Columbiana, OH, 44408",Crestview Local,Crestview Elementary School,Excellent with Distinction,A,small_green,B,-,-,A,B,C,C,F,046433,027003,104.2079208,027003,27003
"Crestview High, 44100 Crestview Rd Ste B, Columbiana, OH, 44408",Crestview Local,Crestview High School,Excellent,A,small_green,B,A,C,-,-,-,-,A,046433,007658,102.5054945,007658,7658
"East Palestine Elem, 195 W Grant St, East Palestine, OH, 44413",East Palestine City,East Palestine Elementary School,Excellent,A,small_green,B,-,-,B,D,-,C,A,043927,004838,103.984375,004838,4838
"Leetonia Middle, 450 Walnut St, Leetonia, OH, 44431",Leetonia Exempted Village,Leetonia Middle School,Excellent with Distinction,A,small_green,B,-,-,A,B,B,B,B,045443,028746,90.456942,028746,28746
"David Anderson Jr/Sr High, 260 W Pine St, Lisbon, OH, 44432",Lisbon Exempted Village,David Anderson Jr/Sr High School,Excellent,A,small_green,B,A,C,B,C,B,C,B,045450,008136,94.86206897,008136,8136
"Reilly Elem, 491 Reilly Ave, Salem, OH, 44460",Salem City,Reilly Elementary School,Excellent,A,small_green,B,-,-,C,C,C,C,F,044735,031328,100.3716216,031328,31328
"Salem High, 1200 E 6th St, Salem, OH, 44460",Salem City,Salem High School,Effective,A,small_green,B,C,D,-,-,-,-,B,044735,033472,97.30322581,033472,33472
"Salem Jr High, 1200 E 6th St, Salem, OH, 44460",Salem City,Salem Junior High School,Excellent,A,small_green,B,-,-,C,D,A,B,F,044735,033431,97.1048951,033431,33431
"Southern Local Elementary Elem, 38095E State Route 39, Salineville, OH, 43945",Southern Local,Southern Local Elementary School,Excellent with Distinction,A,small_green,B,-,-,A,C,A,A,C,046441,033498,94.61788618,033498,33498
"United High, 8143 State Route 9, Hanoverton, OH, 44423",United Local,United High School,Excellent,A,small_green,B,A,B,F,C,C,F,B,046458,037911,99.45399393,037911,37911
"Garfield Elem, 1600 Lincoln Ave, Wellsville, OH, 43968",Wellsville Local,Garfield Elementary School,Excellent,A,small_green,B,-,-,-,-,-,-,B,045039,012971,99.61538462,012971,12971
"Wellsville High, 1 Bengal Blvd, Wellsville, OH, 43968",Wellsville Local,Wellsville High School,Excellent,A,small_green,B,B,B,-,-,-,-,A,045039,040279,91.87830688,040279,40279
"Coshocton High, 1205 Cambridge Rd, Coshocton, OH, 43812",Coshocton City,Coshocton High School,Excellent,A,small_green,B,A,B,C,C,D,D,B,043828,007427,96.54781199,007427,7427
"Lincoln Elem, 801 Cambridge Rd, Coshocton, OH, 43812",Coshocton City,Lincoln Elementary School,Excellent,A,small_green,B,-,-,B,C,C,-,A,043828,020636,103.4626039,020636,20636
"Ridgewood Elementary School El, 225 W Union Ave, West, OH, 43845",Ridgewood Local,Ridgewood Elementary School,Excellent,A,small_green,B,-,-,-,-,-,-,B,046474,009128,108.2608696,009128,9128
"Ridgewood High, 602 Johnson St, West Lafayette, OH, 43845",Ridgewood Local,Ridgewood High School,Effective,A,small_green,B,A,B,D,D,D,F,D,046474,031732,98.35263835,031732,31732
"Ridgewood Middle, 517 S Oak St, West Lafayette, OH, 43845",Ridgewood Local,Ridgewood Middle School,Excellent,A,small_green,B,-,-,B,C,B,A,A,046474,138552,100.0866739,138552,138552
"River View High, 26496 State Route 60, Warsaw, OH, 43844",River View Local,River View High School,Excellent,A,small_green,B,A,B,-,-,-,-,B,046482,031880,102.4571429,031880,31880
"Union Elem, 19781 State Route 79, Warsaw, OH, 43844",River View Local,Union Elementary School,Excellent,A,small_green,B,-,-,B,D,-,-,A,046482,037762,103.0536913,037762,37762
"Warsaw Elem, PO Box 97, Warsaw, OH, 43844",River View Local,Warsaw Elementary School,Excellent,A,small_green,B,-,-,B,C,-,C,B,046482,039289,107.7380952,039289,39289
"Buckeye Central Elem, 938 S Kibler St, New Washington, OH, 44854",Buckeye Central Local,Buckeye Central Elementary School,Excellent with Distinction,A,small_green,B,-,-,A,B,B,B,A,046508,146936,100.5434783,146936,146936
"Buckeye Central High, 938 S Kibler St, New Washington, OH, 44854",Buckeye Central Local,Buckeye Central High School,Excellent,A,small_green,B,C,B,-,-,-,-,A,046508,004085,101.516129,004085,4085
"Col Crawford High, PO Box 7, North Robinson, OH, 44856",Colonel Crawford Local,Col Crawford High School,Excellent,A,small_green,B,B,A,-,-,-,-,A,046516,006965,102.2105263,006965,6965
"Wm.Crawford Intermediate Sch., PO Box 20, North Robinson, OH, 44856",Colonel Crawford Local,William Crawford Intermediate Schools,Excellent with Distinction,A,small_green,B,-,-,A,A,C,B,B,046516,026351,95.34069982,026351,26351
"Galion High, 472 Portland Way N, Galion, OH, 44833",Galion City,Galion High School,Effective,A,small_green,B,C,B,-,-,-,-,A,044024,012773,98.0952381,012773,12773
"Galion Middle, 474 Portland Way N, Galion, OH, 44833",Galion City,Galion Middle School,Excellent with Distinction,A,small_green,B,-,-,A,B,B,B,C,044024,012781,94.97933884,012781,12781
"Wynford High, 3288 Holmes Center Rd, Bucyrus, OH, 44820",Wynford Local,Wynford High School,Excellent,A,small_green,B,C,B,-,-,-,-,A,046524,042366,99.96153846,042366,42366
"Wynford JR High Middle, 3288 Holmes Center Rd, Bucyrus, OH, 44820",Wynford Local,Wynford Junior High,Excellent,A,small_green,B,-,-,B,A,F,F,A,046524,011994,96.34482759,011994,11994
"Beachwood Middle, 2860 Richmond Rd, Beachwood, OH, 44122",Beachwood City,Beachwood Middle School,Excellent,A,small_green,B,-,-,C,C,D,D,B,043554,042614,106.6253444,042614,42614
"Berea High, 165 E Bagley Rd, Berea, OH, 44017",Berea City,Berea High School,Excellent,A,small_green,B,C,C,-,-,-,-,B,043612,002428,97.40740741,002428,2428
"Brook Park Memorial Elem, 16900 Holland Rd, Brook Park, OH, 44142",Berea City,Brook Park Memorial Elementary School,Excellent,A,small_green,B,-,-,C,C,C,B,F,043612,003806,97.27959698,003806,3806
"Brookview Elem, 14105 Snow Rd, Brook Park, OH, 44142",Berea City,Brookview Elementary School,Excellent,A,small_green,B,-,-,C,C,A,C,A,043612,003848,98.58928571,003848,3848
"Ford Middle, 17001 Holland Rd, Brook Park, OH, 44142",Berea City,Ford Middle School,Excellent,A,small_green,B,-,-,B,C,B,A,B,043612,011908,99.55093555,011908,11908
"Frederick Roehm Middle, 7220 Pleasant Ave, Berea, OH, 44017",Berea City,Frederick Roehm Middle School,Effective,A,small_green,B,-,-,C,D,D,C,F,043612,032250,99.42919075,032250,32250
"Grindstone Elem, 191 Race St, Berea, OH, 44017",Berea City,Grindstone Elementary School,Excellent,A,small_green,B,-,-,F,F,D,F,C,043612,034710,102.6007326,034710,34710
"Midpark High, 7000 Paula Dr, Middleburg Hts, OH, 44130",Berea City,Midpark High School,Excellent,A,small_green,B,B,B,-,-,-,-,A,043612,024570,100.9117305,024570,24570
"Central Elem, 27 Public Sq, Brecksville, OH, 44141",Brecksville-Broadview Heights City,Central Elementary School,Excellent with Distinction,A,small_green,B,-,-,A,B,C,C,C,043646,114561,105.9933775,114561,114561
"Brooklyn High, 9200 Biddulph Rd, Brooklyn, OH, 44144",Brooklyn City,Brooklyn High School,Excellent,A,small_green,B,C,C,-,-,-,-,C,043653,003780,102.35,003780,3780
"Chagrin Falls Middle, 342 E Washington St, Chagrin Falls, OH, 44022",Chagrin Falls Exempted Village,Chagrin Falls Middle School,Excellent,A,small_green,B,-,-,B,B,D,C,D,045286,005769,108.7058824,005769,5769
"John Hay Arch & Design High, 2075 Stokes Blvd, Cleveland, OH, 44106",Cleveland Municipal,John Hay School of Architecture & Design,Excellent*,A,small_green,B,A,A,-,-,-,-,B,043786,019406,102.7428571,019406,19406
"MC^2 STEM High High, 601 Erieside Ave, Cleveland, OH, 44114",Cleveland Municipal,MC^2 STEM High School,Effective*,A,small_green,B,-,-,-,-,-,-,A,043786,010200,99,010200,10200
"Riverside Elem, 14601 Montrose Ave, Cleveland, OH, 44111",Cleveland Municipal,Riverside School,Excellent*,A,small_green,B,-,-,C,C,B,-,B,043786,031963,97.52895753,031963,31963
"Valley View Elem, 17200 Valleyview Ave, Cleveland, OH, 44135",Cleveland Municipal,Valley View Elementary School,Excellent with Distinction*,A,small_green,B,-,-,A,-,A,A,A,043786,038182,95.89041096,038182,38182
"Whitney Young High, 17900 Harvard Ave, Cleveland, OH, 44128",Cleveland Municipal,Whitney Young School,Excellent*,A,small_green,B,A,A,C,C,-,-,A,043786,062323,104.678179,062323,62323
"Cuyahoga Hts Elem, 4880 E 71st St, Cuyahoga Heights, OH, 44125",Cuyahoga Heights Local,Cuyahoga Hts Elementary School,Excellent,A,small_green,B,-,-,C,C,-,C,D,046557,007948,104.5394737,007948,7948
"Cuyahoga Hts High, 4820 E 71st St, Cuyahoga Heights, OH, 44125",Cuyahoga Heights Local,Cuyahoga Hts High School,Excellent,A,small_green,B,A,A,-,-,-,-,A,046557,007955,107.1034483,007955,7955
"Fairview High, 4507 W 213 Street, Fairview Park, OH, 44126",Fairview Park City,Fairview High School,Excellent,A,small_green,B,B,B,-,-,-,-,A,043976,011304,106.2089552,011304,11304
"Lewis F Mayer Middle, 21200 Campus Drive, Fairview Park, OH, 44126",Fairview Park City,Lewis F Mayer Middle School,Excellent,A,small_green,B,-,-,F,F,D,C,A,043976,020263,100.7214765,020263,20263
"William Foster Elem, 12801 Bangor Ave,  Garfield Heights, OH, 44125",Garfield Heights City Schools,William Foster Elementary School,Excellent,A,small_green,B,-,-,-,-,-,-,C,044040,041335,94.55172414,041335,41335
"Independence Middle, 6111 Archwood Rd, Independence, OH, 44131",Independence Local,Independence Middle School,Excellent,A,small_green,B,-,-,B,B,C,C,A,046565,017293,103.6519608,017293,17293
"Harding Middle School Middle, 16601 Madison Ave, Lakewood, OH, 44107",Lakewood City,Harding Middle School,Excellent with Distinction,A,small_green,B,-,-,A,B,A,A,C,044198,009116,99.12742382,009116,9116
"Lakewood High, 14100 Franklin Blvd, Lakewood, OH, 44107",Lakewood City,Lakewood High School,Excellent,A,small_green,B,D,C,-,-,-,-,F,044198,019687,102.3979849,019687,19687
"Lincoln Elem, 15615 Clifton Blvd, Lakewood, OH, 44107",Lakewood City,Lincoln Elementary School,Excellent with Distinction,A,small_green,B,-,-,A,A,C,-,B,044198,020859,103.7124464,020859,20859
"Mayfield High, 6116 Wilson Mills Rd, Cleveland, OH, 44143",Mayfield City,Mayfield High School,Excellent,A,small_green,B,B,B,-,-,-,-,D,044370,023325,104.0488923,023325,23325
"Millridge Elem, 962 Millridge Rd, Cleveland, OH, 44143",Mayfield City,Millridge Elementary School,Excellent with Distinction,A,small_green,B,-,-,A,A,B,C,C,044370,024885,102.0733652,024885,24885
"Birch Elem, 24100 Palm Dr, North Olmsted, OH, 44070",North Olmsted City,Birch Elementary School,Excellent,A,small_green,B,-,-,-,-,-,-,F,044529,111062,102.3469388,111062,111062
"Chestnut Intermediate Elem, 30395 Lorain Rd, North Olmsted, OH, 44070",North Olmsted City,Chestnut Intermediate Elementary School,Excellent with Distinction,A,small_green,B,-,-,A,C,C,C,B,044529,006189,100.7515337,006189,6189
"Forest Elem, 28963 Tudor Dr, North Olmsted, OH, 44070",North Olmsted City,Forest Elementary School,Excellent,A,small_green,B,-,-,-,-,-,-,A,044529,064105,103.7931034,064105,64105
"Maple Intermediate Elem, 24101 Maple Ridge Rd, North Olmsted, OH, 44070",North Olmsted City,Maple Intermediate Elementary School,Excellent,A,small_green,B,-,-,C,C,C,F,D,044529,022533,97.61836442,022533,22533
"North Olmsted High, 5755 Burns Rd, North Olmsted, OH, 44070",North Olmsted City,North Olmsted High School,Excellent,A,small_green,B,B,B,-,-,-,-,B,044529,026302,105.3498623,026302,26302
"North Olmsted Middle, 27351 Butternut Ridge Rd, North Olmsted, OH, 44070",North Olmsted City,North Olmsted Middle School,Excellent with Distinction,A,small_green,B,-,-,A,A,A,A,C,044529,026310,101.5183946,026310,26310
"Pine Elem, 4267 Dover Center Rd, North Olmsted, OH, 44070",North Olmsted City,Pine  School,Excellent,A,small_green,B,-,-,F,C,C,C,F,044529,030023,98.80983182,030023,30023
"North Royalton High, 14713 Ridge Rd, North Royalton, OH, 44133",North Royalton City,North Royalton High School,Excellent,A,small_green,B,A,B,-,-,-,-,B,044545,010660,108.1188119,010660,10660
"North Royalton Middle, 14709 Ridge Rd, North Royalton, OH, 44133",North Royalton City,North Royalton Middle School,Effective,A,small_green,B,-,-,F,F,C,C,B,044545,099416,103.1422811,099416,99416
"Olmsted Falls High, 26939 Bagley Rd, Olmsted Falls, OH, 44138",Olmsted Falls City,Olmsted Falls High School,Excellent,A,small_green,B,A,A,-,-,-,-,B,046573,028605,108.9390681,028605,28605
"OF Intermediate Elem, 27043 Bagley Rd, Olmsted Falls, OH, 44138",Olmsted Falls City,Olmsted Falls Intermediate Building,Excellent with Distinction,A,small_green,B,-,-,A,B,B,A,D,046573,011783,103.2780358,011783,11783
"Olmsted Falls Middle, 27045 Bagley Rd, Olmsted Falls, OH, 44138",Olmsted Falls City,Olmsted Falls Middle School,Excellent with Distinction,A,small_green,B,-,-,A,A,B,C,B,046573,028613,105.4058193,028613,28613
"Ballard Brady Middle, 32000 Chagrin Blvd, Pepper Pike, OH, 44124",Orange City ,Ballard Brady Middle School,Excellent,A,small_green,B,-,-,D,C,C,C,F,046581,003400,106.4480874,003400,3400
"Moreland Hills Elem, 32000 Chagrin Blvd, Pepper Pike, OH, 44124",Orange City ,Moreland Hills Elementary School,Excellent,A,small_green,B,-,-,D,C,C,B,F,046581,142554,105.3929539,142554,142554
"Dentzler Elem, 3600 Dentzler Rd, Parma, OH, 44134",Parma City,Dentzler Elementary School,Excellent with Distinction,A,small_green,B,-,-,A,B,C,F,B,044636,008391,101.9197208,008391,8391
"Green Valley Elem, 2401 W Pleasant Valley Rd, Parma, OH, 44134",Parma City,Green Valley Elementary School,Excellent with Distinction,A,small_green,B,-,-,A,C,C,B,D,044636,014423,104.3428571,014423,14423
"Normandy High, 2500 W Pleasant Valley Rd, Parma, OH, 44134",Parma City,Normandy High School,Excellent,A,small_green,B,A,B,-,-,-,-,B,044636,027367,106.0080375,027367,27367
"Parma High, 6285 W 54th St, Parma, OH, 44129",Parma City,Parma High School,Effective,A,small_green,B,D,D,-,-,-,-,F,044636,029330,99.85507246,029330,29330
"Parma Park Elem, 6800 Commonwealth Blvd, Parma Heights, OH, 44130",Parma City,Parma Park Elementary School,Excellent,A,small_green,B,-,-,B,B,B,B,B,044636,029348,99.55595027,029348,29348
"Pleasant Valley Elem, 9906 W Pleasant Valley Rd, Parma, OH, 44130",Parma City,Pleasant Valley Elementary School,Excellent,A,small_green,B,-,-,C,F,C,C,F,044636,030353,98.40517241,030353,30353
"Valley Forge High, 9999 Independence Blvd, Parma Heights, OH, 44130",Parma City,Valley Forge High School,Excellent,A,small_green,B,D,B,-,-,-,-,D,044636,038109,102.5822785,038109,38109
"Boulevard Elem, 14900 Drexmore Rd, Shaker Heights, OH, 44120",Shaker Heights City,Boulevard Elementary School,Excellent,A,small_green,B,-,-,F,C,F,D,F,044750,003244,105.2651515,003244,3244
"Fernway Elem, 17420 Fernway Rd, Shaker Heights, OH, 44120",Shaker Heights City,Fernway Elementary School,Excellent,A,small_green,B,-,-,C,C,C,-,C,044750,011536,102.5,011536,11536
"Mercer Elem, 23325 Wimbledon Rd, Shaker Heights, OH, 44122",Shaker Heights City,Mercer Elementary School,Excellent,A,small_green,B,-,-,F,D,D,C,F,044750,024307,102.6234568,024307,24307
"Onaway Elem, 3115 Woodbury Rd, Shaker Heights, OH, 44120",Shaker Heights City,Onaway Elementary School,Excellent,A,small_green,B,-,-,B,C,B,B,B,044750,028647,106.4383562,028647,28647
"Shaker Hts High, 15911 Aldersyde Dr, Shaker Heights, OH, 44120",Shaker Heights City,Shaker Hts High School,Excellent,A,small_green,B,C,C,-,-,-,-,C,044750,034108,99.93435449,034108,34108
"Woodbury Elem, 15400 S Woodland Rd, Shaker Heights, OH, 44120",Shaker Heights City,Woodbury Elementary School,Excellent,A,small_green,B,-,-,D,F,B,C,D,044750,041939,99.50562898,041939,41939
"Grace L Roxbury Elem, 6795 Solon Blvd, Solon, OH, 44139",Solon City,Grace L Roxbury Elementary School,Excellent,A,small_green,B,-,-,D,-,-,-,A,046607,032854,108.6890244,032854,32854
"Adrian Elem, 1071 Homestead Rd, South Euclid, OH, 44121",South Euclid-Lyndhurst City,Adrian Elementary School,Excellent,A,small_green,B,-,-,-,-,-,-,F,044792,000232,98.96103896,000232,232
"Brush High, 4875 Glenlyn Rd, Lyndhurst, OH, 44124",South Euclid-Lyndhurst City,Brush High School,Effective,A,small_green,B,C,C,-,-,-,-,D,044792,003996,98.36666667,003996,3996
"Rowland Elem, 4300 Bayard Rd, South Euclid, OH, 44121",South Euclid-Lyndhurst City,Rowland Elementary School,Excellent,A,small_green,B,-,-,-,-,-,-,F,044792,032821,98.52941176,032821,32821
"Sunview Elem, 5520 Meadow Wood Blvd, Lyndhurst, OH, 44124",South Euclid-Lyndhurst City,Sunview Elementary School,Excellent,A,small_green,B,-,-,-,-,-,-,A,044792,036525,103.3928571,036525,36525
"Albion Middle, 11109 Webster Rd, Strongsville, OH, 44136",Strongsville City,Albion Middle School,Excellent,A,small_green,B,-,-,B,B,F,B,F,044842,043042,101.7195972,043042,43042
"Center Middle, 13200 Pearl Rd, Strongsville, OH, 44136",Strongsville City,Center Middle School,Excellent,A,small_green,B,-,-,B,C,B,B,D,044842,036285,100.1025992,036285,36285
"Chapman Elem, 13883 Drake Rd, Strongsville, OH, 44136",Strongsville City,Chapman Elementary School,Excellent,A,small_green,B,-,-,B,C,C,C,B,044842,064741,102.0358306,064741,64741
"Drake Elem, 20566 Albion Rd, Strongsville, OH, 44149",Strongsville City,Drake Elementary School,Excellent with Distinction,A,small_green,B,-,-,A,C,B,C,B,044842,067884,105.9703947,067884,67884
"Kinsner Elem, 19091 Waterford Pkwy, Strongsville, OH, 44149",Strongsville City,Kinsner Elementary School,Excellent,A,small_green,B,-,-,F,C,D,F,C,044842,125955,99.29824561,125955,125955
"Surrarrer Elem, 9306 Priem Rd, Strongsville, OH, 44149",Strongsville City,Surrarrer Elementary School,Excellent with Distinction,A,small_green,B,-,-,A,B,A,-,A,044842,036558,98.70056497,036558,36558
"Whitney Elem, 13548 Whitney Rd, Strongsville, OH, 44136",Strongsville City,Whitney Elementary School,Excellent,A,small_green,B,-,-,C,B,D,C,B,044842,041053,104.1719078,041053,41053
"Dover Elem, 2300 Dover Center Rd, Westlake, OH, 44145",Westlake City,Dover Elementary School,Excellent with Distinction,A,small_green,B,-,-,A,C,C,C,A,045062,008714,110.0955414,008714,8714
"Holly Lane Elem, 27200 Hilliard Blvd., Westlake, OH, 44145",Westlake City,Holly Lane Elementary School,Excellent,A,small_green,B,-,-,D,C,D,C,A,045062,016600,106.9708029,016600,16600
"Lee Burneson Middle, 2240 Dover Center Rd, Westlake, OH, 44145",Westlake City,Lee Burneson Middle School,Excellent with Distinction,A,small_green,B,-,-,A,A,A,A,D,045062,020073,106.7115738,020073,20073
"Parkside Elem, 24525 Hilliard Blvd, Westlake, OH, 44145",Westlake City,Parkside Elementary School,Excellent with Distinction,A,small_green,B,-,-,A,B,B,A,A,045062,029207,102.7555856,029207,29207
"Ansonia High, PO Box 279, Ansonia, OH, 45303",Ansonia Local,Ansonia High School,Excellent,A,small_green,B,A,A,-,-,-,-,A,046623,000778,104.5217391,000778,778
"Ansonia Middle, PO Box 279, Ansonia, OH, 45303",Ansonia Local,Ansonia Middle School,Excellent,A,small_green,B,-,-,B,C,C,D,A,046623,061572,98.7804878,061572,61572
"Arcanum High, 2011 Trojan Ave, Arcanum, OH, 45304",Arcanum-Butler Local ,Arcanum High School,Excellent,A,small_green,B,A,A,-,-,-,-,A,046631,000919,101.7380952,000919,919
"Butler Middle, 2011 Trojan Ave, Arcanum, OH, 45304",Arcanum-Butler Local ,Butler Middle School,Excellent,A,small_green,B,-,-,B,B,C,C,C,046631,004408,97.23076923,004408,4408
"Franklin Monroe Elem, PO Box 78, Pitsburg, OH, 45358",Franklin Monroe Local,Franklin Monroe Elementary School,Excellent,A,small_green,B,-,-,C,B,C,-,A,046649,012195,103.4645669,012195,12195
"Franklin Monroe High, PO Box 78, Pitsburg, OH, 45358",Franklin Monroe Local,Franklin Monroe High School,Excellent,A,small_green,B,A,A,D,C,C,-,A,046649,012377,98.77926421,012377,12377
"GMS Middle, 701 Wayne Ave, Greenville, OH, 45331",Greenville City ,Greenville Middle School,Excellent,A,small_green,B,-,-,C,C,C,D,C,044099,009507,92.62345679,009507,9507
"Mississinawa Valley Elem, 10480 Staudt Rd, Union City, OH, 45390",Mississinawa Valley Local,Mississinawa Valley Elementary School,Excellent with Distinction,A,small_green,B,-,-,A,C,A,C,C,046672,009167,99.13043478,009167,9167
"Tri-Village High, PO Box 31, New Madison, OH, 45346",Tri-Village Local,Tri-Village High School,Excellent,A,small_green,B,A,A,C,D,B,-,A,046680,026849,97.92993631,026849,26849
"Versailles Elem, PO Box 313, Versailles, OH, 45380",Versailles Exempted Village,Versailles Elementary School,Excellent with Distinction,A,small_green,B,-,-,A,-,B,B,A,045633,038406,106.2616822,038406,38406
"Ayersville High, 28046 Watson Rd, Defiance, OH, 43512",Ayersville Local ,Ayersville High School,Excellent,A,small_green,B,A,C,C,C,C,-,B,046706,001420,106.9183359,001420,1420
"Fairview Elem, 14060 Blosser Rd, Sherwood, OH, 43556",Central Local ,Fairview Elementary School,Excellent,A,small_green,B,-,-,C,C,C,C,B,046714,142406,99.41176471,142406,142406
"Fairview High, 6289 Us Highway 127, Sherwood, OH, 43556",Central Local ,Fairview High School,Excellent,A,small_green,B,B,B,-,-,-,-,A,046714,011288,105.0888889,011288,11288
"Fairview Middle, 6289 Us Highway 127, Sherwood, OH, 43556",Central Local ,Fairview Middle School,Excellent,A,small_green,B,-,-,B,C,C,C,B,046714,027193,102.3529412,027193,27193
"Defiance High, 1755 Palmer Dr, Defiance, OH, 43512",Defiance City,Defiance High School,Excellent,A,small_green,B,B,B,-,-,-,-,C,043869,008300,103.3048128,008300,8300
