DISTRICT,ADDRESS,SCHOOL,,SCHOOLID,TYPE,Grade in 2013,POINTTOT,POINTELEMpass,POINTELEMalt,POINTMIDDpass,POINTMIDDalt,POINTHIGH
GREENWOOD 52,"Ninety Six High, 640 South Cambridge Street, Ninety Six, SC, 29666",NINETY SIX HIGH,http://www.greenwood52.org/nshs/site/default.asp,2452025,HIGH,B,87.4,,,,,87.4
GREENWOOD 52,"Edgewood Middle, 644 South Cambridge Street, Ninety Six, SC, 29666",EDGEWOOD MIDDLE,http://www.greenwood52.org/ems/site/default.asp,2452026,MIDD,A,90.1,,,90.1,,
GREENWOOD 52,"Ninety Six Elementary, 810 Johnston Road, Ninety Six, SC, 29666",NINETY SIX ELEMENTARY,http://www.greenwood52.org/nses/site/default.asp,2452027,ELEM,A,95.3,95.3,,,,
HAMPTON 1,"Wade Hampton High, 115 Airport Road, Hampton, SC, 29924",WADE HAMPTON HIGH,http://www.hampton1.org/Domain/8,2501001,HIGH,D,60.3,,,,,60.3
HAMPTON 1,"Brunson Elementary, 34 College Street, Brunson, SC, 29911",BRUNSON ELEMENTARY,http://www.hampton1.org/Domain/11,2501004,ELEM,B,89.2,89.2,,,,
HAMPTON 1,"Hampton Elementary, 505 Hoover Street, Hampton, SC, 29924",HAMPTON ELEMENTARY,http://www.hampton1.org/Domain/12,2501006,COMBO,B,80.2,77.1,,86.6,,
HAMPTON 1,"North District Middle, 507 Tillman Avenue, Varnville, SC, 29944",NORTH DISTRICT MIDDLE,http://www.hampton1.org/Domain/9,2501008,MIDD,A,90.1,,,90.1,,
HAMPTON 1,"Varnville Elementary, 395 East Pine Street, Varnville, SC, 29944",VARNVILLE ELEMENTARY,http://www.hampton1.org/Domain/14,2501009,ELEM,A,94.3,94.3,,,,
HAMPTON 1,"Fennell Elementary, 131 Yemassee Highway, Yemassee, SC, 29945",FENNELL ELEMENTARY,http://www.hampton1.org/Domain/13,2501010,ELEM,C,72.8,72.8,,,,
HAMPTON 1,"Ben Hazel Primary, 628 Railroad Avenue West, Hampton, SC, 29924",BEN HAZEL PRIMARY,http://www.hampton1.org/Domain/10,2501018,ELEM,B,89.8,89.8,,,,
HAMPTON 2,"Estill High, 1450 Columbia Highway, Estill, SC, 29918",ESTILL HIGH,http://estillhigh.com/home/,2502011,HIGH,F,56.4,,,,,56.4
HAMPTON 2,"Estill Middle, 1450 Columbia Highway, Ste B, Estill, SC, 29918",ESTILL MIDDLE,http://estillmiddle.com/home/,2502014,MIDD,D,65.1,,,65.1,,
HAMPTON 2,"Estill Elementary, 318 Fourth Street, Estill, SC, 29918",ESTILL ELEMENTARY,http://estillelementary.com/home/,2502017,ELEM,A,92.5,92.5,,,,
HORRY,"Aynor High, 201 Jordanville Road, Aynor, SC, 29511",AYNOR HIGH,http://ah.horrycountyschools.net/,2601001,HIGH,A,94.5,,,,,94.5
HORRY,"North Myrtle Beach High, 3750 Sea Mountain Highway, Little River, SC, 29566",NORTH MYRTLE BEACH HIGH,http://nmbh.horrycountyschools.net/,2601002,HIGH,C,76.8,,,,,76.8
HORRY,"Conway High, 2301 Church Street, Conway, SC, 29526",CONWAY HIGH,http://ch.horrycountyschools.net/,2601004,HIGH,F,52.5,,,,,52.5
HORRY,"Green Sea Floyds High, 4990 Tulip Grove Road, Green Sea, SC, 29545",GREEN SEA FLOYDS HIGH,http://gsfh.horrycountyschools.net/,2601006,COMBO,B,81.8,,,78.9,,90.9
HORRY,"Loris High, 301 Loris Lions Road, Loris, SC, 29569",LORIS HIGH,http://lh.horrycountyschools.net/,2601008,HIGH,A,92.7,,,,,92.7
HORRY,"Myrtle Beach High, 3302 Robert Grissom Parkway, Myrtle Beach, SC, 29577",MYRTLE BEACH HIGH,http://mbh.horrycountyschools.net/,2601010,HIGH,B,84,,,,,84
HORRY,"Socastee High, 4900 Socastee Boulevard, Myrtle Beach, SC, 29588",SOCASTEE HIGH,http://sh.horrycountyschools.net/,2601011,HIGH,A,91.8,,,,,91.8
HORRY,"Whittemore Park Middle, 1808 Rhue Street, Conway, SC, 29527",WHITTEMORE PARK MIDDLE,http://wpm.horrycountyschools.net/,2601013,MIDD,B,88.6,,,88.6,,
HORRY,"Aynor Elementary, 516 Jordanville Road, Aynor, SC, 29511",AYNOR ELEMENTARY,http://ae.horrycountyschools.net/,2601014,ELEM,B,89.7,89.7,,,,
HORRY,"Myrtle Beach Middle, 950 Seahawk Way, Myrtle Beach, SC, 29577",MYRTLE BEACH MIDDLE,http://mbm.horrycountyschools.net/,2601016,MIDD,C,79.2,,,79.2,,
HORRY,"Conway Middle, 1104 Elm Street, Conway, SC, 29526",CONWAY MIDDLE,http://cm.horrycountyschools.net/,2601017,MIDD,C,76.4,,,76.4,,
HORRY,"Daisy Elementary, 2801 Red Bluff Road, Loris, SC, 29569",DAISY ELEMENTARY,http://de.horrycountyschools.net/,2601021,ELEM,A,93,93,,,,
HORRY,"Green Sea Floyds Elementary, 5000 Tulip Grove Road, Green Sea, SC, 29545",GREEN SEA FLOYDS ELEMENTARY,http://gsfe.horrycountyschools.net/,2601023,ELEM,B,88.4,88.4,,,,
HORRY,"Homewood Elementary, 108 North Clemson Circle, Conway, SC, 29526",HOMEWOOD ELEMENTARY,http://hwe.horrycountyschools.net/,2601025,ELEM,A,92.6,92.6,,,,
HORRY,"Loris Middle, 5209 Highway 66, Loris, SC, 29569",LORIS MIDDLE,http://lm.horrycountyschools.net/,2601027,MIDD,B,83,,,83,,
HORRY,"Kingston Elementary, 4580 Highway 472, Conway, SC, 29526",KINGSTON ELEMENTARY,http://ke.horrycountyschools.net/,2601028,ELEM,B,84.5,84.5,,,,
HORRY,"Lakewood Elementary, 1675 Highway 396, Myrtle Beach, SC, 29575",LAKEWOOD ELEMENTARY,http://lke.horrycountyschools.net/,2601029,ELEM,A,93.6,93.6,,,,
HORRY,"St. James Elementary, 9711 St. James Road, Myrtle Beach, SC, 29588",ST JAMES ELEMENTARY,http://sje.horrycountyschools.net/,2601030,ELEM,A,92.9,92.9,,,,
HORRY,"Loris Elementary, 901 Highway 9 Business East, Loris, SC, 29569",LORIS ELEMENTARY,http://le.horrycountyschools.net/,2601032,ELEM,A,95.1,95.1,,,,
HORRY,"Midland Elementary, 3011 Nichols Highway, Galivants Ferry, SC, 29544",MIDLAND ELEMENTARY,http://me.horrycountyschools.net/,2601033,ELEM,A,97,97,,,,
HORRY,"Myrtle Beach Elementary, 620 29th Avenue North, Myrtle Beach, SC, 29577",MYRTLE BEACH ELEMENTARY,http://mbe.horrycountyschools.net/,2601034,ELEM,B,83.8,83.8,,,,
HORRY,"Conway Elementary, 1101 Snowhill Drive, Conway, SC, 29526",CONWAY ELEMENTARY,http://ce.horrycountyschools.net/,2601036,ELEM,B,81.1,81.1,,,,
HORRY,"North Myrtle Beach Middle, 11240 Highway 90, Little River, SC, 29566",NORTH MYRTLE BEACH MIDDLE,http://nmbm.horrycountyschools.net/,2601037,MIDD,A,90.4,,,90.4,,
HORRY,"Pee Dee Elementary, 6555 Highway 134, Conway, SC, 29527",PEE DEE ELEMENTARY,http://pde.horrycountyschools.net/,2601039,ELEM,C,72.9,72.9,,,,
HORRY,"Waccamaw Elementary, 251 Claridy Road, Conway, SC, 29526",WACCAMAW ELEMENTARY,http://we.horrycountyschools.net/,2601042,ELEM,B,82.1,82.1,,,,
HORRY,"South Conway Elementary, 3001 Fourth Avenue, Conway, SC, 29526",SOUTH CONWAY ELEMENTARY,http://sce.horrycountyschools.net/,2601045,ELEM,B,84.5,84.5,,,,
HORRY,"Forestbrook Elementary, 4000 Panthers Parkway, Myrtle Beach, SC, 29579",FORESTBROOK ELEMENTARY,http://fe.horrycountyschools.net/,2601046,ELEM,A,99.4,99.4,,,,
HORRY,"St. James Middle, 9775 St. James Road, Myrtle Beach, SC, 29588",ST JAMES MIDDLE,http://sjm.horrycountyschools.net/,2601047,MIDD,A,91.1,,,91.1,,
HORRY,"North Myrtle Beach Elementary, 1283 Highway 57 South, Little River, SC, 29566",NORTH MYRTLE BEACH ELEMENTARY,http://nmbe.horrycountyschools.net/,2601048,ELEM,B,80.2,80.2,,,,
HORRY,"Carolina Forest Elementary, 285 Carolina Forest Boulevard, Myrtle Beach, SC, 29579",CAROLINA FOREST ELEMENTARY,http://cfe.horrycountyschools.net/ ,2601049,ELEM,A,90.6,90.6,,,,
HORRY,"Seaside Elementary, 1605 Woodland Drive, Garden City, SC, 29576",SEASIDE ELEMENTARY,http://sse.horrycountyschools.net/,2601050,ELEM,A,90.9,90.9,,,,
HORRY,"Forestbrook Middle, 4430 Gator Lane, Myrtle Beach, SC, 29588",FORESTBROOK MIDDLE,http://fm.horrycountyschools.net/,2601051,MIDD,A,96.1,,,96.1,,
HORRY,"Carolina Forest High, 700 Gardner Lacy Road, Myrtle Beach, SC, 29579",CAROLINA FOREST HIGH,http://cfh.horrycountyschools.net/,2601052,HIGH,C,77.4,,,,,77.4
HORRY,"Myrtle Beach Intermediate, 3301 Oak Street, Myrtle Beach, SC, 29577",MYRTLE BEACH INTERMEDIATE,http://mbi.horrycountyschools.net/,2601053,ELEM,B,86.3,86.3,,,,
HORRY,"Socastee Elementary, 4950 Socastee Boulevard, Myrtle Beach, SC, 29588",SOCASTEE ELEMENTARY,http://se.horrycountyschools.net/,2601054,ELEM,A,100,100,,,,
HORRY,"Palmetto Bays Elementary, 8900 Highway 544, Myrtle Beach, SC, 29588",PALMETTO BAYS ELEMENTARY,http://pbe.horrycountyschools.net/,2601056,ELEM,A,99.5,99.5,,,,
HORRY,"Aynor Middle, 400 Frye Road, Galivants Ferry, SC, 29544",AYNOR MIDDLE,http://am.horrycountyschools.net/,2601057,MIDD,A,90.4,,,90.4,,
HORRY,"St. James High, 10800 Highway 707, Murrells Inlet, SC, 29576",ST. JAMES HIGH,http://sjh.horrycountyschools.net/,2601058,HIGH,B,83.2,,,,,83.2
HORRY,"North Myrtle Beach Intermediate, 700 Sandridge Road, Little River, SC, 29566",NORTH MYRTLE BEACH INTERMEDIATE,http://nmbi.horrycountyschools.net/,2601059,ELEM,A,90.4,90.4,,,,
HORRY,"Ocean Bay Elementary, 950 International Drive, Myrtle Beach, SC, 29579",OCEAN BAY ELEMENTARY,http://obe.horrycountyschools.net/,2601060,ELEM,A,99.9,99.9,,,,
HORRY,"Ocean Bay Middle, 905 International Drive, Myrtle Beach, SC, 29579",OCEAN BAY MIDDLE,http://obm.horrycountyschools.net/,2601061,MIDD,A,99.6,,,99.6,,
HORRY,"Black Water Middle, 900 East Cox Ferry Road, Conway, SC, 29526",BLACKWATER MIDDLE,http://bwm.horrycountyschools.net/,2601062,MIDD,A,91.3,,,91.3,,
HORRY,"Burgess Elementary, 9645 Scipio Lane, Myrtle Beach, SC, 29588",BURGESS ELEMENTARY,http://be.horrycountyschools.net/,2601063,ELEM,A,95.4,95.4,,,,
HORRY,"HCS Early College High, P.O. Box 261966, Conway, SC, 29528",EARLY COLLEGE HIGH SCHOOL,http://ec.horrycountyschools.net/,2601064,HIGH,*,,,,,,
HORRY,"River Oaks Elementary, 700 Augusta Plantation Drive, Myrtle Beach, SC, 29579",RIVER OAKS ELEMENTARY,http://roe.horrycountyschools.net/pages/River_Oaks_Elementary,2601065,ELEM,A,93.6,93.6,,,,
HORRY,"Bridgewater Academy Charter, 191 River Landing Boulevard, Myrtle Beach, SC, 29579",BRIDGEWATER ACADEMY CHARTER,http://www.bridgewateracademy.org/,2601601,COMBO,A,95.7,96.5,,95,,
HORRY,"Palmetto Academy of Learning and Success Charter, 3530 Pampas Drive, Myrtle Beach, SC, 29577",PALMETTO ACADEMY OF LEARNING & S,http://www.palmettoacademy.com/,2601602,COMBO,A,100,100,,100,,
HORRY,"Academy of Hope Charter                           , 3521 Juniper Bay Road, Conway, SC, 29527",ACADEMY OF HOPE CHARTER,http://www.theacademyofhope.org/,2601603,ELEM,F,55,55,,,,
HORRY,"Palmetto Academy for Learning Motorsports                    , 136 Rodeo Drive, Myrtle Beach, SC, 29579",PALMETTO ACADEMY OF LEARNING MOT,http://www.palmsc.org/welcome/,2601604,HIGH,*,,,,,,
JASPER,"Hardeeville Elementary, 150 Hurricane Alley, Hardeeville, SC, 29927",HARDEEVILLE ELEMENTARY,http://hes.jcsd.net/,2701010,ELEM,F,29,29,,,,
JASPER,"Ridgeland Elementary, 250 Jaguar Trail Unit 103, Ridgeland, SC, 29936",RIDGELAND ELEMENTARY,http://res.jcsd.net/,2701011,ELEM,F,51.6,51.6,,,,
JASPER,"Hardeeville-Ridgeland Middle, 150 Hurricane Alley, Hardeeville, SC, 29927",HARDEEVILLE-RIDGELAND MIDDLE,http://rms.jcsd.net/,2701012,MIDD,F,20.8,,,20.8,,
JASPER,"Ridgeland-Hardeeville High, 250 Jaguar Trail, Ridgeland, SC, 29936",RIDGELAND-HARDEEVILLE HIGH,http://rhs.jcsd.net/,2701013,HIGH,F,33.8,,,,,33.8
KERSHAW,"North Central High, 3000 Lockhart Road, Kershaw, SC, 29067",NORTH CENTRAL HIGH,http://nch.kcsdschools.com/,2801003,HIGH,B,85.3,,,,,85.3
KERSHAW,"Camden High, 1022 Ehrenclou Road, Camden, SC, 29020",CAMDEN HIGH,http://chs.kcsdschools.com/,2801005,HIGH,D,67.7,,,,,67.7
KERSHAW,"Lugoff-Elgin High, 1284 Highway 1 South, Lugoff, SC, 29078",LUGOFF-ELGIN HIGH,http://lhs.kcsdschools.com/,2801007,HIGH,A,90.5,,,,,90.5
KERSHAW,"Baron Dekalb Elementary, 2684 Baron DeKalb Road, Camden, SC, 29020",BARON DEKALB ELEMENTARY,http://bdk.kcsdschools.com/,2801010,ELEM,A,96.2,96.2,,,,
KERSHAW,"Bethune Elementary, 302 Norwood Street East, Bethune, SC, 29009",BETHUNE ELEMENTARY,http://bet.kcsdschools.com/,2801011,ELEM,A,97.3,97.3,,,,
KERSHAW,"Blaney Elementary, 1621 Smyrna Road, Elgin, SC, 29045",BLANEY ELEMENTARY,http://bes.kcsdschools.com/,2801012,ELEM,B,87.7,87.7,,,,
KERSHAW,"Jackson School, 1730 Jefferson Davis Highway, Camden, SC, 29020",JACKSON SCHOOL,http://jes.kcsdschools.com/,2801013,ELEM,C,77.1,77.1,,,,
KERSHAW,"Camden Middle, 902 McRae Road, Camden, SC, 29020",CAMDEN MIDDLE,http://cms.kcsdschools.com/,2801014,MIDD,B,84.6,,,84.6,,
KERSHAW,"Camden Elementary of the Creative Arts, 1304 Lyttleton Street, Camden, SC, 29020",CAMDEN ELEMENTARY SCHOOL FOR THE,http://ces.kcsdschools.com/,2801015,ELEM,B,82.7,82.7,,,,
KERSHAW,"Lugoff-Elgin Middle, 1244 Highway 1 South, Lugoff, SC, 29078",LUGOFF-ELGIN MIDDLE,http://lms.kcsdschools.com/,2801016,MIDD,B,85.8,,,85.8,,
KERSHAW,"Lugoff Elementary, 994 Ridgeway Road, Lugoff, SC, 29078",LUGOFF ELEMENTARY,http://les.kcsdschools.com/,2801018,ELEM,A,97.5,97.5,,,,
KERSHAW,"Midway Elementary, 1892 Highway 1 North, Cassatt, SC, 29032",MIDWAY ELEMENTARY,http://mdw.kcsdschools.com/,2801019,ELEM,A,97.7,97.7,,,,
KERSHAW,"Mt. Pisgah Elementary, 5160 Mount Pisgah Road, Kershaw, SC, 29067",MT PISGAH ELEMENTARY,http://mtp.kcsdschools.com/,2801020,ELEM,B,86.9,86.9,,,,
KERSHAW,"Pine Tree Hill Elementary, 938 Bishopville Highway, Camden, SC, 29020",PINE TREE HILL ELEMENTARY,http://pth.kcsdschools.com/,2801021,ELEM,C,75.2,75.2,,,,
KERSHAW,"Wateree Elementary, 424 Wildwood Lane, Lugoff, SC, 29078",WATEREE ELEMENTARY,http://wes.kcsdschools.com/,2801022,ELEM,A,96.4,96.4,,,,
KERSHAW,"Leslie M. Stover Middle, 1649 Smyrna Road, Elgin, SC, 29045",LESLIE M. STOVER SCHOOL,http://sto.kcsdschools.com/,2801023,MIDD,B,86.9,,,86.9,,
KERSHAW,"Doby's Mill Elementary, 1964 Fort Jackson Road, Lugoff, SC, 29078",DOBYS MILL ELEMENTARY,http://dme.kcsdschools.com/,2801024,ELEM,A,95.4,95.4,,,,
KERSHAW,"North Central Middle, 805 Keys Lane, Kershaw, SC, 29067",NORTH CENTRAL MIDDLE,http://ncm.kcsdschools.com/,2801025,MIDD,A,91.9,,,91.9,,
LANCASTER,"Buford High, 4290 Tabernacle Road, Lancaster, SC, 29720",BUFORD HIGH,http://bhs.lancasterscschools.org/home,2901002,HIGH,B,86.4,,,,,86.4
LANCASTER,"A. R. Rucker Middle, 422 Old Dixie Road, Lancaster, SC, 29720",A. R. RUCKER MIDDLE,http://rms.lancasterscschools.org/home,2901003,MIDD,C,71.1,,,71.1,,
LANCASTER,"Indian Land High, 8063 River Road, Indian Land, SC, 29707",INDIAN LAND HIGH,http://ilhs.lancasterscschools.org/home,2901006,HIGH,B,89.6,,,,,89.6
LANCASTER,"Andrew Jackson High, 6925 Kershaw Camden Highway, Kershaw, SC, 29067",ANDREW JACKSON HIGH,http://ajhs.lancasterscschools.org/home,2901007,HIGH,B,89.8,,,,,89.8
LANCASTER,"Lancaster High, 617 Normandy Road, Lancaster, SC, 29720",LANCASTER HIGH,http://lhs.lancasterscschools.org/home,2901008,HIGH,F,51.3,,,,,51.3
LANCASTER,"South Middle, 1551 Billings Drive, Lancaster, SC, 29720",SOUTH MIDDLE,http://sms.lancasterscschools.org/home,2901010,MIDD,A,91.1,,,91.1,,
LANCASTER,"Brooklyn Springs Elementary, 1637 Billings Drive, Lancaster, SC, 29720",BROOKLYN SPRINGS ELEMENTARY,http://bses.lancasterscschools.org/home,2901011,ELEM,F,53.6,53.6,,,,
LANCASTER,"Buford Elementary, 1906 North Rocky River Road, Lancaster, SC, 29720",BUFORD ELEMENTARY,http://bes.lancasterscschools.org/home,2901012,ELEM,B,86.4,86.4,,,,
LANCASTER,"North Elementary, 1100 Roddey Drive, Lancaster, SC, 29720",NORTH ELEMENTARY,http://nes.lancasterscschools.org/home,2901014,ELEM,A,97.6,97.6,,,,
LANCASTER,"Clinton Elementary, 110 Clinton School Road, Lancaster, SC, 29720",CLINTON ELEMENTARY,http://ces.lancasterscschools.org/home,2901015,ELEM,F,31.2,31.2,,,,
LANCASTER,"Erwin Elementary, 1477 Locustwood Avenue, Lancaster, SC, 29720",ERWIN ELEMENTARY,http://ees.lancasterscschools.org/home,2901017,ELEM,B,80.9,80.9,,,,
LANCASTER,"Heath Springs Elementary, 158 Solar Road, Heath Springs, SC, 29058",HEATH SPRINGS ELEMENTARY,http://hses.lancasterscschools.org/home,2901019,ELEM,A,93.3,93.3,,,,
LANCASTER,"Indian Land Elementary, 4137 Doby's Bridge Road, Indian Land, SC, 29707",INDIAN LAND ELEMENTARY,http://iles.lancasterscschools.org/home,2901021,ELEM,B,89,89,,,,
LANCASTER,"Kershaw Elementary, 108 North Rollins Drive, Kershaw, SC, 29067",KERSHAW ELEMENTARY,http://kes.lancasterscschools.org/home,2901023,ELEM,F,59,59,,,,
LANCASTER,"McDonald Green Elementary, 2763 Lynwood Drive, Lancaster, SC, 29720",MCDONALD GREEN ELEMENTARY,http://mges.lancasterscschools.org/home,2901024,ELEM,A,96.8,96.8,,,,
LANCASTER,"Andrew Jackson Middle, 6865 Kershaw Camden Highway, Kershaw, SC, 29067",ANDREW JACKSON MIDDLE,http://ajms.lancasterscschools.org/home,2901027,MIDD,C,74.5,,,74.5,,
LANCASTER,"Buford Middle, 1890 North Rocky River Road, Lancaster, SC, 29720",BUFORD MIDDLE,http://bms.lancasterscschools.org/home,2901028,MIDD,B,83.2,,,83.2,,
LANCASTER,"Indian Land Middle, 8361 Charlotte Highway, Indian Land, SC, 29707",INDIAN LAND MIDDLE,http://ilms.lancasterscschools.org/home,2901029,MIDD,A,97.8,,,97.8,,
LANCASTER,"Discovery Charter of Lancaster, 302 West Dunlap Street, Lancaster, SC, 29720",DISCOVERY SCHOOL OF LANCASTER,http://dis.lancasterscschools.org/home,2901611,ELEM,A,95,95,,,,
LAURENS 55,"Laurens District 55 High, 5058 Highway 76 West, Laurens, SC, 29360",LAURENS DISTRICT 55 HIGH,http://www.laurens55.k12.sc.us/site/Default.aspx?PageID=838,3055004,HIGH,F,50.1,,,,,50.1
LAURENS 55,"Laurens Middle, 1035 West Main Street, Laurens, SC, 29360",LAURENS MIDDLE,http://www.laurens55.k12.sc.us/site/Default.aspx?PageID=4853,3055005,MIDD,D,68.2,,,68.2,,
LAURENS 55,"Ford Elementary, 601 Lucas Avenue, Laurens, SC, 29360",FORD ELEMENTARY,http://www.laurens55.k12.sc.us/site/Default.aspx?PageID=2641,3055006,ELEM,F,46.8,46.8,,,,
LAURENS 55,#N/A,GRAY COURT-OWINGS MIDDLE,#N/A,3055008,MIDD,B,88.7,,,88.7,,
LAURENS 55,#N/A,HICKORY TAVERN ELEMENTARY,#N/A,3055009,ELEM,B,85,85,,,,
LAURENS 55,"E. B. Morse Elementary, 200 Parkview Drive, Laurens, SC, 29360",E B MORSE ELEMENTARY,http://www.laurens55.k12.sc.us/site/Default.aspx?PageID=2256,3055010,ELEM,B,88.6,88.6,,,,
LAURENS 55,"Laurens Elementary, 301 Henry Street, Laurens, SC, 29360",LAURENS ELEMENTARY,http://www.laurens55.k12.sc.us/site/Default.aspx?PageID=421,3055011,ELEM,B,86.1,86.1,,,,
LAURENS 55,#N/A,GRAY COURT-OWINGS ELEMENTARY,#N/A,3055012,ELEM,C,74.3,74.3,,,,
LAURENS 55,"Sanders Middle, 609 Green Street, Laurens, SC, 29360",SANDERS MIDDLE,http://www.laurens55.k12.sc.us/site/Default.aspx?PageID=4338,3055013,MIDD,A,91.8,,,91.8,,
LAURENS 55,"Waterloo Elementary, 10457 Highway 221 South, Waterloo, SC, 29384",WATERLOO ELEMENTARY,http://www.laurens55.k12.sc.us/site/Default.aspx?PageID=3011,3055014,ELEM,A,100,100,,,,
LAURENS 55,#N/A,HICKORY TAVERN MIDDLE,#N/A,3055015,MIDD,B,86.7,,,86.7,,
LAURENS 56,"Clinton High, 18132 Highway 72 East, Clinton, SC, 29325",CLINTON HIGH,http://www.lcsd56.org/chs,3056016,HIGH,D,67.5,,,,,67.5
LAURENS 56,"Bell Street Middle, 600 Peachtree Street, Clinton, SC, 29325",BELL STREET MIDDLE,http://www.lcsd56.org/bss,3056017,MIDD,C,78.3,,,78.3,,
LAURENS 56,"Clinton Elementary, 800 Chestnut Street, Clinton, SC, 29325",CLINTON ELEMENTARY,http://www.lcsd56.org/ces,3056019,ELEM,A,93.1,93.1,,,,
LAURENS 56,"Joanna-Woodson Elementary, 510 South Elllis Street, Joanna, SC, 29351",JOANNA-WOODSON ELEMENTARY,http://www.lcsd56.org/Domain/418,3056022,ELEM,C,77.4,77.4,,,,
LAURENS 56,"Eastside Elementary, 103 Old Colony Road, Clinton, SC, 29325",EASTSIDE ELEMENTARY,http://www.lcsd56.org/ees,3056023,ELEM,A,99.2,99.2,,,,
LEE,"Bishopville Primary, 603 N. Dennis Avenue, Bishopville, SC, 29010",BISHOPVILLE PRIMARY,http://leebps.sharpschool.net/,3101007,ELEM,F,23.7,23.7,,,,
LEE,"Lower Lee Elementary, 5142 St. Charles Road, Mayesville, SC, 29104",LOWER LEE ELEMENTARY,http://leelle.sharpschool.net/,3101011,ELEM,F,23.5,23.5,,,,
LEE,"West Lee Elementary, 55 West Lee School Road, Rembert, SC, 29128",WEST LEE ELEMENTARY,http://leewle.sharpschool.net/,3101012,ELEM,D,64.5,64.5,,,,
LEE,"Lee Central High, 1800 Wisacky Highway, Bishopville, SC, 29010",LEE CENTRAL HIGH,http://leelchs.sharpschool.net/,3101013,HIGH,F,45.7,,,,,45.7
LEE,"Lee Central Middle, 41 Charlene Lane, Bishopville, SC, 29010",LEE CENTRAL MIDDLE,http://leelcms.sharpschool.net/,3101015,COMBO,F,40.6,50,,39.1,,
LEXINGTON 1,"Gilbert High, 840 Main Street, Gilbert, SC, 29054",GILBERT HIGH,http://ghs.lexington1.net:8013/,3201001,HIGH,C,79.1,,,,,79.1
LEXINGTON 1,"Lexington High, 2463 Augusta Highway, Lexington, SC, 29072",LEXINGTON HIGH,http://lhs.lexington1.net:8011/,3201003,HIGH,B,87.2,,,,,87.2
LEXINGTON 1,"Pelion High, 600 Lydia Drive, Pelion, SC, 29123",PELION HIGH,http://phs.lexington1.net:8015/,3201004,HIGH,C,79.5,,,,,79.5
LEXINGTON 1,"Gilbert Elementary, 314 Main Street, Gilbert, SC, 29054",GILBERT ELEMENTARY,http://ges.lexington1.net:8014/,3201005,ELEM,B,84.6,84.6,,,,
LEXINGTON 1,"Lexington Elementary, 116 Azalea Drive, Lexington, SC, 29072",LEXINGTON ELEMENTARY,http://les.lexington1.net:8012/,3201007,ELEM,B,86.2,86.2,,,,
LEXINGTON 1,"Pelion Elementary, 1202 Pine Street, Pelion, SC, 29123",PELION ELEMENTARY,http://pes.lexington1.net:8016/,3201008,ELEM,A,93.1,93.1,,,,
LEXINGTON 1,"Oak Grove Elementary, 479 Oak Drive, Lexington, SC, 29073",OAK GROVE ELEMENTARY,http://oges.lexington1.net:8022/,3201009,ELEM,A,100,100,,,,
LEXINGTON 1,"Lexington Middle, 702 North Lake Drive, Lexington, SC, 29072",LEXINGTON MIDDLE,http://lms.lexington1.net:8020/,3201010,MIDD,A,90.9,,,90.9,,
LEXINGTON 1,"Red Bank Elementary, 246 Community Drive, Lexington, SC, 29073",RED BANK ELEMENTARY,http://rbes.lexington1.net:8024/,3201011,ELEM,D,68.6,68.6,,,,
LEXINGTON 1,"White Knoll Elementary, 132 White Knoll Way, West Columbia, SC, 29170",WHITE KNOLL ELEMENTARY,http://wkes.lexington1.net:8025/,3201049,ELEM,C,78.9,78.9,,,,
LEXINGTON 1,"Saxe Gotha Elementary, 100 Bill Williamson Court, Lexington, SC, 29073",SAXE GOTHA ELEMENTARY,http://sges.lexington1.net:8023/,3201052,ELEM,B,87.3,87.3,,,,
LEXINGTON 1,"White Knoll Middle, 116 White Knoll Way, West Columbia, SC, 29170",WHITE KNOLL MIDDLE,http://wkms.lexington1.net:8026/,3201053,MIDD,C,77.5,,,77.5,,
LEXINGTON 1,"Gilbert Middle, 120 Rikard Circle, Gilbert, SC, 29054",GILBERT MIDDLE,http://gms.lexington1.net:8029/,3201054,MIDD,D,69.7,,,69.7,,
LEXINGTON 1,"Midway Elementary, 180 Midway Road, Lexington, SC, 29072",MIDWAY ELEMENTARY,http://mes.lexington1.net:8028/,3201055,ELEM,A,99.9,99.9,,,,
LEXINGTON 1,"Lake Murray Elementary, 205 Wise Ferry Road, Lexington, SC, 29072",LAKE MURRAY ELEMENTARY,http://lmes.lexington1.net:8031/,3201056,ELEM,A,99,99,,,,
LEXINGTON 1,"White Knoll High, 5643 Platt Springs Road, Lexington, SC, 29073",WHITE KNOLL HIGH,http://wkhs.lexington1.net:8027/,3201057,HIGH,B,86.6,,,,,86.6
LEXINGTON 1,"Pelion Middle, 758 Magnolia Street, Pelion, SC, 29123",PELION MIDDLE,http://pms.lexington1.net:8030/,3201058,MIDD,F,58.5,,,58.5,,
LEXINGTON 1,"Pleasant Hill Elementary, 664 Rawl Road, Lexington, SC, 29072",PLEASANT HILL ELEMENTARY,http://phes.lexington1.net:8035/,3201060,ELEM,B,83.9,83.9,,,,
LEXINGTON 1,"Pleasant Hill Middle, 660 Rawl Road, Lexington, SC, 29072",PLEASANT HILL MIDDLE,http://phms.lexington1.net:8034/,3201061,MIDD,A,94,,,94,,
LEXINGTON 1,"Carolina Springs Elementary, 6340 Platt Springs Road, Lexington, SC, 29073",CAROLINA SPRINGS ELEMENTARY,http://cses.lexington1.net:8038/,3201062,ELEM,B,88.2,88.2,,,,
