DISTRICT,ADDRESS,SCHOOL,,SCHOOLID,TYPE,Grade in 2013,POINTTOT,POINTELEMpass,POINTELEMalt,POINTMIDDpass,POINTMIDDalt,POINTHIGH
ALLENDALE,"Allendale Elementary, 4561 Allendale-Fairfax Highway, Allendale, SC, 29810",ALLENDALE ELEMENTARY,http://www.acs.k12.sc.us/Domain/8,301004,ELEM,C,71.2,71.2,,,,
ALLENDALE,"Fairfax Elementary, 734 14th Street East, Fairfax, SC, 29827",FAIRFAX ELEMENTARY,http://www.acs.k12.sc.us/Domain/9,301006,ELEM,C,77.5,77.5,,,,
ALLENDALE,"Allendale-Fairfax Middle, 3305 Allendale-Fairfax Highway, Fairfax, SC, 29827",ALLENDALE-FAIRFAX MIDDLE,http://www.acs.k12.sc.us/Domain/10,301008,MIDD,F,52,,,52,,
ANDERSON 1,"Palmetto High, 804 North Hamilton Street, Williamston, SC, 29697",PALMETTO HIGH,http://www.anderson1.k12.sc.us/Domain/971,401001,HIGH,B,89.7,,,,,89.7
ANDERSON 1,"Powdersville High, 145 Hood Road, Greenville, SC, 29611",POWDERSVILLE HIGH,http://www.anderson1.k12.sc.us/Domain/1278,401002,HIGH,*,,,,,,
ANDERSON 1,"Wren High, 905 Wren School Road, Piedmont, SC, 29673",WREN HIGH,http://www.anderson1.k12.sc.us/Domain/1101,401003,HIGH,B,81,,,,,81
ANDERSON 1,"Palmetto Elementary, 1 Roberts Boulevard, Williamston, SC, 29697",PALMETTO ELEMENTARY,http://www.anderson1.k12.sc.us/Domain/330,401004,ELEM,B,87.9,87.9,,,,
ANDERSON 1,"Cedar Grove Elementary, 107 Melvin Lane, Williamston, SC, 29697",CEDAR GROVE ELEMENTARY,http://www.anderson1.k12.sc.us/Domain/121,401005,ELEM,B,87.5,87.5,,,,
ANDERSON 1,"Wren Middle, 1010 Wren School Road, Piedmont, SC, 29673",WREN MIDDLE,http://www.anderson1.k12.sc.us/Domain/879,401008,MIDD,B,86.5,,,86.5,,
ANDERSON 1,"West Pelzer Elementary, 10 West Stewart Street, West Pelzer, SC, 29669",WEST PELZER ELEMENTARY,http://www.anderson1.k12.sc.us/Domain/557,401009,ELEM,A,100,100,,,,
ANDERSON 1,"Spearman Elementary, 2001 Easley Highway, Piedmont, SC, 29673",SPEARMAN ELEMENTARY,http://www.anderson1.k12.sc.us/Domain/488,401011,ELEM,B,86.7,86.7,,,,
ANDERSON 1,"Palmetto Middle, 803 North Hamilton Street, Williamston, SC, 29697",PALMETTO MIDDLE,http://www.anderson1.k12.sc.us/Domain/698,401012,MIDD,A,91.1,,,91.1,,
ANDERSON 1,"Wren Elementary, 226 Roper Road, Piedmont, SC, 29673",WREN ELEMENTARY,http://www.anderson1.k12.sc.us/Domain/624,401013,ELEM,A,99.5,99.5,,,,
ANDERSON 1,"Hunt Meadows Elementary, 420 Hunt Road, Easley, SC, 29642",HUNT MEADOWS ELEMENTARY,http://www.anderson1.k12.sc.us/Domain/262,401014,ELEM,B,83.3,83.3,,,,
ANDERSON 1,"Powdersville Middle, 135 Hood Road, Greenville, SC, 29611",POWDERSVILLE MIDDLE,http://www.anderson1.k12.sc.us/Domain/793,401061,MIDD,A,93.6,,,93.6,,
ANDERSON 1,"Powdersville Elementary, 139 Hood Road, Greenville, SC, 29611",POWDERSVILLE ELEMENTARY,http://www.anderson1.k12.sc.us/Domain/418,401062,ELEM,A,92.9,92.9,,,,
ANDERSON 2,"Belton Honea Path High, 11000 Belton-Honea Path Highway, Honea Path, SC, 29654",BELTON-HONEA PATH HIGH,http://bhp.anderson2.org/,402012,HIGH,A,91.5,,,,,91.5
ANDERSON 2,"Belton Elementary, 202 Watkins Street, Belton, SC, 29627",BELTON ELEMENTARY,http://bes.anderson2.org/,402013,ELEM,A,94.9,94.9,,,,
ANDERSON 2,"Belton Middle, 102 Cherokee Road, Belton, SC, 29627",BELTON MIDDLE,http://bms.anderson2.org/,402014,MIDD,A,90.6,,,90.6,,
ANDERSON 2,"Honea Path Elementary, 806 East Greer Street, Honea Path, SC, 29654",HONEA PATH ELEMENTARY,http://hpe.anderson2.org/,402018,ELEM,B,81.7,81.7,,,,
ANDERSON 2,"Honea Path Middle, 107 Brock Avenue, Honea Path, SC, 29654",HONEA PATH MIDDLE,http://hpms.anderson2.org/,402019,COMBO,A,92.9,95,,92.4,,
ANDERSON 2,"Wright Elementary, 1136 Wright School Road, Belton, SC, 29627",WRIGHT ELEMENTARY,http://wes.anderson2.org/,402021,ELEM,A,100,100,,,,
ANDERSON 3,"Crescent High, 9104 Highway 81 South, Iva, SC, 29655",CRESCENT HIGH,http://www.anderson3.k12.sc.us/crescent/,403022,HIGH,D,61.9,,,,,61.9
ANDERSON 3,"Iva Elementary, 803 Antreville Highway, Iva, SC, 29655",IVA ELEMENTARY,http://www.anderson3.k12.sc.us/Iva_Elementary/,403024,ELEM,A,95.6,95.6,,,,
ANDERSON 3,"Starr-Iva Middle, 1034 Rainey Road, Starr, SC, 29684",STARR-IVA MIDDLE,http://www.anderson3.k12.sc.us/starr-iva/,403025,MIDD,A,98.2,,,98.2,,
ANDERSON 3,"Starr Elementary, 400 Professor Brown Lane, Starr, SC, 29684",STARR ELEMENTARY,http://www.anderson3.k12.sc.us/starrelem/,403026,ELEM,A,98.2,98.2,,,,
ANDERSON 3,"Flat Rock Elementary, 115 Thompson Road, Anderson, SC, 29624",FLAT ROCK ELEMENTARY,http://www.anderson3.k12.sc.us/flat_rock/,403027,ELEM,B,86.6,86.6,,,,
ANDERSON 4,"Pendleton High, 7324 Highway 187, Pendleton, SC, 29625",PENDLETON HIGH,http://phs.anderson4.org,404027,HIGH,B,83.7,,,,,83.7
ANDERSON 4,"Riverside Middle, 458 Riverside Street, Pendleton, SC, 29670",RIVERSIDE MIDDLE,http://rms.anderson4.org,404029,MIDD,B,88.6,,,88.6,,
ANDERSON 4,"La France Elementary, 550 Willliams Street, Pendleton, SC, 29670",LA FRANCE ELEMENTARY,http://les.anderson4.org,404031,COMBO,A,94.8,98.1,,87,,
ANDERSON 4,"Pendleton Elementary, 902 East Queen Street, Pendleton, SC, 29670",PENDLETON ELEMENTARY,http://pes.anderson4.org,404034,COMBO,A,91.5,89.2,,97.4,,
ANDERSON 4,"Townville Elementary, 105 Townville School Road, Townville, SC, 29689",TOWNVILLE ELEMENTARY,http://tes.anderson4.org,404036,COMBO,A,100,100,,100,,
ANDERSON 4,"Mt. Lebanon Elementary, 2850 Lebanon Road, Pendelton, SC, 29670",MT LEBANON ELEMENTARY,http://mles.anderson4.org,404037,COMBO,A,100,100,,100,,
ANDERSON 5,"T. L. Hanna High, an International Baccalaureate School, 2600 Highway 81 North, Anderson, SC, 29621",T L HANNA HIGH,http://www.anderson5.net/Domain/25,405038,HIGH,B,84.7,,,,,84.7
ANDERSON 5,"Lakeside Middle School of Inquiry and Innovation, a STEM School, 315 Pearman Dairy Road, Anderson, SC, 29625",LAKESIDE MIDDLE SCHOOL OF INQUIR,http://www.anderson5.net/Domain/20,405039,MIDD,B,89.6,,,89.6,,
ANDERSON 5,"McCants Middle, an International Baccalaureate World Candidate School, 2123 Marchbanks Avenue, Anderson, SC, 29621",MCCANTS MIDDLE,http://www.anderson5.net/Domain/21,405040,MIDD,B,80.9,,,80.9,,
ANDERSON 5,"Centerville Academy of 21st Learning, 1529 Whitehall Road, Anderson, SC, 29625",CENTERVILLE ACADEMY OF 21ST LEAR,http://www.anderson5.net/Domain/9,405044,ELEM,B,88.5,88.5,,,,
ANDERSON 5,"Concord Elementary, an International Baccalaureate World School, 2701 Calrossie Road, Anderson, SC, 29621",CONCORD ELEMENTARY,http://www.anderson5.net/Domain/10,405045,ELEM,A,99.2,99.2,,,,
ANDERSON 5,"Westside High, an Early College Academy, 806 Pearman Dairy Road, Anderson, SC, 29625",WESTSIDE HIGH EARLY COLLEGE ACAD,http://www.anderson5.net/Domain/26,405048,HIGH,F,58,,,,,58
ANDERSON 5,"Nevitt Forest Community School of Innovation, 1401 Bolt Drive, Anderson, SC, 29621",NEVITT FOREST COMMUNITY SCHOOL O,http://www.anderson5.net/Domain/14,405050,ELEM,F,49.1,49.1,,,,
ANDERSON 5,"New Prospect STEM Academy, 126 New Prospect Church Road, Anderson, SC, 29625",NEW PROSPECT STEM ACADEMY,http://www.anderson5.net/Domain/15,405051,ELEM,A,95.8,95.8,,,,
ANDERSON 5,"Varennes Academy of Communication & Technology, 1820 Highway 29 South, Anderson, SC, 29626",VARENNES ACADEMY OF COMMUNICATIO,http://www.anderson5.net/Domain/17,405055,ELEM,D,66.8,66.8,,,,
ANDERSON 5,"Whitehall Elementary, a Global Communication School, 702 Whitehall Road, Anderson, SC, 29625",WHITEHALL ELEMENTARY,http://www.anderson5.net/Domain/18,405059,ELEM,A,97.8,97.8,,,,
ANDERSON 5,"Calhoun Academy of the Arts, 1520 East Calhoun Street, Anderson, SC, 29621",CALHOUN ACADEMY OF THE ARTS,http://www.anderson5.net/Domain/8,405060,ELEM,B,87.4,87.4,,,,
ANDERSON 5,"Midway Elementary School of Science and Engineering, 1221 Harriett Circle, Anderson, SC, 29621",MIDWAY ELEMENTARY SCHOOL  OF SCI,http://www.anderson5.net/Domain/13,405061,ELEM,A,93.4,93.4,,,,
ANDERSON 5,"McLees Academy of Leadership, 4900 Dobbins Bridge Road, Anderson, SC, 29626",MCLEES ACADEMY OF LEADERSHIP,http://www.anderson5.net/Domain/12,405062,ELEM,A,96.4,96.4,,,,
ANDERSON 5,"Robert Anderson College and Career Academy                           , 2302 Dobbins Bridge Road, Anderson, SC, 29625",ROBERT ANDERSON MIDDLE SCHOOL OF,http://www.anderson5.net/Domain/22,405063,MIDD,A,90.1,,,90.1,,
ANDERSON 5,"Glenview Middle School of Choice                                  , 2575 Old Williamston Road, Anderson, SC, 29621",GLENVIEW MIDDLE,http://www.anderson5.net/Domain/19,405064,MIDD,A,90.4,,,90.4,,
ANDERSON 5,"Southwood Academy of the Arts                     , 1110 Southwood Street, Anderson, SC, 29624",SOUTHWOOD ACADEMY OF ARTS,http://www.anderson5.net/Domain/23,405065,MIDD,A,100,,,100,,
ANDERSON 5,"North Pointe Elementary School of Choice, 3325 Highway 81 North, Anderson, SC, 29621",NORTH POINTE ELEMENTARY SCHOOL O,http://www.anderson5.net/Domain/16,405066,ELEM,A,99,99,,,,
ANDERSON 5,"Anderson Five Charter School, 1225 South McDuffie Street, Anderson, SC, 29624",ANDERSON FIVE CHARTER SCHOOL,http://www.anderson5.net/domain/2723,405601,HIGH,*,,,,,,
BAMBERG 1,"Bamberg-Ehrhardt High, 267 Red Raider Drive, Bamberg, SC, 29003",BAMBERG-EHRHARDT HIGH,http://bamberg1.com/behs,501001,HIGH,A,90.3,,,,,90.3
BAMBERG 1,"Bamberg-Ehrhardt Middle, 897 North Street, Bamberg, SC, 29003",BAMBERG-EHRHARDT MIDDLE,http://bamberg1.com/bems,501002,MIDD,A,100,,,100,,
BAMBERG 1,"Richard Carroll Elementary, 1980 Main Street, Bamberg, SC, 29003",RICHARD CARROLL ELEMENTARY,http://rces.weebly.com/,501006,COMBO,B,80.3,75,,94.2,,
BAMBERG 2,"Denmark Olar High, 197 Viking Circle, Denmark, SC, 29042",DENMARK-OLAR HIGH,http://www.denmarkolarschooldistrict2.org/education/school/school.php?sectionid=5&,502007,HIGH,D,61.3,,,,,61.3
BAMBERG 2,"Denmark-Olar Middle, 45 Green Street, Denmark, SC, 29042",DENMARK-OLAR MIDDLE,http://www.denmarkolarschooldistrict2.org/education/school/school.php?sectionid=4&,502008,MIDD,F,48.9,,,48.9,,
BAMBERG 2,"Denmark-Olar Elementary, 1459 Solomon Blatt Boulevard, Denmark, SC, 29042",DENMARK-OLAR ELEMENTARY,http://www.denmarkolarschooldistrict2.org/education/school/school.php?sectionid=3&,502010,ELEM,A,91.8,91.8,,,,
BARNWELL 19,"Blackville-Hilda High, 76 Atkins Circle, Blackville, SC, 29817",BLACKVILLE-HILDA HIGH,http://bhhs.barnwell19.k12.sc.us,619001,HIGH,F,36.6,,,,,36.6
BARNWELL 19,"Macedonia Elementary, 556 Jones Bridge Road, Blackville, SC, 29817",MACEDONIA ELEMENTARY,http://mes.barnwell19.k12.sc.us,619003,COMBO,F,43.4,38.1,,59.4,,
BARNWELL 19,"Blackville-Hilda Junior High, 446 Country Club Road, Blackville, SC, 29817",BLACKVILLE-HILDA JUNIOR HIGH,http://bhjr.barnwell19.k12.sc.us,619004,MIDD,F,35,,,35,,
BARNWELL 29,"Williston-Elko High, 12233 Main Street, Williston, SC, 29853",WILLISTON-ELKO HIGH,http://www.williston.k12.sc.us/school_home.aspx?schoolid=1,629006,HIGH,B,86.5,,,,,86.5
BARNWELL 29,"Kelly Edwards Elementary, 1071 Elko Street, Williston, SC, 29853",KELLY EDWARDS ELEMENTARY,http://www.williston.k12.sc.us/school_home.aspx?schoolid=3,629007,ELEM,C,74.2,74.2,,,,
BARNWELL 29,"Williston-Elko Middle, 12333 Main Street, Williston, SC, 29853",WILLISTON-ELKO MIDDLE,http://www.williston.k12.sc.us/school_home.aspx?schoolid=2,629008,MIDD,A,95.5,,,95.5,,
BARNWELL 45,"Barnwell High, 474 Jackson Street, Barnwell, SC, 29812",BARNWELL HIGH,http://bhs.barnwell45.org,645009,HIGH,D,60.6,,,,,60.6
BARNWELL 45,"Guinyard-Butler Middle, 779 Allen Street, Barnwell, SC, 29812",GUINYARD-BUTLER MIDDLE,http://gbms.barnwell45.org,645010,MIDD,F,36.3,,,36.3,,
BARNWELL 45,"Barnwell Primary, 734 Hagood Avenue, Barnwell, SC, 29812",BARNWELL PRIMARY,http://bps.barnwell45.org,645011,ELEM,B,83.9,83.9,,,,
BARNWELL 45,"Barnwell Elementary, 10524 Marlboro Avenue, Barnwell, SC, 29812",BARNWELL ELEMENTARY,http://bes.barnwell45.org,645012,COMBO,C,71.2,58.2,,96.2,,
BEAUFORT,"Lady's Island Middle, 30 Cougar Drive, Beaufort, SC, 29907",LADYS ISLAND MIDDLE,http://lim.beaufort.k12.sc.us/,701001,COMBO,C,76.8,87.1,,74.2,,
BEAUFORT,"Beaufort High, 84 Sea Island Parkway, Beaufort, SC, 29907",BEAUFORT HIGH,http://bhs.beaufort.k12.sc.us/,701002,HIGH,B,83,,,,,83
BEAUFORT,"Hilton Head Island High, 70 Wilborn Road, Hilton Head Island, SC, 29926",HILTON HEAD HIGH,http://hhh.beaufort.k12.sc.us/,701003,HIGH,B,82.2,,,,,82.2
BEAUFORT,"Battery Creek High, 1 Blue Dolphin Road, Beaufort, SC, 29906",BATTERY CREEK HIGH,http://bch.beaufort.k12.sc.us/,701004,HIGH,C,75.9,,,,,75.9
BEAUFORT,"Robert Smalls Middle, 43 W. K. Alston Boulevard, Beaufort, SC, 29906",ROBERT SMALLS MIDDLE,http://rsm.beaufort.k12.sc.us/,701005,COMBO,C,78.4,67.5,,82.1,,
BEAUFORT,"Beaufort Elementary, 1800 Prince Street, Beaufort, SC, 29902",BEAUFORT ELEMENTARY,http://bes.beaufort.k12.sc.us/,701008,ELEM,A,96.7,96.7,,,,
BEAUFORT,"Hilton Head Island Middle, 55 Wilborn Road, Hilton Head Island, SC, 29926",HILTON HEAD MIDDLE,http://hhm.beaufort.k12.sc.us/,701009,MIDD,D,66.2,,,66.2,,
BEAUFORT,"Broad River Elementary, 474 Broad River Road, Beaufort, SC, 29906",BROAD RIVER ELEMENTARY,http://bre.beaufort.k12.sc.us/,701010,ELEM,D,65.1,65.1,,,,
BEAUFORT,"Lady's Island Elementary, 73 Chowan Creek Bluff, Beaufort, SC, 29907",LADYS ISLAND ELEMENTARY,http://lie.beaufort.k12.sc.us/,701014,ELEM,B,87.2,87.2,,,,
BEAUFORT,"Mossy Oaks Elementary, 2510 Mossy Oaks Boulevard, Beaufort, SC, 29902",MOSSY OAKS ELEMENTARY,http://moe.beaufort.k12.sc.us/,701015,ELEM,A,90.2,90.2,,,,
BEAUFORT,"Port Royal Elementary, 1214 Paris Avenue, Port Royal, SC, 29935",PORT ROYAL ELEMENTARY,http://pre.beaufort.k12.sc.us/,701016,ELEM,A,94.2,94.2,,,,
BEAUFORT,"Michael C. Riley Elementary, 200 Burnt Church Road, Bluffton, SC, 29910",MICHAEL C. RILEY ELEMENTARY,http://mcr.beaufort.k12.sc.us/,701017,ELEM,B,88.1,88.1,,,,
BEAUFORT,"St. Helena Elementary, 1025 Sea Island Parkway, St. Helena Island, SC, 29920",ST HELENA ELEMENTARY,http://she.beaufort.k12.sc.us/,701020,ELEM,A,92.3,92.3,,,,
BEAUFORT,"Joseph S. Shanklin Elementary, 121 Morrall Drive, Beaufort, SC, 29906",JOSEPH S. SHANKLIN ELEMENTARY,http://ses.beaufort.k12.sc.us/,701022,ELEM,F,48,48,,,,
BEAUFORT,"Whale Branch Elementary, 15 Stuart Point Road, Seabrook, SC, 29940",WHALE BRANCH ELEMENTARY,http://wbe.beaufort.k12.sc.us/,701023,ELEM,D,69.5,69.5,,,,
BEAUFORT,"Bluffton Elementary, 160 H. E. McCracken Circle, Bluffton, SC, 29910",BLUFFTON ELEMENTARY,http://ble.beaufort.k12.sc.us/,701024,ELEM,B,89.9,89.9,,,,
