School Year,System Id,System Name,School Id,School Name,Grade Configuration,Grade Cluster,Achievement Points,Progress Points,Achievement Gap Points,ETB Points,EL/ED/SWD Performance Points,Challenge Points,CCRPI Score,Marker_Type,address
2012,7830410,Commission Charter Schools- Atlanta Heights Charter Commission School,410,Atlanta Heights Charter Commission School,"KK, 01, 02, 03, 04, 05, 06",E,40.6,9.8,10.5,0,0,0,60.9,small_purple,"Atlanta Heights Charter Commission School, 3670 Martin Luther King Jr Dr SW, Atlanta, GA, 30331-3740"
2012,633,Cobb County,398,Sanders Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,43.6,9,7.5,0.5,0.5,1,61.1,small_purple,"Sanders Elementary School, 1550 Anderson Mill Rd, Austell, GA, 30106-1202"
2012,633,Cobb County,3556,Compton Elementary School,"KK, 01, 02, 03, 04, 05",E,40,9.8,9,0.5,1.8,2.3,61.1,small_purple,"Compton Elementary School, 3450 New MacLand Rd, Powder Springs, GA, 30127-1927"
2012,648,Douglas County,398,Burnett Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,40.4,9.5,8.3,0.5,2.5,3,61.2,small_purple,"Burnett Elementary School, 8277 Connally Dr, Douglasville, GA, 30134-3840"
2012,625,Chatham County,191,East Broad Street School,"PK, KK, 01, 02, 03, 04, 05, 06, 07",E,42.8,8.3,9.8,0.5,0,0.5,61.4,small_purple,"East Broad Street School, 400 E Broad St , Savannah, GA, 31401-5104"
2012,644,DeKalb County,1059,Idlewood Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,45.2,8.9,6.8,0.5,0,0.5,61.4,small_purple,"Idlewood Elementary School, 1484 Idlewood Rd, Tucker, GA, 30084-7721"
2012,625,Chatham County,109,Coastal Empire Montessori Charter School,"PK, KK, 01, 02, 03",E,43.1,NA,NA,0,,0,61.6,small_purple,"Coastal Empire Montessori Charter School, 301 Burkhalter Rd, Savannah, GA, 31405-6111"
2012,625,Chatham County,5058,Hodge Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,45.7,7.2,7.5,1.5,0,1.5,61.9,small_purple,"Hodge Elementary School, 3609 Hopkins St , Savannah, GA, 31405-3026"
2012,644,DeKalb County,3062,Midway Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,44.2,8.5,8.3,1,0,1,62,small_purple,"Midway Elementary School, 3318 Midway Rd, Decatur, GA, 30032-2435"
2012,660,Fulton County,275,Nolan Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,46.5,8.3,6,1.5,0,1.5,62.3,small_purple,"Nolan Elementary School, 2725 Creel Rd, College Park, GA, 30349-4810"
2012,644,DeKalb County,675,Woodridge Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,47.8,9.3,5.3,0,0,0,62.4,small_purple,"Woodridge Elementary School, 4120 Cedar Ridge Trl , Stone Mountain, GA, 30083-5708"
2012,644,DeKalb County,3057,Hambrick Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,47.9,8.4,3.8,1.5,1.3,2.8,62.9,small_purple,"Hambrick Elementary School, 1101 Hambrick Rd, Stone Mountain, GA, 30083-2484"
2012,660,Fulton County,301,Heritage Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,41.6,9.8,10.5,1,0,1,62.9,small_purple,"Heritage Elementary School, 2600 Jolly Rd, Atlanta, GA, 30349-3184"
2012,666,Greene County,301,Greensboro Elementary,"PK, KK, 01, 02, 03, 04, 05",E,44.8,7.1,6.8,1,3.3,4.3,63,small_purple,"Greensboro Elementary, 1441 Martin Luther King Jr Dr, Greensboro, GA, 30642-2834"
2012,625,Chatham County,5052,Butler Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,47.5,8,5.3,1.5,0.9,2.4,63.2,small_purple,"Butler Elementary School, 1909 Cynthia St , Savannah, GA, 31415-7894"
2012,660,Fulton County,5060,Mount Olive Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,48.6,8.4,5.3,1,0,1,63.3,small_purple,"Mount Olive Elementary School, 3353 Mount Olive Rd, East Point, GA, 30344-5613"
2012,707,Newton County,5050,Porterdale Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,49,8.5,5.3,1,0,1,63.8,small_purple,"Porterdale Elementary School, 45 Ram Dr, Covington, GA, 30014-1958"
2012,644,DeKalb County,5050,Avondale Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,49.8,8.9,3.8,1.5,0,1.5,64,small_purple,"Avondale Elementary School, 10 Lakeshore Dr, Avondale Estates, GA, 30002-1472"
